Dataset,Model,Perturbation,Jaccard@10,Lipschitz (median),F-Fidelity (perturbed),F-Fidelity (original)
NSL-KDD,rf_binary_cw,gaussian,0.697119322808239,0.4332377314567566,0.3239195042299654,0.4171316206816987
NSL-KDD,rf_binary_cw,fgsm,0.6650312722950597,0.3165771067142486,0.31028383604417,0.4171316206816987
NSL-KDD,rf_binary_cw,pgd,0.6851368946124179,0.3782041370868683,0.2339668766832885,0.4171316206816987
NSL-KDD,xgb_binary_cw,gaussian,0.5913225884138316,13.932108879089355,0.2027810093066847,0.4719094535969678
NSL-KDD,xgb_binary_cw,fgsm,0.5783095757070037,10.00439167022705,0.4591180740055426,0.4719094535969678
NSL-KDD,xgb_binary_cw,pgd,0.61838238307926,11.90392017364502,0.4114206621433897,0.4719094535969678
NSL-KDD,dnn_binary_cw,gaussian,0.9201835111204372,0.3913284540176391,0.3343445252162129,0.3395954439853349
NSL-KDD,dnn_binary_cw,fgsm,0.8770790344580915,0.7600405216217041,0.213826542946221,0.3395954439853349
NSL-KDD,dnn_binary_cw,pgd,0.8992271251916076,0.7299214005470276,0.2477312597987556,0.3395954439853349
NSL-KDD,rf_5class_smote,gaussian,0.6095862580319192,0.4115979075431824,0.3988555476744819,0.5226166922954909
NSL-KDD,rf_5class_smote,fgsm,0.5490602477742711,0.4249847829341888,0.4607126265741571,0.5226166922954909
NSL-KDD,rf_5class_smote,pgd,0.5780314176895712,0.5223863124847412,0.4394322893664648,0.5226166922954909
NSL-KDD,xgb_5class_smote,gaussian,0.6515595039783649,12.371933937072754,-0.0381487935652158,0.3373451898849675
NSL-KDD,xgb_5class_smote,fgsm,0.639715192171876,12.99833869934082,0.1356622816483832,0.3373451898849675
NSL-KDD,xgb_5class_smote,pgd,0.6563411973159461,15.25928020477295,0.0708339352969767,0.3373451898849675
NSL-KDD,dnn_5class_smote,gaussian,0.920354803392158,1.318552851676941,0.2069919757605985,0.2218073966786045
NSL-KDD,dnn_5class_smote,fgsm,0.8564428019418834,2.973687171936035,0.1307624314633609,0.2218073966786045
NSL-KDD,dnn_5class_smote,pgd,0.88679721992643,2.9812281131744385,0.1482886499077478,0.2218073966786045
CIC-IDS2017,rf_binary_cw,gaussian,0.3298936375535073,0.4680192470550537,-0.0985882313912662,
CIC-IDS2017,rf_binary_cw,fgsm,0.2903788799669474,0.5010814666748047,0.4012130602127954,
CIC-IDS2017,rf_binary_cw,pgd,0.3027304176993817,0.6412142515182495,0.4087676139501151,
CIC-IDS2017,xgb_binary_cw,gaussian,0.4238038720621953,15.166171073913574,0.4582131706637616,
CIC-IDS2017,xgb_binary_cw,fgsm,0.3299685608085919,18.095680236816406,-0.1973096625026282,
CIC-IDS2017,xgb_binary_cw,pgd,0.3613726331047016,20.92855262756348,-0.0380160418359761,
CIC-IDS2017,dnn_binary_cw,gaussian,0.8033513284744812,0.9330601692199708,-0.0431799305780127,
CIC-IDS2017,dnn_binary_cw,fgsm,0.6533038390181246,1.9592496156692505,0.2444695219844996,
CIC-IDS2017,dnn_binary_cw,pgd,0.68207514980914,2.2843472957611084,0.1843968400024418,
CIC-IDS2017,rf_5class_smote,gaussian,0.3566312667236884,0.5190131664276123,-0.3673133614666908,
CIC-IDS2017,rf_5class_smote,fgsm,0.3386957644564135,0.5740010142326355,-0.0518050405007062,
CIC-IDS2017,rf_5class_smote,pgd,0.3549706141388186,0.7104872465133667,-0.0318517350233131,
CIC-IDS2017,xgb_5class_smote,gaussian,0.6098787091397928,17.300525665283203,-0.0315547927997521,
CIC-IDS2017,xgb_5class_smote,fgsm,0.5964599439968898,18.65534782409668,0.0054338713444335,
CIC-IDS2017,xgb_5class_smote,pgd,0.605188817750394,23.608888626098636,-0.0447466167929439,
CIC-IDS2017,dnn_5class_smote,gaussian,0.7982054070724021,2.722313642501831,-0.1226420511168963,
CIC-IDS2017,dnn_5class_smote,fgsm,0.7140655731788736,5.169657707214356,0.0549122074798894,
CIC-IDS2017,dnn_5class_smote,pgd,0.7498084837986316,5.247086524963379,-0.0029269111065783,
