Model,Strategy,Accuracy,Macro F1,MCC,R2L F1,U2R F1
dnn,balanced,0.7920954577714692,0.5749218404099474,0.6955389074209909,0.2191314220834516,0.1406025824964132
dnn,boosted,0.7796753016323634,0.5704183752748094,0.6761770519351277,0.27399507793273176,0.1271186440677966
dnn,focal,0.7758605393896381,0.5662263765359756,0.6696933467223772,0.2656388971242218,0.14634146341463414
dnn,smote,0.7885911994322214,0.5838539831007332,0.6932874079116211,0.2434113118152206,0.19078947368421054
rf,balanced,0.7363821859474805,0.4713696271649782,0.6201512706616477,0.008962426749396759,0.02857142857142857
rf,boosted,0.736958836053939,0.47706611401914706,0.6211749539685911,0.006213324128408699,0.056338028169014086
rf,smote,0.7483144073811213,0.5253036203115997,0.6375007685379165,0.055163134880592,0.19753086419753085
xgb,balanced,0.785264371894961,0.5931969417597265,0.6896085329785976,0.16788089958821667,0.33707865168539325
xgb,boosted,0.7869943222143364,0.6174546147922699,0.6922545909349734,0.19029733959311423,0.425531914893617
xgb,smote,0.7942689850958127,0.6387051174864459,0.7024142564815868,0.24992435703479576,0.46
