Pair,k,Class,Target,feature_agreement,rank_agreement,sign_agreement,signed_rank_agreement,rank_correlation,pairwise_rank_agreement
rf-xgb,5,all,binary,0.5745992601726159,0.2666666666666646,0.998766954377312,0.2666666666666646,0.5659268392930564,0.735552815454177
rf-xgb,10,all,binary,0.6360871352240016,0.16177558569667008,0.9979878195969445,0.1617344841759138,0.47048288059385435,0.6768781111567801
rf-xgb,15,all,binary,0.661542677079054,0.12407179065625167,0.9722117426803061,0.12324976024112631,0.4655451823146029,0.66939893918932
rf-dnn,5,all,binary,0.2257295519934191,0.046115906288533064,0.7688039457459926,0.04381422112618203,-0.39543773119605513,0.35043156596793984
rf-dnn,10,all,binary,0.40053431976982573,0.04459515002055043,0.9493873916192039,0.042786683107274695,-0.2981703595760312,0.39390784125679484
rf-dnn,15,all,binary,0.5164269077955901,0.04411563227839449,0.9345224454040738,0.04170434306069341,-0.13726733603429048,0.45639128647760036
xgb-dnn,5,all,binary,0.2921496095355515,0.07250308261405634,0.9006713248390189,0.0720920674064937,-0.2947801068639523,0.3746403616933801
xgb-dnn,10,all,binary,0.4473900534319741,0.057706535141799346,0.9476058364159461,0.05655569256062391,-0.16859345613969537,0.4395853313239268
xgb-dnn,15,all,binary,0.5109741060419284,0.044143033292231786,0.9161736115188664,0.04252637347581855,-0.01590775644413126,0.49959877086880816
rf-xgb,5,aggregate,5class,0.6406083025071785,0.22490752157829366,0.9991779695848746,0.22490752157829366,0.5589395807644895,0.7284422523633366
rf-xgb,10,aggregate,5class,0.7466913275791244,0.16843403205918708,1.0,0.16843403205918708,0.550563589034611,0.7141617573183561
rf-xgb,15,aggregate,5class,0.80180846691326,0.1345115769283426,1.0,0.1345115769283426,0.6165741882449661,0.7384690662125912
rf-dnn,5,aggregate,5class,0.36958487464035833,0.0868886148787502,0.9745170571311138,0.0868886148787502,0.08010686395396542,0.534566378956021
rf-dnn,10,aggregate,5class,0.5048088779284838,0.06757090012330362,1.0,0.06757090012330362,0.058152424366974244,0.5223272594419323
rf-dnn,15,aggregate,5class,0.6229072475681551,0.05707631182353761,1.0,0.05707631182353761,0.06023427866831078,0.525316579570587
xgb-dnn,5,aggregate,5class,0.3385121249486254,0.0817098232634599,0.916563912864776,0.0817098232634599,-0.11796136457048906,0.4553226469379338
xgb-dnn,10,aggregate,5class,0.4797369502671598,0.0657624332100274,1.0,0.0657624332100274,-0.10309506906300984,0.4682924601543597
xgb-dnn,15,aggregate,5class,0.5881353610083495,0.05343197698314844,1.0,0.05343197698314844,-0.012759086371910087,0.5023858454191366
