Model,Perturbation,Jaccard@10,Lipschitz (median),F-Fidelity (perturbed)
rf_binary_cw,gaussian,0.3298936375535073,0.4680192470550537,-0.09858823139126625
rf_binary_cw,fgsm,0.29037887996694745,0.5010814666748047,0.40121306021279546
rf_binary_cw,pgd,0.3027304176993817,0.6412142515182495,0.4087676139501151
xgb_binary_cw,gaussian,0.4238038720621953,15.166171073913574,0.45821317066376166
xgb_binary_cw,fgsm,0.3299685608085919,18.095680236816406,-0.19730966250262824
xgb_binary_cw,pgd,0.3613726331047016,20.928552627563477,-0.038016041835976164
dnn_binary_cw,gaussian,0.8033513284744812,0.9330601692199707,-0.04317993057801277
dnn_binary_cw,fgsm,0.6533038390181246,1.9592496156692505,0.24446952198449967
dnn_binary_cw,pgd,0.68207514980914,2.2843472957611084,0.18439684000244186
rf_5class_smote,gaussian,0.3566312667236884,0.5190131664276123,-0.3673133614666908
rf_5class_smote,fgsm,0.33869576445641353,0.5740010142326355,-0.05180504050070621
rf_5class_smote,pgd,0.3549706141388186,0.7104872465133667,-0.03185173502331318
xgb_5class_smote,gaussian,0.6098787091397928,17.300525665283203,-0.03155479279975215
xgb_5class_smote,fgsm,0.5964599439968898,18.65534782409668,0.005433871344433541
xgb_5class_smote,pgd,0.605188817750394,23.608888626098633,-0.044746616792943984
dnn_5class_smote,gaussian,0.7982054070724021,2.722313642501831,-0.12264205111689638
dnn_5class_smote,fgsm,0.7140655731788736,5.1696577072143555,0.054912207479889466
dnn_5class_smote,pgd,0.7498084837986316,5.247086524963379,-0.0029269111065783455
