Pair,k,Class,Target,feature_agreement,rank_agreement,sign_agreement,signed_rank_agreement,rank_correlation,pairwise_rank_agreement
rf-xgb,5,all,binary,0.3558041958041948,0.1776223776223787,0.9170163170163171,0.1776223776223787,0.58041958041958,0.7429370629370633
rf-xgb,10,all,binary,0.44601398601398684,0.10377622377622384,0.9875757575757582,0.10335664335664342,0.3769018859927954,0.6469930069930059
rf-xgb,15,all,binary,0.4528671328671306,0.07850815850815936,0.9561555111555098,0.07655011655011741,0.38156843156843145,0.64055944055944
rf-dnn,5,all,binary,0.22545454545454513,0.0646153846153847,0.5741258741258741,0.0626573426573427,0.1401398601398615,0.5618181818181804
rf-dnn,10,all,binary,0.3558041958041973,0.045734265734265915,0.6500838050838043,0.03552447552447559,0.19225259588895957,0.5755089355089346
rf-dnn,15,all,binary,0.38629370629370796,0.032820512820512744,0.7085914085914115,0.02536130536130531,0.29077922077922075,0.6064602064602062
xgb-dnn,5,all,binary,0.1862937062937073,0.05342657342657344,0.5848484848484848,0.05286713286713287,0.15860139860139902,0.5689510489510493
xgb-dnn,10,all,binary,0.30293706293706435,0.038321678321678494,0.6695904095904085,0.033286713286713385,0.19425301970756526,0.5701010101010107
xgb-dnn,15,all,binary,0.3713752913752934,0.03347319347319339,0.6832450882450892,0.026853146853146794,0.13352147852147886,0.5451881451881453
rf-xgb,5,aggregate,5class,0.4615384615384596,0.1574825174825182,1.0,0.1574825174825182,0.5415384615384611,0.7204195804195801
rf-xgb,10,aggregate,5class,0.4290909090909107,0.08643356643356678,1.0,0.08643356643356678,0.48192413646959037,0.6874902874902881
rf-xgb,15,aggregate,5class,0.44913752913752825,0.0682517482517489,1.0,0.0682517482517489,0.3231768231768237,0.6188478188478186
rf-dnn,5,aggregate,5class,0.25902097902097765,0.06573426573426583,0.7692307692307693,0.06573426573426583,0.144615384615385,0.5548251748251756
rf-dnn,10,aggregate,5class,0.3159440559440549,0.04349650349650355,0.9552447552447553,0.04349650349650355,0.016927315109133246,0.5098057498057492
rf-dnn,15,aggregate,5class,0.41463869463869363,0.03999999999999989,0.9986013986013986,0.03999999999999989,0.04997002997002973,0.5144588744588753
xgb-dnn,5,aggregate,5class,0.3317482517482537,0.08279720279720316,0.9286713286713286,0.08279720279720316,0.2781818181818177,0.5960839160839176
xgb-dnn,10,aggregate,5class,0.32195804195804323,0.0468531468531471,0.9972027972027973,0.0468531468531471,0.3755117609663067,0.6289665889665891
xgb-dnn,15,aggregate,5class,0.3424708624708653,0.032820512820512744,1.0,0.032820512820512744,0.25323176823176813,0.582737262737263
