Model,TrueClass,n,mean_SCTS,mean_c1,mean_c2,mean_c3
rf_binary_cw,Normal,400,75.30964660644531,0.9558780193328857,0.4827757775783539,0.9428827166557312
rf_binary_cw,Attack,1233,79.08953857421875,0.9017977714538574,0.6419099569320679,0.8728746175765991
xgb_binary_cw,Normal,400,73.9237289428711,0.9242252111434937,0.5080997943878174,0.8822547793388367
xgb_binary_cw,Attack,1233,60.392333984375,0.7485817074775696,0.5149027705192566,0.6093249320983887
dnn_binary_cw,Normal,400,77.32190704345703,0.7918464541435242,0.7945106029510498,0.7392058372497559
dnn_binary_cw,Attack,1233,85.64446258544922,0.8734925985336304,0.864905595779419,0.8414996862411499
rf_5class_smote,Normal,400,74.06719970703125,0.9262780547142029,0.48843738436698914,0.9234559535980225
rf_5class_smote,DoS,400,67.97176361083984,0.8226768374443054,0.4899839758872986,0.8158890008926392
rf_5class_smote,Probe,400,63.46182632446289,0.7040258646011353,0.5432674288749695,0.6926960945129395
rf_5class_smote,R2L,400,51.234718322753906,0.546337366104126,0.4915394186973572,0.5289710760116577
rf_5class_smote,U2R,33,54.78379440307617,0.5757772922515869,0.5370588898658752,0.5595380663871765
xgb_5class_smote,Normal,400,76.18265533447266,0.9236071705818176,0.5290118455886841,0.9229671359062195
xgb_5class_smote,DoS,400,72.39663696289062,0.817706286907196,0.5861213803291321,0.8161790370941162
xgb_5class_smote,Probe,400,69.28649139404297,0.7292313575744629,0.6446603536605835,0.7269630432128906
xgb_5class_smote,R2L,400,59.09258270263672,0.621657133102417,0.5488501191139221,0.6184875965118408
xgb_5class_smote,U2R,33,53.52155303955078,0.5692974328994751,0.49263811111450195,0.5656892657279968
dnn_5class_smote,Normal,400,79.39900207519531,0.8042526841163635,0.8084732890129089,0.7847211360931396
dnn_5class_smote,DoS,400,80.94841766357422,0.8035768270492554,0.8634965419769287,0.7839779853820801
dnn_5class_smote,Probe,400,74.7376937866211,0.726352870464325,0.8474884033203125,0.6990485191345215
dnn_5class_smote,R2L,400,73.22840118408203,0.7346188426017761,0.794755220413208,0.7081393599510193
dnn_5class_smote,U2R,33,62.874691009521484,0.5701925158500671,0.8870523571968079,0.5273066759109497
