dataset,calibrator,target_risk,per_class_thresholds,coverage,achieved_risk,models_meeting_target
cic_ids2017_v2,cctl,0.02,False,0.9638896526441206,0.00837778081669678,5
cic_ids2017_v2,cctl,0.02,True,0.9442139292290516,0.002640680248762571,6
cic_ids2017_v2,cctl,0.05,False,0.9766165920963831,0.01618950015059369,6
cic_ids2017_v2,cctl,0.05,True,0.9503545212921072,0.004647803101279172,6
cic_ids2017_v2,cctl,0.1,False,0.9858191483157115,0.02441251578019965,6
cic_ids2017_v2,cctl,0.1,True,0.9585905799818365,0.00837601453431898,6
cic_ids2017_v2,cctl_shrunk,0.02,False,0.9639229801451412,0.008406696718501317,5
cic_ids2017_v2,cctl_shrunk,0.02,True,0.9442472567300723,0.002671681440274617,6
cic_ids2017_v2,cctl_shrunk,0.05,False,0.9766165920963831,0.01618950015059369,6
cic_ids2017_v2,cctl_shrunk,0.05,True,0.9503545212921072,0.004647803101279172,6
cic_ids2017_v2,cctl_shrunk,0.1,False,0.9856775064363736,0.02426886983644304,6
cic_ids2017_v2,cctl_shrunk,0.1,True,0.9585905799818365,0.00837601453431898,6
cic_ids2017_v2,dirichlet,0.02,False,0.9836820223127619,0.008097250742141286,6
cic_ids2017_v2,dirichlet,0.02,True,0.9796827221902834,0.0067176531967541725,6
cic_ids2017_v2,dirichlet,0.05,False,0.9998916856216828,0.01232754337319375,6
cic_ids2017_v2,dirichlet,0.05,True,0.9888394530957082,0.009540969974105433,6
cic_ids2017_v2,dirichlet,0.1,False,0.9998916856216828,0.01232754337319375,6
cic_ids2017_v2,dirichlet,0.1,True,0.9936552769931929,0.011063202621131163,6
cic_ids2017_v2,perclass_isotonic_renorm,0.02,False,0.9858816373801251,0.007953344693344723,5
cic_ids2017_v2,perclass_isotonic_renorm,0.02,True,0.9803492722106965,0.008274888134329859,5
cic_ids2017_v2,perclass_isotonic_renorm,0.05,False,0.9984211096391465,0.012923590634148892,6
cic_ids2017_v2,perclass_isotonic_renorm,0.05,True,0.9981544896309812,0.012763529633510642,6
cic_ids2017_v2,perclass_isotonic_renorm,0.1,False,0.9999291790603312,0.013186275050066266,6
