Model,Task,Brier pre,Brier dirichlet,Dirichlet delta,Brier hybrid,Winner
rf_binary_cw,binary,0.00141,0.00146,5e-05,0.00131,hybrid
xgb_binary_cw,binary,0.0009,0.00088,-2e-05,0.0009,dirichlet
dnn_binary_cw,binary,0.02081,0.01722,-0.00359,0.01594,hybrid
rf_5class_smote,5-class,0.00063,0.00069,6e-05,0.00056,hybrid
xgb_5class_smote,5-class,0.00044,0.00042,-2e-05,0.00041,hybrid
dnn_5class_smote,5-class,0.01124,0.00603,-0.00521,0.00538,hybrid
rf_5class_cw,5-class,0.0006,0.00066,6e-05,0.0006,hybrid
xgb_5class_cw,5-class,0.00036,0.00036,-0.0,0.00035,hybrid
dnn_5class_cw,5-class,0.05258,0.01534,-0.03724,0.01643,dirichlet
