Class,Train count,Test count,Train %,Test %
Normal,56000,37000,41.38,58.3
DoS,12264,4089,9.06,6.44
Probe,12491,4173,9.23,6.58
R2L,53323,17777,39.4,28.01
U2R,1263,422,0.93,0.66
