dataset,model,from_raw,to_calibrated,n,share_of_flips
nsl_kdd_v2,rf_5class_cw,Normal,DoS,603,0.5609302325581396
nsl_kdd_v2,rf_5class_cw,Normal,Probe,291,0.27069767441860465
nsl_kdd_v2,rf_5class_cw,Normal,R2L,141,0.13116279069767442
nsl_kdd_v2,rf_5class_cw,Normal,U2R,6,0.005581395348837209
nsl_kdd_v2,rf_5class_cw,DoS,Probe,33,0.030697674418604652
nsl_kdd_v2,rf_5class_cw,Probe,DoS,1,0.0009302325581395349
nsl_kdd_v2,xgb_5class_cw,Normal,DoS,38,0.6551724137931034
nsl_kdd_v2,xgb_5class_cw,Normal,Probe,5,0.08620689655172414
nsl_kdd_v2,xgb_5class_cw,Normal,R2L,1,0.017241379310344827
nsl_kdd_v2,xgb_5class_cw,Probe,DoS,4,0.06896551724137931
nsl_kdd_v2,xgb_5class_cw,Probe,R2L,2,0.034482758620689655
nsl_kdd_v2,xgb_5class_cw,U2R,Normal,5,0.08620689655172414
nsl_kdd_v2,xgb_5class_cw,U2R,Probe,1,0.017241379310344827
nsl_kdd_v2,xgb_5class_cw,U2R,R2L,2,0.034482758620689655
nsl_kdd_v2,dnn_5class_cw,DoS,Normal,89,0.05367913148371532
nsl_kdd_v2,dnn_5class_cw,Probe,Normal,604,0.36429433051869725
nsl_kdd_v2,dnn_5class_cw,R2L,Normal,456,0.2750301568154403
nsl_kdd_v2,dnn_5class_cw,U2R,Normal,509,0.30699638118214717
nsl_kdd_v2,rf_5class_smote,Normal,DoS,583,0.7342569269521411
nsl_kdd_v2,rf_5class_smote,Normal,Probe,6,0.007556675062972292
nsl_kdd_v2,rf_5class_smote,Normal,R2L,1,0.0012594458438287153
nsl_kdd_v2,rf_5class_smote,Probe,Normal,47,0.05919395465994962
nsl_kdd_v2,rf_5class_smote,Probe,DoS,144,0.181360201511335
nsl_kdd_v2,rf_5class_smote,R2L,Normal,11,0.013853904282115869
nsl_kdd_v2,rf_5class_smote,U2R,Normal,1,0.0012594458438287153
nsl_kdd_v2,rf_5class_smote,U2R,R2L,1,0.0012594458438287153
nsl_kdd_v2,xgb_5class_smote,Normal,DoS,8,0.1702127659574468
nsl_kdd_v2,xgb_5class_smote,Probe,Normal,23,0.48936170212765956
nsl_kdd_v2,xgb_5class_smote,R2L,Normal,11,0.23404255319148937
nsl_kdd_v2,xgb_5class_smote,U2R,Normal,5,0.10638297872340426
nsl_kdd_v2,dnn_5class_smote,DoS,Normal,58,0.09446254071661238
nsl_kdd_v2,dnn_5class_smote,Probe,Normal,226,0.36807817589576547
nsl_kdd_v2,dnn_5class_smote,R2L,Normal,237,0.38599348534201955
nsl_kdd_v2,dnn_5class_smote,U2R,Normal,93,0.15146579804560262
unsw_nb15_v2,rf_5class_cw,Normal,R2L,443,0.04016683289509475
unsw_nb15_v2,rf_5class_cw,DoS,Normal,1,9.067005168192946e-05
unsw_nb15_v2,rf_5class_cw,DoS,R2L,6933,0.6286154683108169
unsw_nb15_v2,rf_5class_cw,Probe,Normal,277,0.02511560431589446
unsw_nb15_v2,rf_5class_cw,Probe,DoS,35,0.003173451808867531
unsw_nb15_v2,rf_5class_cw,Probe,R2L,1874,0.16991567685193582
unsw_nb15_v2,rf_5class_cw,Probe,U2R,2,0.00018134010336385892
unsw_nb15_v2,rf_5class_cw,R2L,Normal,760,0.0689092392782664
unsw_nb15_v2,rf_5class_cw,U2R,Normal,2,0.00018134010336385892
unsw_nb15_v2,rf_5class_cw,U2R,R2L,702,0.06365037628071447
unsw_nb15_v2,xgb_5class_cw,Normal,R2L,860,0.08674601573532378
unsw_nb15_v2,xgb_5class_cw,DoS,R2L,6287,0.6341537220092798
unsw_nb15_v2,xgb_5class_cw,Probe,Normal,204,0.02057696187210006
unsw_nb15_v2,xgb_5class_cw,Probe,DoS,24,0.0024208190437764775
