dataset,model,calibrator,decision_preserving_by_construction,pct_decisions_changed_vs_raw,accuracy,macro_f1,ece_top,ece_macro,brier_macro,nll,auroc_conf_vs_correct,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,ece_top_lo,ece_top_hi,brier_macro_lo,brier_macro_hi,auroc_lo,auroc_hi,ece_top_delta_vs_raw_lo,ece_top_delta_vs_raw_hi,brier_delta_vs_raw_lo,brier_delta_vs_raw_hi,auroc_delta_vs_raw_lo,auroc_delta_vs_raw_hi,stratum_ece_Normal,stratum_n_Normal,stratum_ece_DoS,stratum_n_DoS,stratum_ece_Probe,stratum_n_Probe,stratum_ece_R2L,stratum_n_R2L,stratum_ece_U2R,stratum_n_U2R,temperature_T,kappa,holdout_logloss,ece_top_verdict_vs_raw,brier_verdict_vs_raw,auroc_verdict_vs_raw
nsl_kdd_v2,rf_5class_cw,raw,True,0.0,0.7345191625266146,0.46905722217708173,0.19316062271780582,0.08219148105514008,0.08047143662794831,2.3301224053552754,0.9055654212932335,0.973844094326022,0.7569705093833781,0.5964477488641058,0.0034662045060658577,0.014925373134328358,0.18974962838430584,0.19661358835447104,0.07926475673597944,0.08160185248235922,0.9013249156680556,0.9096249400386857,0.0,0.0,0.0,0.0,0.0,0.0,0.2841875064540656,14919,0.03374476246489525,5877,0.09844104267902304,1734,,11,,3,,,,no difference,no difference,no difference
nsl_kdd_v2,rf_5class_cw,temperature,True,0.0,0.7345191625266146,0.46905722217708173,0.22795353170634056,0.09355826701210582,0.09003077460385828,2.6461950525655986,0.9034757516009562,0.973844094326022,0.7569705093833781,0.5964477488641058,0.0034662045060658577,0.014925373134328358,0.22426632369681868,0.23166348879979806,0.08868716694072891,0.0913517538008772,0.8992196374200823,0.9075868990868081,0.034127433404673835,0.03544660825437494,0.00929769602069224,0.009832303983715235,-0.002316630818384896,-0.0018586052475044247,0.3243545448784397,14919,0.04078882703356162,5877,0.12476053219832878,1734,,11,,3,0.5664164535722865,,,worse,worse,worse
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,False,5.291873669268985,0.7828690560681334,0.5606463668297335,0.19643709627613018,0.08585014028714968,0.0828585854094035,5.09054604916945,0.6772072147310646,0.9711667181546699,0.8327077747989277,0.7612556794712928,0.053726169844020795,0.11940298507462686,0.19287625090342042,0.20031637828823232,0.08149461781316682,0.08417728332330303,0.6702809114340412,0.6834189057106608,0.0008647087961227055,0.006216957260812124,0.001954670078518106,0.0028523768578670307,-0.2355161340863885,-0.22200622991528546,0.29773606701514704,13760,0.062412053789848286,6449,0.1253945835285907,2160,0.27090129589040535,162,,13,,,,worse,worse,worse
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,True,0.0,0.7345191625266146,0.46905722217708173,0.22629287615827176,0.09281786290810694,0.08959617087337146,3.3691773613887928,0.9055572381040166,0.973844094326022,0.7569705093833781,0.5964477488641058,0.0034662045060658577,0.014925373134328358,0.22272561376137107,0.22968762043394803,0.08826441573130551,0.09090682815196528,0.9013182701391945,0.9096172137383107,0.031954671842493065,0.034267476399327784,0.008845417368298917,0.00941512755078339,-1.7901030065817224e-05,1.0258432452892034e-06,0.3186442098742192,14919,0.04793641710594697,5877,0.1236289233322041,1734,,11,,3,,,,worse,worse,no difference
nsl_kdd_v2,rf_5class_cw,cctl,True,0.0,0.7345191625266146,0.46905722217708173,0.2021231818633037,0.08780371321456892,0.08714516583977405,3.874418426670862,0.9168172913310714,0.973844094326022,0.7569705093833781,0.5964477488641058,0.0034662045060658577,0.014925373134328358,0.1986356369121516,0.20557611869972425,0.08578996764495038,0.08846033205302663,0.9130130195034702,0.9207239086309144,0.007248516679181765,0.010611369358391796,0.006350956975674523,0.006984362699446526,0.010403878470789715,0.012115512971213585,0.27912929239511114,14919,0.04793641710594697,5877,0.1484593837535016,1734,,11,,3,,,,worse,worse,better
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,True,0.0,0.7345191625266146,0.46905722217708173,0.2021231818633037,0.08780371321456892,0.08714516583977405,3.874418426670862,0.9168172913310714,0.973844094326022,0.7569705093833781,0.5964477488641058,0.0034662045060658577,0.014925373134328358,0.1986356369121516,0.20557611869972425,0.08578996764495038,0.08846033205302663,0.9130130195034702,0.9207239086309144,0.007248516679181765,0.010611369358391796,0.006350956975674523,0.006984362699446526,0.010403878470789715,0.012115512971213585,0.27912929239511114,14919,0.04793641710594697,5877,0.1484593837535016,1734,,11,,3,,0.0,0.0026759451356910633,worse,worse,better
nsl_kdd_v2,rf_5class_cw,dirichlet,False,3.1627040454222857,0.7590046132008517,0.5515156583070489,0.20105960032501272,0.08709554723291055,0.08401445142995272,2.6832907635494805,0.8921338506902393,0.9699310060755844,0.8037533512064343,0.6356877323420075,0.05025996533795494,0.1791044776119403,0.19728629662988512,0.2049890746820484,0.08265652614125962,0.0853963503239378,0.8877718378744222,0.8965157420703658,0.005755105835804277,0.009931568761112513,0.0031342464193792755,0.00392311147863169,-0.016465202934347965,-0.01036281133241058,0.30096819129456254,14292,0.0548283708384468,6249,0.12816549422030452,1834,0.29259718338162993,150,,19,,,,worse,worse,worse
nsl_kdd_v2,xgb_5class_cw,raw,True,0.0,0.7841997870830376,0.5947543324212714,0.19556172386060752,0.08232904816221195,0.08033185729644597,1.6867312151805858,0.8821694490423515,0.9713726701678509,0.8415549597855227,0.721602643535729,0.0707105719237435,0.2537313432835821,0.1915318664208074,0.19934828937408286,0.07881507412528652,0.08181773017110104,0.8780919762105004,0.8864666853374935,0.0,0.0,0.0,0.0,0.0,0.0,0.2935835405836535,13690,0.037973011497679544,6509,0.14392784086553714,2109,0.05913916891747837,210,,26,,,,no difference,no difference,no difference
nsl_kdd_v2,xgb_5class_cw,temperature,True,0.0,0.7841997870830376,0.5947543324212714,0.19387985380053588,0.08197561298044918,0.07988025074552922,1.5692105751646537,0.8822592659188205,0.9713726701678509,0.8415549597855227,0.721602643535729,0.0707105719237435,0.2537313432835821,0.18987715688299686,0.19768394980446313,0.07837087851974792,0.08135859931698311,0.8782270765453805,0.8865649348550454,-0.001733117593048413,-0.0015428458185304467,-0.00047612839720298435,-0.0004279673821101296,3.9197419045519656e-05,0.00014339511668416403,0.29201186399021384,13690,0.03848701505553466,6509,0.14435282271575714,2109,0.06315407257892612,210,,26,1.0774833666832295,,,better,better,better
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,False,0.2971965933286018,0.782735982966643,0.5905922324069701,0.19628863139125485,0.08284866367802414,0.08047483256423955,5.111412978315824,0.6300419872204718,0.9718875502008032,0.8420911528150135,0.7067327550598926,0.06897746967071057,0.23880597014925373,0.1927686973720174,0.20045973558540764,0.07898575550461569,0.08195137981033912,0.6236788254939095,0.6368859155898968,0.00017719518907868202,0.0026573508228648554,5.74494805529978e-06,0.00027778374992215604,-0.2577815955370726,-0.24594962326517034,0.29406633382612235,13751,0.03964900122044042,6513,0.14959052598909978,2053,0.09252533537701661,204,,23,,,,worse,worse,worse
