target,confusable_class,rule,n_poisoned,budget_of_calib,n_target_in_calib,frac_poisoned_from_target_class,audit_accuracy,audit_ece_top,audit_accuracy_delta,audit_ece_delta,stealth_ok,test_accuracy,test_macro_f1,test_ece_top,test_recall_Normal,test_recall_DoS,test_recall_Probe,test_recall_R2L,test_recall_U2R,test_tpcr,routed_to_Normal,routed_to_DoS,routed_to_Probe,routed_to_R2L,routed_to_U2R,baseline_recall_target,baseline_accuracy,baseline_macro_f1,baseline_ece_top,baseline_tpcr,dataset,model,target_kind
R2L,Normal,block_greedy,126,0.0050009922603691205,11726,1.0,0.9989680492161143,0.0054043139632065475,-3.969041476492574e-05,0.005175939896860223,True,0.7713360539389638,0.5328239405753239,0.19968413286926398,0.9720935022139842,0.8288203753351207,0.7042544403139198,0.01871750433275563,0.1044776119402985,0.043692334989354153,0.9736568457538994,0.0,0.006932409012131715,0.01871750433275563,0.0006932409012131716,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy,126,0.0050009922603691205,11726,1.0,0.9989680492161143,0.0054043139632065475,-3.969041476492574e-05,0.005175939896860223,True,0.7713360539389638,0.5328239405753239,0.19968413286926398,0.9720935022139842,0.8288203753351207,0.7042544403139198,0.01871750433275563,0.1044776119402985,0.043692334989354153,0.9736568457538994,0.0,0.006932409012131715,0.01871750433275563,0.0006932409012131716,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy,126,0.0050009922603691205,11726,1.0,0.9989680492161143,0.0054043139632065475,-3.969041476492574e-05,0.005175939896860223,True,0.7713360539389638,0.5328239405753239,0.19968413286926398,0.9720935022139842,0.8288203753351207,0.7042544403139198,0.01871750433275563,0.1044776119402985,0.043692334989354153,0.9736568457538994,0.0,0.006932409012131715,0.01871750433275563,0.0006932409012131716,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy,252,0.010001984520738241,11726,0.7896825396825397,0.9901964675530859,0.0068714741604815315,-0.008811272077793308,0.006643100094135207,False,0.7198367636621718,0.45054153367299576,0.23111274294715947,0.9760065904644218,0.7164879356568364,0.5803387030152829,0.0,0.0,0.01889638041163946,0.9996533795493934,0.0,0.0003466204506065858,0.0,0.0,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy,504,0.020003969041476482,11726,0.3948412698412698,0.9901170867235563,0.008442601930823303,-0.008890652907322938,0.008214227864476979,False,0.7196593328601846,0.45132906494821307,0.22491812228095603,0.9760065904644218,0.7163538873994638,0.5790995456422966,0.0,0.0,0.020049680624556424,0.9996533795493934,0.0,0.0003466204506065858,0.0,0.0,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy,1260,0.050009922603691206,11726,0.15793650793650793,0.9901170867235563,0.03687425826440351,-0.008890652907322938,0.036645884198057185,False,0.7195262597586941,0.4538900243068237,0.21231175076848147,0.9762125424776027,0.7156836461126005,0.5790995456422966,0.0,0.0,0.021779630943931868,0.9996533795493934,0.0,0.0003466204506065858,0.0,0.0,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy,2520,0.10001984520738241,11726,0.07896825396825397,0.9899980154792618,0.1019985160306449,-0.009009724151617382,0.10177014196429858,False,0.7153122782114976,0.45276932666236097,0.21588447013548837,0.9765214704973741,0.7033512064343164,0.5766212308963239,0.0,0.0,0.027812278211497517,0.9996533795493934,0.0,0.0003466204506065858,0.0,0.0,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy_stealth,26,0.0010319507838856916,27,0.46153846153846156,0.9986902163127604,0.0010774869470374898,-0.0003175233181187398,0.0008491128806911652,True,0.7370919091554294,0.4710451966749748,0.2529991119556685,0.973844094326022,0.7656836461126005,0.5935563816604709,0.0034662045060658577,0.014925373134328358,0.0035042583392476934,0.9923743500866551,0.0,0.0038128249566724438,0.0034662045060658577,0.0003466204506065858,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,block_greedy_stealth,27,0.0010716411986505258,27,0.4444444444444444,0.9986902163127604,0.0011174241901157778,-0.0003175233181187398,0.0008890501237694533,True,0.7370919091554294,0.4710451966749748,0.2547857643803839,0.973844094326022,0.7656836461126005,0.5935563816604709,0.0034662045060658577,0.014925373134328358,0.0035042583392476934,0.9923743500866551,0.0,0.0038128249566724438,0.0034662045060658577,0.0003466204506065858,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,random,126,0.0050009922603691205,11726,0.007936507936507936,0.9990077396308792,0.005199470796776212,0.0,0.004971096730429888,True,0.7752838892831796,0.5446124414745765,0.20152851847426617,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.9421143847487001,0.0,0.006932409012131715,0.04991334488734835,0.0010398613518197574,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,random,126,0.0050009922603691205,11726,0.007936507936507936,0.9990077396308792,0.005199470796776212,0.0,0.004971096730429888,True,0.7752838892831796,0.5446124414745765,0.20152851847426617,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.9421143847487001,0.0,0.006932409012131715,0.04991334488734835,0.0010398613518197574,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,random,126,0.0050009922603691205,11726,0.007936507936507936,0.9990077396308792,0.005199470796776212,0.0,0.004971096730429888,True,0.7752838892831796,0.5446124414745765,0.20152851847426617,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.9421143847487001,0.0,0.006932409012131715,0.04991334488734835,0.0010398613518197574,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
R2L,Normal,random,252,0.010001984520738241,11726,0.007936507936507936,0.9990077396308792,0.010201418296896978,0.0,0.009973044230550654,True,0.7752838892831796,0.5446124414745765,0.19754057609747386,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.9421143847487001,0.0,0.006932409012131715,0.04991334488734835,0.0010398613518197574,0.04991334488734835,0.7752838892831796,0.5446124414745765,0.2022965839474868,0.04777324343506033,nsl_kdd_v2,rf_5class_cw,fragile
