Model,Class,n_calib,Brier pre,Brier hybrid,Hybrid strategy,Brier dirichlet,Winner
rf_5class_smote,Normal,13469,0.15093,0.19154,isotonic,0.17264,pre
rf_5class_smote,DoS,9186,0.06785,0.06095,isotonic,0.07023,hybrid
rf_5class_smote,Probe,2331,0.03612,0.04148,isotonic,0.03879,pre
rf_5class_smote,R2L,199,0.10448,0.11932,isotonic,0.11413,pre
rf_5class_smote,U2R,10,0.00214,0.00289,platt,0.00287,pre
xgb_5class_smote,Normal,13469,0.18238,0.18405,isotonic,0.18326,pre
xgb_5class_smote,DoS,9186,0.06288,0.06199,isotonic,0.06372,hybrid
xgb_5class_smote,Probe,2331,0.04124,0.03969,isotonic,0.04075,hybrid
xgb_5class_smote,R2L,199,0.10892,0.11368,isotonic,0.11233,pre
xgb_5class_smote,U2R,10,0.00225,0.00256,platt,0.00259,pre
dnn_5class_smote,Normal,13469,0.18302,0.19858,isotonic,0.19151,pre
dnn_5class_smote,DoS,9186,0.06376,0.06461,isotonic,0.0636,dirichlet
dnn_5class_smote,Probe,2331,0.05011,0.04947,isotonic,0.04924,dirichlet
dnn_5class_smote,R2L,199,0.11833,0.12131,isotonic,0.124,pre
dnn_5class_smote,U2R,10,0.00662,0.00275,platt,0.00297,hybrid
rf_5class_cw,Normal,13469,0.17389,0.19744,isotonic,0.18376,pre
rf_5class_cw,DoS,9186,0.06751,0.06339,isotonic,0.07402,hybrid
rf_5class_cw,Probe,2331,0.04006,0.04618,isotonic,0.04188,pre
rf_5class_cw,R2L,199,0.11183,0.12218,isotonic,0.11592,pre
rf_5class_cw,U2R,10,0.00239,0.00284,platt,0.00318,pre
xgb_5class_cw,Normal,13469,0.18553,0.18616,isotonic,0.19006,pre
xgb_5class_cw,DoS,9186,0.06157,0.06066,isotonic,0.06233,hybrid
xgb_5class_cw,Probe,2331,0.04063,0.04074,isotonic,0.04112,pre
xgb_5class_cw,R2L,199,0.11151,0.11046,isotonic,0.11651,hybrid
xgb_5class_cw,U2R,10,0.00241,0.0026,platt,0.00273,pre
dnn_5class_cw,Normal,13469,0.1583,0.19394,isotonic,0.18962,pre
dnn_5class_cw,DoS,9186,0.06606,0.06746,isotonic,0.06795,pre
dnn_5class_cw,Probe,2331,0.05191,0.04364,isotonic,0.0461,hybrid
dnn_5class_cw,R2L,199,0.10791,0.11969,isotonic,0.111,pre
dnn_5class_cw,U2R,10,0.01787,0.00425,platt,0.00293,dirichlet
