Architecture,Strategy,Accuracy,Macro F1,MCC,R2L F1,U2R F1
RF,class-weighted,0.7345191625266146,0.46905722217708173,0.6172664900609129,0.006906077348066298,0.02857142857142857
RF,SMOTE,0.7427253371185237,0.5101795772576511,0.6296502863986401,0.031313818924438394,0.15384615384615385
XGB,class-weighted,0.7841997870830376,0.5947543324212714,0.6883493965988934,0.13182552504038772,0.3655913978494624
XGB,SMOTE,0.7869499645138396,0.6137674816563837,0.6920296182227537,0.18695106649937265,0.41304347826086957
DNN,class-weighted,0.7716465578424414,0.5471231481826725,0.6637414232061225,0.21897810218978103,0.09348914858096828
DNN,SMOTE,0.7811834634492548,0.5746627663172444,0.6795304958998586,0.1940828402366864,0.24324324324324326
