flag,n_models,mean_pearson,lo_95,hi_95
green,14,0.2917405181093046,0.1721801384990861,0.40319584392405333
amber,6,0.3505791875245284,0.22228424139783295,0.48373809583033744
red,15,0.1839585552459145,0.12174602243980007,0.24158133941796756
green_minus_red_gap,14 vs 15,0.10778196286339012,-0.015837444865154413,0.2300378885366231
