dataset,model,perturbation,jaccard_top10_mean,jaccard_top10_median,jaccard_top10_q25,jaccard_top10_q75,lipschitz_median
nsl_kdd_v2,rf_5class_cw,gaussian,0.7108101898101897,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.3659008923583986
nsl_kdd_v2,rf_5class_cw,fgsm,0.6820862470862471,0.6666666666666666,0.5384615384615384,0.8181818181818182,0.3687789795575568
nsl_kdd_v2,rf_5class_cw,pgd,0.7146866466866467,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.4537661121576079
nsl_kdd_v2,xgb_5class_cw,gaussian,0.7027232767232767,0.6666666666666666,0.6666666666666666,0.8181818181818182,10.496947288513184
nsl_kdd_v2,xgb_5class_cw,fgsm,0.6871541791541791,0.6666666666666666,0.5384615384615384,0.8181818181818182,10.44504165649414
nsl_kdd_v2,xgb_5class_cw,pgd,0.6953200133200134,0.6666666666666666,0.6666666666666666,0.8181818181818182,12.73219108581543
nsl_kdd_v2,dnn_5class_cw,gaussian,0.6102563074180721,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.36611565722954376
nsl_kdd_v2,dnn_5class_cw,fgsm,0.5944939227439228,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.4147135210325724
nsl_kdd_v2,dnn_5class_cw,pgd,0.603222008383773,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.502399896738984
nsl_kdd_v2,rf_5class_smote,gaussian,0.5903311688311688,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.42023641991902494
nsl_kdd_v2,rf_5class_smote,fgsm,0.5538661338661338,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.44625191428845373
nsl_kdd_v2,rf_5class_smote,pgd,0.5710217282717283,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.5418917057052914
nsl_kdd_v2,xgb_5class_smote,gaussian,0.6408423047540693,0.6666666666666666,0.5384615384615384,0.6666666666666666,12.117420196533203
nsl_kdd_v2,xgb_5class_smote,fgsm,0.6218639693639694,0.6666666666666666,0.5384615384615384,0.6666666666666666,12.96137523651123
nsl_kdd_v2,xgb_5class_smote,pgd,0.6335643523143523,0.6666666666666666,0.5384615384615384,0.6666666666666666,15.629493713378906
nsl_kdd_v2,dnn_5class_smote,gaussian,0.6192742894360541,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.7479833269132746
nsl_kdd_v2,dnn_5class_smote,fgsm,0.6062376838847426,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.8405653368109864
nsl_kdd_v2,dnn_5class_smote,pgd,0.6122359111476758,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.9723590170416901
unsw_nb15_v2,rf_5class_cw,gaussian,0.5116685455067809,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.23179542873607423
unsw_nb15_v2,rf_5class_cw,fgsm,0.48216732777026894,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.23404638836215308
unsw_nb15_v2,rf_5class_cw,pgd,0.5180634267693092,0.5384615384615384,0.3333333333333333,0.6666666666666666,0.2990071175323145
unsw_nb15_v2,xgb_5class_cw,gaussian,0.5133203267320914,0.5384615384615384,0.42857142857142855,0.5384615384615384,7.108885765075684
unsw_nb15_v2,xgb_5class_cw,fgsm,0.491140300875595,0.42857142857142855,0.42857142857142855,0.5384615384615384,7.586920738220215
unsw_nb15_v2,xgb_5class_cw,pgd,0.5145380452880453,0.5384615384615384,0.42857142857142855,0.5384615384615384,9.679993629455566
unsw_nb15_v2,dnn_5class_cw,gaussian,0.6183911725529372,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.4113214154381684
unsw_nb15_v2,dnn_5class_cw,fgsm,0.5668449883449883,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.5770620434876228
unsw_nb15_v2,dnn_5class_cw,pgd,0.5977106667841962,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.6649396505376723
unsw_nb15_v2,rf_5class_smote,gaussian,0.5241151250710074,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.2537964279269304
unsw_nb15_v2,rf_5class_smote,fgsm,0.5097756704080233,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.2643201924228917
unsw_nb15_v2,rf_5class_smote,pgd,0.537334547805136,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.3333211653674754
unsw_nb15_v2,xgb_5class_smote,gaussian,0.4922650633680046,0.5384615384615384,0.42857142857142855,0.5384615384615384,7.296425819396973
unsw_nb15_v2,xgb_5class_smote,fgsm,0.4675855957767723,0.42857142857142855,0.3333333333333333,0.5384615384615384,8.257234573364258
unsw_nb15_v2,xgb_5class_smote,pgd,0.4848666235725059,0.42857142857142855,0.42857142857142855,0.5384615384615384,10.232059478759766
unsw_nb15_v2,dnn_5class_smote,gaussian,0.5732878510378511,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.685433271661109
unsw_nb15_v2,dnn_5class_smote,fgsm,0.5509273275743863,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.837192854162905
unsw_nb15_v2,dnn_5class_smote,pgd,0.5685513897866838,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.9812644850576945
cic_ids2017_v2,rf_5class_cw,gaussian,0.3551385039109497,0.3333333333333333,0.25,0.42857142857142855,0.514293031367502
cic_ids2017_v2,rf_5class_cw,fgsm,0.30858409134724923,0.25,0.17647058823529413,0.42857142857142855,0.5506973111436657
cic_ids2017_v2,rf_5class_cw,pgd,0.33131942584419355,0.25,0.17647058823529413,0.42857142857142855,0.6729185449908281
cic_ids2017_v2,xgb_5class_cw,gaussian,0.5866093073593073,0.5384615384615384,0.5384615384615384,0.6666666666666666,17.96575927734375
cic_ids2017_v2,xgb_5class_cw,fgsm,0.5829163336663337,0.5384615384615384,0.5384615384615384,0.6666666666666666,18.87133026123047
cic_ids2017_v2,xgb_5class_cw,pgd,0.5764625374625375,0.5384615384615384,0.5384615384615384,0.6666666666666666,22.982772827148438
cic_ids2017_v2,dnn_5class_cw,gaussian,0.6771232101232101,0.6666666666666666,0.5384615384615384,0.8181818181818182,0.19678690244348415
cic_ids2017_v2,dnn_5class_cw,fgsm,0.6328597725803609,0.6666666666666666,0.5384615384615384,0.8181818181818182,0.23436748194738072
cic_ids2017_v2,dnn_5class_cw,pgd,0.6554543838514427,0.6666666666666666,0.5384615384615384,0.8181818181818182,0.2705402484320331
cic_ids2017_v2,rf_5class_smote,gaussian,0.3950827081415316,0.3333333333333333,0.25,0.5384615384615384,0.5036620164343749
cic_ids2017_v2,rf_5class_smote,fgsm,0.357694212650095,0.3333333333333333,0.25,0.42857142857142855,0.5524371565158406
cic_ids2017_v2,rf_5class_smote,pgd,0.3731828971681913,0.3333333333333333,0.25,0.42857142857142855,0.6657067889875046
cic_ids2017_v2,xgb_5class_smote,gaussian,0.5150906593406592,0.5384615384615384,0.42857142857142855,0.5384615384615384,20.141027450561523
cic_ids2017_v2,xgb_5class_smote,fgsm,0.48535346026522497,0.5384615384615384,0.42857142857142855,0.5384615384615384,22.782047271728516
cic_ids2017_v2,xgb_5class_smote,pgd,0.489267982017982,0.5384615384615384,0.42857142857142855,0.5384615384615384,27.563945770263672
cic_ids2017_v2,dnn_5class_smote,gaussian,0.5136760608672373,0.5384615384615384,0.42857142857142855,0.6666666666666666,0.6871336664619317
