dataset,model,macro_f1_raw_argmax,macro_f1_calibrated_argmax,accuracy_raw_argmax,accuracy_calibrated_argmax,pct_flipped_full_test,pct_flipped_canonical,recall_Normal_raw,recall_Normal_calibrated,predicted_share_Normal_raw,predicted_share_Normal_calibrated,recall_DoS_raw,recall_DoS_calibrated,predicted_share_DoS_raw,predicted_share_DoS_calibrated,recall_Probe_raw,recall_Probe_calibrated,predicted_share_Probe_raw,predicted_share_Probe_calibrated,recall_R2L_raw,recall_R2L_calibrated,predicted_share_R2L_raw,predicted_share_R2L_calibrated,recall_U2R_raw,recall_U2R_calibrated,predicted_share_U2R_raw,predicted_share_U2R_calibrated
nsl_kdd_v2,rf_5class_cw,0.46905722217708173,0.5408602410441459,0.7345191625266146,0.7752838892831796,4.768452803406671,6.7,0.973844094326022,0.9719905262073937,0.6617725337118524,0.615596167494677,0.7569705093833781,0.8288203753351207,0.2606902058197303,0.28601845280340665,0.5964477488641058,0.7042544403139198,0.07691625266146203,0.09124378992193044,0.0034662045060658577,0.05025996533795494,0.0004879347054648687,0.00674237047551455,0.014925373134328358,0.08955223880597014,0.00013307310149041873,0.00039921930447125623
nsl_kdd_v2,xgb_5class_cw,0.5947543324212714,0.5793302965450546,0.7841997870830376,0.785929737402413,0.2572746628814762,1.0999999999999999,0.9713726701678509,0.9713726701678509,0.6072569198012775,0.6055269694819021,0.8415549597855227,0.8469168900804289,0.28872427253371186,0.2905872959545777,0.721602643535729,0.7228418009087154,0.09355039034776437,0.09355039034776437,0.0707105719237435,0.07105719237435008,0.009315117104329312,0.009536905606813343,0.2537313432835821,0.1791044776119403,0.0011533002129169624,0.0007984386089425125
nsl_kdd_v2,dnn_5class_cw,0.5471231481826725,0.5678440769426645,0.7716465578424414,0.774485450674237,7.354506742370476,11.4,0.923488827103285,0.9714756461744414,0.5453779276082328,0.6189229950319376,0.8400804289544236,0.8315013404825737,0.2924946770759404,0.2885468417317246,0.7199504337050805,0.6600578273440727,0.10849893541518808,0.0817068843151171,0.13518197573656845,0.07383015597920277,0.03003016323633783,0.00980305180979418,0.417910447761194,0.1791044776119403,0.02359829666430092,0.0010202271114265436
nsl_kdd_v2,rf_5class_smote,0.5101795772576511,0.5151062654541448,0.7427253371185237,0.7708037615330021,3.522001419446416,3.5999999999999996,0.972299454227165,0.9718875502008032,0.6495298083747338,0.6259758694109298,0.7490616621983914,0.8435656836461126,0.25807310149041873,0.2903211497515969,0.6864931846344485,0.6637752994630318,0.08955819730305181,0.08135202271114265,0.015944540727902946,0.012131715771230503,0.002350958126330731,0.0019517388218594747,0.08955223880597014,0.05970149253731343,0.0004879347054648687,0.00039921930447125623
nsl_kdd_v2,xgb_5class_smote,0.6137674816563837,0.5934893228094353,0.7869499645138396,0.7858410220014195,0.20848119233498938,0.7000000000000001,0.9718875502008032,0.9718875502008032,0.6039744499645139,0.6053495386799148,0.8390080428954424,0.8400804289544236,0.2878814762242725,0.288236337828247,0.7133415943824866,0.7059066501445683,0.09359474804826118,0.09257452093683463,0.10329289428076256,0.0998266897746967,0.013440383250532293,0.012952448545067424,0.2835820895522388,0.208955223880597,0.0011089425124201561,0.0008871540099361249
nsl_kdd_v2,dnn_5class_smote,0.5746627663172444,0.5599996157310869,0.7811834634492548,0.7698278921220724,2.7235628105039034,4.9,0.9627226856142519,0.9709607661414891,0.5880056777856636,0.6152413058907026,0.8441018766756032,0.8379356568364611,0.2945351312987935,0.2919623846699787,0.6650144568360181,0.6179264766625362,0.08862668559261888,0.07860184528034067,0.11369150779896015,0.05545927209705372,0.02195706174591909,0.01144428672817601,0.40298507462686567,0.2835820895522388,0.006875443577004968,0.0027501774308019873
unsw_nb15_v2,rf_5class_cw,0.5685548231851765,0.5545311300643722,0.696128330785837,0.7396038511841919,17.37917776272041,28.199999999999996,0.7214324324324324,0.7355945945945946,0.4314303272876255,0.4408376798348592,0.5774027879677183,0.022499388603570557,0.11071366666141409,0.0020012291013378294,0.7193865324706447,0.6470165348670022,0.08666740202644144,0.0521895337293771,0.6638352927940597,0.9385160600776284,0.35122358613951876,0.4960684514898914,0.7582938388625592,0.5758293838862559,0.019965017885000238,0.008903105844534439
unsw_nb15_v2,xgb_5class_cw,0.577476478570533,0.5737825680092785,0.7012495863601267,0.7304486219883077,15.622193158002554,24.8,0.7354594594594595,0.721027027027027,0.44116859173350564,0.4308472920376294,0.6087062851552947,0.09562240156517486,0.11239974157356486,0.013756480358015159,0.737359213994728,0.6728971962616822,0.09577535809394747,0.060714454546887064,0.6376216459470102,0.9079147212690555,0.3280282378153512,0.4805943808008068,0.9218009478672986,0.8009478672985783,0.022628070783630893,0.014087392256661571
unsw_nb15_v2,dnn_5class_cw,0.47737620806468584,0.4746129007276367,0.6016923779959346,0.6639668457792975,25.417185357936372,37.6,0.6148648648648649,0.608945945945946,0.3621909519232284,0.3582357668489308,0.8143800440205429,0.019320127170457325,0.1657868612218528,0.0015915286553946518,0.7126767313683201,0.6788880901030434,0.10885425694521045,0.07437638864814611,0.49282781121674074,0.9256904989593294,0.2951734135926002,0.5489828398543988,0.8744075829383886,0.5616113744075829,0.06799451631710815,0.01681347599312964
unsw_nb15_v2,rf_5class_smote,0.5504797301063465,0.5422678766546734,0.6871937095223838,0.73112620349506,18.74064386000851,32.300000000000004,0.7201351351351352,0.7217027027027026,0.4300751642741211,0.4303430453349301,0.6475910980679873,0.022743947175348497,0.12483257433699438,0.003167299601329951,0.7280134196022047,0.6386292834890965,0.09405776776287798,0.05831928270906541,0.6133205827754964,0.9373910108567249,0.31951907470730057,0.49707694489529003,0.8909952606635071,0.6469194312796208,0.031515418918705976,0.011093427459384504
