green_pearson,red_pearson,gap,n_green,n_amber,n_red,n_valid_pearson_cells,satisfies_constraints,T_GREEN_LO,CLIFF_GREEN_HI,N_GREEN_LO
0.45715268849592,0.6840410109250812,-0.22688832242916118,45,8,37,50,False,0.001,0.01,30
0.45376078384874274,0.6840410109250812,-0.23028022707633844,34,12,37,50,False,0.001,0.01,50
0.45376078384874274,0.6840410109250812,-0.23028022707633844,34,12,37,50,False,0.001,0.01,100
0.45376078384874274,0.6840410109250812,-0.23028022707633844,34,12,37,50,False,0.001,0.01,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,22,23,37,50,False,0.001,0.01,500
0.4706887711230335,0.6840410109250812,-0.2133522398020477,47,6,37,50,False,0.001,0.05,30
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.05,50
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.05,100
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.05,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,22,23,37,50,False,0.001,0.05,500
0.4706887711230335,0.6840410109250812,-0.2133522398020477,47,6,37,50,False,0.001,0.1,30
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.1,50
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.1,100
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.1,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,22,23,37,50,False,0.001,0.1,500
0.4706887711230335,0.6840410109250812,-0.2133522398020477,47,6,37,50,False,0.001,0.2,30
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.2,50
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.2,100
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.2,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,22,23,37,50,False,0.001,0.2,500
0.4706887711230335,0.6840410109250812,-0.2133522398020477,47,6,37,50,False,0.001,0.3,30
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.3,50
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.3,100
0.4576145606207688,0.6840410109250812,-0.2264264503043124,35,11,37,50,False,0.001,0.3,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,22,23,37,50,False,0.001,0.3,500
0.4703821499999244,0.6840410109250812,-0.2136588609251568,41,9,37,50,False,0.01,0.01,30
0.4686411100650418,0.6840410109250812,-0.2153999008600394,30,13,37,50,False,0.01,0.01,50
0.4686411100650418,0.6840410109250812,-0.2153999008600394,30,13,37,50,False,0.01,0.01,100
0.4686411100650418,0.6840410109250812,-0.2153999008600394,30,13,37,50,False,0.01,0.01,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,20,23,37,50,False,0.01,0.01,500
0.4835592648386796,0.6840410109250812,-0.20048174608640157,43,7,37,50,False,0.01,0.05,30
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.05,50
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.05,100
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.05,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,20,23,37,50,False,0.01,0.05,500
0.4835592648386796,0.6840410109250812,-0.20048174608640157,43,7,37,50,False,0.01,0.1,30
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.1,50
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.1,100
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.1,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,20,23,37,50,False,0.01,0.1,500
0.4835592648386796,0.6840410109250812,-0.20048174608640157,43,7,37,50,False,0.01,0.2,30
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.2,50
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.2,100
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.2,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,20,23,37,50,False,0.01,0.2,500
0.4835592648386796,0.6840410109250812,-0.20048174608640157,43,7,37,50,False,0.01,0.3,30
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.3,50
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.3,100
0.4721391916937042,0.6840410109250812,-0.21190181923137696,31,12,37,50,False,0.01,0.3,200
0.4770329904353986,0.6840410109250812,-0.2070080204896826,20,23,37,50,False,0.01,0.3,500
0.47372989658310083,0.6840410109250812,-0.21031111434198035,32,16,37,50,False,0.05,0.01,30
0.4720411917259803,0.6840410109250812,-0.21199981919910088,23,20,37,50,False,0.05,0.01,50
0.4720411917259803,0.6840410109250812,-0.21199981919910088,23,20,37,50,False,0.05,0.01,100
0.4720411917259803,0.6840410109250812,-0.21199981919910088,23,20,37,50,False,0.05,0.01,200
0.44816998458322105,0.6840410109250812,-0.23587102634186013,15,28,37,50,False,0.05,0.01,500
0.4898568152392675,0.6840410109250812,-0.1941841956858137,34,14,37,50,False,0.05,0.05,30
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.05,50
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.05,100
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.05,200
0.44816998458322105,0.6840410109250812,-0.23587102634186013,15,28,37,50,False,0.05,0.05,500
0.4898568152392675,0.6840410109250812,-0.1941841956858137,34,14,37,50,False,0.05,0.1,30
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.1,50
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.1,100
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.1,200
0.44816998458322105,0.6840410109250812,-0.23587102634186013,15,28,37,50,False,0.05,0.1,500
0.4898568152392675,0.6840410109250812,-0.1941841956858137,34,14,37,50,False,0.05,0.2,30
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.2,50
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.2,100
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.2,200
0.44816998458322105,0.6840410109250812,-0.23587102634186013,15,28,37,50,False,0.05,0.2,500
0.4898568152392675,0.6840410109250812,-0.1941841956858137,34,14,37,50,False,0.05,0.3,30
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.3,50
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.3,100
0.47641787709379685,0.6840410109250812,-0.20762313383128433,24,19,37,50,False,0.05,0.3,200
