dataset,model,model_type,spearman_global,top5_overlap_global,spearman_class_0_Normal,spearman_class_1_DoS,spearman_class_2_Probe,spearman_class_3_R2L,spearman_class_4_U2R,top5_class_0_Normal,top5_class_1_DoS,top5_class_2_Probe,top5_class_3_R2L,top5_class_4_U2R,time_seconds
nsl_kdd_v2,rf_5class_cw,rf,0.8802877755931992,4,0.8362231691041478,0.8228750223903193,0.8065443971204102,0.793800838461857,0.8066560418200578,4,5,4,4,3,0.0
unsw_nb15_v2,rf_5class_cw,rf,0.7761171544732229,4,0.7420946738451002,0.7520754170775329,0.738475851300922,0.7376879201015155,0.7412363276845566,4,2,4,3,5,0.0
cic_ids2017_v2,rf_5class_cw,rf,0.9062597505409697,2,0.8778283791660374,0.8778204493836584,0.890283748142403,0.9174880423338498,0.931232698750698,3,4,2,4,5,0.0
