Model,Class,n_calib,Strategy,Brier pre,Brier post,ECE pre,ECE post
rf_5class_smote,Normal,11200,isotonic,0.1115,0.10983,0.12724,0.1202
rf_5class_smote,DoS,2453,isotonic,0.05019,0.04603,0.03682,0.00396
rf_5class_smote,Probe,2498,isotonic,0.03481,0.02806,0.044,0.01882
rf_5class_smote,R2L,10665,isotonic,0.15167,0.15922,0.10295,0.11052
rf_5class_smote,U2R,253,isotonic,0.01301,0.00592,0.02846,0.00666
xgb_5class_smote,Normal,11200,isotonic,0.10682,0.10698,0.12399,0.12142
xgb_5class_smote,DoS,2453,isotonic,0.05211,0.04531,0.02817,0.00675
xgb_5class_smote,Probe,2498,isotonic,0.03517,0.0284,0.03657,0.02199
xgb_5class_smote,R2L,10665,isotonic,0.1535,0.15848,0.11211,0.11982
xgb_5class_smote,U2R,253,isotonic,0.00863,0.00522,0.01206,0.00549
dnn_5class_smote,Normal,11200,isotonic,0.12617,0.11639,0.14469,0.13026
dnn_5class_smote,DoS,2453,isotonic,0.06262,0.04728,0.0602,0.00509
dnn_5class_smote,Probe,2498,isotonic,0.04827,0.03274,0.05255,0.02248
dnn_5class_smote,R2L,10665,isotonic,0.16736,0.1629,0.14085,0.10401
dnn_5class_smote,U2R,253,isotonic,0.0299,0.00666,0.03974,0.00743
rf_5class_cw,Normal,11200,isotonic,0.11073,0.10988,0.12342,0.11784
rf_5class_cw,DoS,2453,isotonic,0.04881,0.04593,0.02755,0.00576
rf_5class_cw,Probe,2498,isotonic,0.03306,0.02602,0.0418,0.01565
rf_5class_cw,R2L,10665,isotonic,0.14717,0.15535,0.09791,0.11087
rf_5class_cw,U2R,253,isotonic,0.0085,0.00561,0.01929,0.0059
xgb_5class_cw,Normal,11200,isotonic,0.11233,0.11012,0.12895,0.12381
xgb_5class_cw,DoS,2453,isotonic,0.05307,0.04607,0.03117,0.01111
xgb_5class_cw,Probe,2498,isotonic,0.03897,0.02687,0.04449,0.01819
xgb_5class_cw,R2L,10665,isotonic,0.15969,0.16453,0.12353,0.12235
xgb_5class_cw,U2R,253,isotonic,0.0112,0.00514,0.01546,0.00547
dnn_5class_cw,Normal,11200,isotonic,0.14461,0.12354,0.16148,0.13578
dnn_5class_cw,DoS,2453,isotonic,0.06112,0.04623,0.06709,0.00281
dnn_5class_cw,Probe,2498,isotonic,0.04936,0.03842,0.04871,0.0213
dnn_5class_cw,R2L,10665,isotonic,0.1726,0.16572,0.13552,0.10735
dnn_5class_cw,U2R,253,isotonic,0.0379,0.00661,0.0644,0.00772
