dataset,variant,pair,mean_sample_RC,lo_95,hi_95,n
cic_ids2017_v2,5class_cw,rf-dnn,-0.03964848484848484,-0.058294545454545446,-0.021344545454545446,1000
cic_ids2017_v2,5class_cw,rf-xgb,0.26769696969696966,0.24528818181818177,0.2874081818181818,1000
cic_ids2017_v2,5class_cw,xgb-dnn,0.2767272727272727,0.2600724242424242,0.292450606060606,1000
cic_ids2017_v2,5class_smote,rf-dnn,0.001260606060606061,-0.019976363636363625,0.0243851515151515,1000
cic_ids2017_v2,5class_smote,rf-xgb,0.3629818181818181,0.3470736363636363,0.3789466666666666,1000
cic_ids2017_v2,5class_smote,xgb-dnn,0.302690909090909,0.2887975757575757,0.3176248484848484,1000
nsl_kdd_v2,5class_cw,rf-dnn,0.014521212121212108,-0.0007933333333333396,0.03095939393939392,1000
nsl_kdd_v2,5class_cw,rf-xgb,0.5687878787878787,0.5550290909090909,0.5817345454545453,1000
nsl_kdd_v2,5class_cw,xgb-dnn,-0.19328484848484845,-0.21048515151515146,-0.1766533333333333,1000
nsl_kdd_v2,5class_smote,rf-dnn,0.01167272727272727,-0.003356363636363635,0.027067272727272718,1000
nsl_kdd_v2,5class_smote,rf-xgb,0.6067515151515152,0.5929093939393938,0.620340303030303,1000
nsl_kdd_v2,5class_smote,xgb-dnn,-0.06781818181818182,-0.08413969696969696,-0.05165939393939394,1000
unsw_nb15_v2,5class_cw,rf-dnn,0.18933333333333333,0.1703512121212121,0.20638878787878784,1000
unsw_nb15_v2,5class_cw,rf-xgb,0.5363272727272727,0.5186157575757575,0.552570909090909,1000
unsw_nb15_v2,5class_cw,xgb-dnn,0.274230303030303,0.25951454545454544,0.2901469696969697,1000
unsw_nb15_v2,5class_smote,rf-dnn,0.1688,0.1492112121212121,0.1878312121212121,1000
unsw_nb15_v2,5class_smote,rf-xgb,0.5758060606060605,0.5590739393939393,0.5919254545454545,1000
unsw_nb15_v2,5class_smote,xgb-dnn,0.24656969696969694,0.2297209090909091,0.26133545454545454,1000
