dataset,model,predicted_class,mondrian_thresh_v2,mondrian_thresh_strict,mondrian_thresh_delta,health_flag_v2,health_flag_strict,flag_changed,mean_scts_v2,mean_scts_strict,mean_c3_v2,mean_c3_strict,scts_pearson_v2,scts_pearson_strict
nsl_kdd_v2,rf_5class_cw,Normal,1.0,1.0646886856258142e-05,-0.9999893531131437,red,red,False,81.83418815088272,1.2763543025255204,0.9402738586273044,0.004232727206316935,-0.032091819433688884,0.015671620817360975
nsl_kdd_v2,rf_5class_cw,DoS,0.48000115624718354,1.0646886856258142e-05,-0.4799905093603273,green,red,True,81.83418815088272,1.2763543025255204,0.9402738586273044,0.004232727206316935,-0.032091819433688884,0.015671620817360975
nsl_kdd_v2,rf_5class_cw,Probe,1.0,1.0646886856258142e-05,-0.9999893531131437,red,red,False,81.83418815088272,1.2763543025255204,0.9402738586273044,0.004232727206316935,-0.032091819433688884,0.015671620817360975
nsl_kdd_v2,rf_5class_cw,R2L,0.49354748735004383,0.6515731034498284,0.1580256160997846,green,amber,True,81.83418815088272,1.2763543025255204,0.9402738586273044,0.004232727206316935,-0.032091819433688884,0.015671620817360975
nsl_kdd_v2,rf_5class_cw,U2R,1.0,1.0646886856258142e-05,-0.9999893531131437,red,red,False,81.83418815088272,1.2763543025255204,0.9402738586273044,0.004232727206316935,-0.032091819433688884,0.015671620817360975
nsl_kdd_v2,xgb_5class_cw,Normal,1.0,2.086162567138672e-06,-0.9999979138374329,red,red,False,82.03346580696106,9.886911756038666,0.9488400429487228,0.020726502776145937,0.12017220900304812,0.12047096954084385
nsl_kdd_v2,xgb_5class_cw,DoS,0.2908620834350586,2.0265579223632812e-06,-0.29086005687713623,green,red,True,82.03346580696106,9.886911756038666,0.9488400429487228,0.020726502776145937,0.12017220900304812,0.12047096954084385
nsl_kdd_v2,xgb_5class_cw,Probe,1.0,2.0265579223632812e-06,-0.9999979734420776,red,red,False,82.03346580696106,9.886911756038666,0.9488400429487228,0.020726502776145937,0.12017220900304812,0.12047096954084385
nsl_kdd_v2,xgb_5class_cw,R2L,0.40000253915786743,0.4321458041667938,0.03214326500892639,green,amber,True,82.03346580696106,9.886911756038666,0.9488400429487228,0.020726502776145937,0.12017220900304812,0.12047096954084385
nsl_kdd_v2,xgb_5class_cw,U2R,1.0,2.0265579223632812e-06,-0.9999979734420776,red,red,False,82.03346580696106,9.886911756038666,0.9488400429487228,0.020726502776145937,0.12017220900304812,0.12047096954084385
nsl_kdd_v2,dnn_5class_cw,Normal,1.0,0.031620092689991,-0.968379907310009,red,amber,True,75.82516004103422,46.81953431457281,0.9334676352143287,0.5662261609435082,-0.005029389650715358,-0.01016050593936604
nsl_kdd_v2,dnn_5class_cw,DoS,0.4447098970413208,9.012222290039062e-05,-0.4446197748184204,green,red,True,75.82516004103422,46.81953431457281,0.9334676352143287,0.5662261609435082,-0.005029389650715358,-0.01016050593936604
nsl_kdd_v2,dnn_5class_cw,Probe,0.9866669774055481,0.18288248777389526,-0.8037844896316528,amber,green,True,75.82516004103422,46.81953431457281,0.9334676352143287,0.5662261609435082,-0.005029389650715358,-0.01016050593936604
nsl_kdd_v2,dnn_5class_cw,R2L,0.3751949667930603,0.8595784306526184,0.4843834638595581,green,amber,True,75.82516004103422,46.81953431457281,0.9334676352143287,0.5662261609435082,-0.005029389650715358,-0.01016050593936604
nsl_kdd_v2,dnn_5class_cw,U2R,1.0,0.02159399911761284,-0.9784060008823872,red,red,False,75.82516004103422,46.81953431457281,0.9334676352143287,0.5662261609435082,-0.005029389650715358,-0.01016050593936604
nsl_kdd_v2,rf_5class_smote,Normal,1.0,1.0123870551986838e-05,-0.999989876129448,red,red,False,74.78532892644405,9.76971124625206,0.9286343473325834,0.024322195702393024,-0.09957113161252046,0.28597620373669275
nsl_kdd_v2,rf_5class_smote,DoS,0.49061055056052216,9.556758022055689e-06,-0.4906009938025001,green,red,True,74.78532892644405,9.76971124625206,0.9286343473325834,0.024322195702393024,-0.09957113161252046,0.28597620373669275
nsl_kdd_v2,rf_5class_smote,Probe,1.0,9.556758022055689e-06,-0.9999904432419779,red,red,False,74.78532892644405,9.76971124625206,0.9286343473325834,0.024322195702393024,-0.09957113161252046,0.28597620373669275
nsl_kdd_v2,rf_5class_smote,R2L,0.46153936913341764,0.5838168046881556,0.12227743555473791,green,amber,True,74.78532892644405,9.76971124625206,0.9286343473325834,0.024322195702393024,-0.09957113161252046,0.28597620373669275
nsl_kdd_v2,rf_5class_smote,U2R,1.0,9.586237386227658e-06,-0.9999904137626138,red,red,False,74.78532892644405,9.76971124625206,0.9286343473325834,0.024322195702393024,-0.09957113161252046,0.28597620373669275
nsl_kdd_v2,xgb_5class_smote,Normal,1.0,2.6226043701171875e-06,-0.9999973773956299,red,red,False,78.71484122049809,2.62276036041975,0.946165211737156,0.022994661033153535,0.14589061280106141,0.10565280326966354
nsl_kdd_v2,xgb_5class_smote,DoS,0.3571479916572571,2.6226043701171875e-06,-0.35714536905288696,green,red,True,78.71484122049809,2.62276036041975,0.946165211737156,0.022994661033153535,0.14589061280106141,0.10565280326966354
nsl_kdd_v2,xgb_5class_smote,Probe,1.0,2.6226043701171875e-06,-0.9999973773956299,red,red,False,78.71484122049809,2.62276036041975,0.946165211737156,0.022994661033153535,0.14589061280106141,0.10565280326966354
nsl_kdd_v2,xgb_5class_smote,R2L,0.43968233466148376,0.025644950568675995,-0.41403738409280777,green,amber,True,78.71484122049809,2.62276036041975,0.946165211737156,0.022994661033153535,0.14589061280106141,0.10565280326966354
nsl_kdd_v2,xgb_5class_smote,U2R,1.0,2.6226043701171875e-06,-0.9999973773956299,red,red,False,78.71484122049809,2.62276036041975,0.946165211737156,0.022994661033153535,0.14589061280106141,0.10565280326966354
nsl_kdd_v2,dnn_5class_smote,Normal,1.0,0.00010460615158081055,-0.9998953938484192,red,red,False,77.26345202875137,15.843568047642707,0.9586090327501297,0.12099187415838242,0.202217025496332,0.19954012464334775
nsl_kdd_v2,dnn_5class_smote,DoS,0.45670437812805176,0.00010406970977783203,-0.4566003084182739,green,red,True,77.26345202875137,15.843568047642707,0.9586090327501297,0.12099187415838242,0.202217025496332,0.19954012464334775
nsl_kdd_v2,dnn_5class_smote,Probe,1.0,0.008349001407623291,-0.9916509985923767,red,amber,True,77.26345202875137,15.843568047642707,0.9586090327501297,0.12099187415838242,0.202217025496332,0.19954012464334775
nsl_kdd_v2,dnn_5class_smote,R2L,1.0,0.9333398342132568,-0.06666016578674316,red,amber,True,77.26345202875137,15.843568047642707,0.9586090327501297,0.12099187415838242,0.202217025496332,0.19954012464334775
nsl_kdd_v2,dnn_5class_smote,U2R,1.0,0.0044321417808532715,-0.9955678582191467,red,red,False,77.26345202875137,15.843568047642707,0.9586090327501297,0.12099187415838242,0.202217025496332,0.19954012464334775
unsw_nb15_v2,rf_5class_cw,Normal,0.4874123811248312,0.508852118727751,0.02143973760291984,green,green,False,58.5505365164876,58.67613703206182,0.6924573806524277,0.6916758455857634,0.45324965236566944,0.4482407167340817
unsw_nb15_v2,rf_5class_cw,DoS,0.690847979035034,0.804796172841667,0.11394819380663301,green,red,True,58.5505365164876,58.67613703206182,0.6924573806524277,0.6916758455857634,0.45324965236566944,0.4482407167340817
unsw_nb15_v2,rf_5class_cw,Probe,0.7267913863775285,0.5803534129233457,-0.14643797345418275,green,green,False,58.5505365164876,58.67613703206182,0.6924573806524277,0.6916758455857634,0.45324965236566944,0.4482407167340817
unsw_nb15_v2,rf_5class_cw,R2L,0.9001092132802904,0.89307657822119,-0.007032635059100345,green,green,False,58.5505365164876,58.67613703206182,0.6924573806524277,0.6916758455857634,0.45324965236566944,0.4482407167340817
unsw_nb15_v2,rf_5class_cw,U2R,0.9982911108044621,0.9780305604999536,-0.020260550304508462,red,amber,True,58.5505365164876,58.67613703206182,0.6924573806524277,0.6916758455857634,0.45324965236566944,0.4482407167340817
unsw_nb15_v2,xgb_5class_cw,Normal,0.4801475405693054,0.49233824014663696,0.012190699577331543,green,green,False,62.20256343409419,62.2218841073513,0.7505700076818467,0.7473401244878769,0.473930441334393,0.4801689592261352
unsw_nb15_v2,xgb_5class_cw,DoS,0.8636389374732971,0.8407449722290039,-0.022893965244293213,green,amber,True,62.20256343409419,62.2218841073513,0.7505700076818467,0.7473401244878769,0.473930441334393,0.4801689592261352
unsw_nb15_v2,xgb_5class_cw,Probe,0.9127776026725769,0.7467396855354309,-0.166037917137146,green,green,False,62.20256343409419,62.2218841073513,0.7505700076818467,0.7473401244878769,0.473930441334393,0.4801689592261352
unsw_nb15_v2,xgb_5class_cw,R2L,0.9098784327507019,0.8903102278709412,-0.019568204879760742,green,green,False,62.20256343409419,62.2218841073513,0.7505700076818467,0.7473401244878769,0.473930441334393,0.4801689592261352
unsw_nb15_v2,xgb_5class_cw,U2R,0.9981290698051453,0.9951592683792114,-0.002969801425933838,red,amber,True,62.20256343409419,62.2218841073513,0.7505700076818467,0.7473401244878769,0.473930441334393,0.4801689592261352
unsw_nb15_v2,dnn_5class_cw,Normal,0.46638959646224976,0.0,-0.46638959646224976,green,red,True,62.35959039312601,59.938219614411814,0.6972630808353424,0.6538414745368827,0.43532510742564223,
unsw_nb15_v2,dnn_5class_cw,DoS,0.5731340050697327,0.8166871070861816,0.24355310201644897,amber,red,True,62.35959039312601,59.938219614411814,0.6972630808353424,0.6538414745368827,0.43532510742564223,
unsw_nb15_v2,dnn_5class_cw,Probe,0.9781879782676697,0.8506355881690979,-0.12755239009857178,amber,green,True,62.35959039312601,59.938219614411814,0.6972630808353424,0.6538414745368827,0.43532510742564223,
unsw_nb15_v2,dnn_5class_cw,R2L,0.8907523155212402,0.8910475969314575,0.00029528141021728516,green,green,False,62.35959039312601,59.938219614411814,0.6972630808353424,0.6538414745368827,0.43532510742564223,
unsw_nb15_v2,dnn_5class_cw,U2R,0.9985120892524719,0.9770077466964722,-0.021504342555999756,red,amber,True,62.35959039312601,59.938219614411814,0.6972630808353424,0.6538414745368827,0.43532510742564223,
unsw_nb15_v2,rf_5class_smote,Normal,0.49192952937459744,0.4898282879714695,-0.0021012414031279514,green,green,False,60.2643596381247,60.18418120971322,0.7034117052834481,0.7010572096906835,0.5039791488267402,0.4845764934387374
unsw_nb15_v2,rf_5class_smote,DoS,0.8096613717370588,0.821473904734338,0.011812532997279246,green,red,True,60.2643596381247,60.18418120971322,0.7034117052834481,0.7010572096906835,0.5039791488267402,0.4845764934387374
unsw_nb15_v2,rf_5class_smote,Probe,0.8010273929344949,0.6556167977121395,-0.14541059522235533,green,green,False,60.2643596381247,60.18418120971322,0.7034117052834481,0.7010572096906835,0.5039791488267402,0.4845764934387374
unsw_nb15_v2,rf_5class_smote,R2L,0.8975130187103496,0.893963805851238,-0.0035492128591115835,green,green,False,60.2643596381247,60.18418120971322,0.7034117052834481,0.7010572096906835,0.5039791488267402,0.4845764934387374
unsw_nb15_v2,rf_5class_smote,U2R,0.999337565692101,0.9806986207336031,-0.018638944958497827,red,amber,True,60.2643596381247,60.18418120971322,0.7034117052834481,0.7010572096906835,0.5039791488267402,0.4845764934387374
unsw_nb15_v2,xgb_5class_smote,Normal,0.4848346710205078,0.5203753709793091,0.03554069995880127,green,green,False,59.693235286980865,59.801068961024285,0.7260880537033081,0.7220065612792969,0.5077966480468924,0.49905435584995367
unsw_nb15_v2,xgb_5class_smote,DoS,0.8512584567070007,0.8033283948898315,-0.04793006181716919,green,red,True,59.693235286980865,59.801068961024285,0.7260880537033081,0.7220065612792969,0.5077966480468924,0.49905435584995367
unsw_nb15_v2,xgb_5class_smote,Probe,0.9123104214668274,0.735349714756012,-0.17696070671081543,green,green,False,59.693235286980865,59.801068961024285,0.7260880537033081,0.7220065612792969,0.5077966480468924,0.49905435584995367
unsw_nb15_v2,xgb_5class_smote,R2L,0.9050580859184265,0.8894880414009094,-0.01557004451751709,green,green,False,59.693235286980865,59.801068961024285,0.7260880537033081,0.7220065612792969,0.5077966480468924,0.49905435584995367
unsw_nb15_v2,xgb_5class_smote,U2R,0.9977757334709167,0.9834945797920227,-0.014281153678894043,red,amber,True,59.693235286980865,59.801068961024285,0.7260880537033081,0.7220065612792969,0.5077966480468924,0.49905435584995367
unsw_nb15_v2,dnn_5class_smote,Normal,0.49464404582977295,0.5049170851707458,0.0102730393409729,green,green,False,60.77912913841009,61.44291787678004,0.7008581916689873,0.7064517325162888,0.41648418484914296,0.4828501319141637
unsw_nb15_v2,dnn_5class_smote,DoS,0.6507017612457275,0.8247913122177124,0.17408955097198486,green,red,True,60.77912913841009,61.44291787678004,0.7008581916689873,0.7064517325162888,0.41648418484914296,0.4828501319141637
unsw_nb15_v2,dnn_5class_smote,Probe,0.9772981405258179,0.8196023106575012,-0.15769582986831665,amber,green,True,60.77912913841009,61.44291787678004,0.7008581916689873,0.7064517325162888,0.41648418484914296,0.4828501319141637
unsw_nb15_v2,dnn_5class_smote,R2L,0.8904426097869873,0.8927103281021118,0.0022677183151245117,green,green,False,60.77912913841009,61.44291787678004,0.7008581916689873,0.7064517325162888,0.41648418484914296,0.4828501319141637
