protocol,dataset,flag,n_samples,accuracy,accuracy_lo,accuracy_hi,share_of_samples
strict,cic_ids2017_v2,green,1589,0.8571428571428571,0.8386686160703892,0.8747640613328784,0.2648333333333333
strict,cic_ids2017_v2,amber,3259,0.9871126112304388,0.9822357367492448,0.9914660814643653,0.5431666666666667
strict,cic_ids2017_v2,red,1152,0.984375,0.9726960202071838,0.9941521688193773,0.192
strict,nsl_kdd_v2,green,156,0.9230769230769231,0.8780452353942144,0.9617877665466629,0.026
strict,nsl_kdd_v2,amber,811,0.5524044389642416,0.514739706411681,0.589464684977823,0.13516666666666666
strict,nsl_kdd_v2,red,5033,0.6320286111663024,0.6032143022622529,0.661040584293674,0.8388333333333333
strict,unsw_nb15_v2,green,4918,0.5386335908906059,0.5071786066224349,0.5703022253896233,0.8196666666666667
strict,unsw_nb15_v2,amber,900,0.9155555555555556,0.8760421831430398,0.9496795208935972,0.15
strict,unsw_nb15_v2,red,182,0.8736263736263736,0.815,0.9267047631209296,0.030333333333333334
v2,cic_ids2017_v2,green,1380,0.8355072463768116,0.8152816698138657,0.8550831713626945,0.23
v2,cic_ids2017_v2,amber,2891,0.9840885506745071,0.9784540624092108,0.9892846648482102,0.48183333333333334
v2,cic_ids2017_v2,red,1729,0.9895893580104106,0.9817321997893064,0.9960652051714446,0.2881666666666667
v2,nsl_kdd_v2,green,1443,0.9050589050589051,0.8705323710168548,0.935906706091326,0.2405
v2,nsl_kdd_v2,amber,165,0.8848484848484849,0.8333333333333334,0.9314305283757338,0.0275
v2,nsl_kdd_v2,red,4392,0.5248178506375227,0.4911376964713081,0.5583826394752224,0.732
v2,unsw_nb15_v2,green,4782,0.5299038059389377,0.49874445155745445,0.5616090782216011,0.797
v2,unsw_nb15_v2,amber,376,0.776595744680851,0.7206703910614525,0.8294573643410853,0.06266666666666666
v2,unsw_nb15_v2,red,842,0.9263657957244655,0.8857508871722528,0.9612302056129005,0.14033333333333334
