flag,successes,n,proportion,lo_95,hi_95,method
red,1206,1278,0.9436619718309859,0.9296402172760557,0.9550245688382039,wilson
green,71,1278,0.05555555555555555,0.04427736371066869,0.06949759482037272,wilson
amber,1,1278,0.000782472613458529,0.00013813898605886856,0.00441894471606161,wilson
