dataset,variant,source,rank,feature_index,feature,mean_abs_shap,share_of_total
unsw_nb15_v2,5class_cw,dnn (softmax),7,5,rate,0.13573143766129694,0.04200983024902688
unsw_nb15_v2,5class_cw,dnn (softmax),8,159,proto_unas,0.1254737285720694,0.038834997468888834
unsw_nb15_v2,5class_cw,dnn (softmax),9,30,ct_src_dport_ltm,0.11640911709736262,0.036029436753647136
unsw_nb15_v2,5class_cw,dnn (softmax),10,28,ct_state_ttl,0.09176436385018606,0.028401713078999444
unsw_nb15_v2,5class_cw,dnn (logit),1,23,smean,3.390118360519409,0.07957673817873001
unsw_nb15_v2,5class_cw,dnn (logit),2,6,sttl,3.0047390460968018,0.07053067535161972
unsw_nb15_v2,5class_cw,dnn (logit),3,7,dttl,2.6111810207366943,0.061292629688978195
unsw_nb15_v2,5class_cw,dnn (logit),4,159,proto_unas,2.152717351913452,0.0505310483276844
unsw_nb15_v2,5class_cw,dnn (logit),5,32,ct_dst_src_ltm,1.9194397926330566,0.045055288821458817
unsw_nb15_v2,5class_cw,dnn (logit),6,24,dmean,1.807532787322998,0.042428478598594666
unsw_nb15_v2,5class_cw,dnn (logit),7,28,ct_state_ttl,1.7077308893203735,0.0400858148932457
unsw_nb15_v2,5class_cw,dnn (logit),8,8,sload,1.6787924766540527,0.039406538009643555
unsw_nb15_v2,5class_cw,dnn (logit),9,5,rate,1.4510084390640259,0.034059733152389526
unsw_nb15_v2,5class_cw,dnn (logit),10,30,ct_src_dport_ltm,1.1459481716156006,0.026899008080363274
unsw_nb15_v2,5class_smote,xgb (logit),1,6,sttl,2.909672498703003,0.10723443329334259
unsw_nb15_v2,5class_smote,xgb (logit),2,3,sbytes,2.2250454425811768,0.08200287073850632
unsw_nb15_v2,5class_smote,xgb (logit),3,23,smean,2.082645893096924,0.07675480842590332
unsw_nb15_v2,5class_smote,xgb (logit),4,32,ct_dst_src_ltm,1.6688311100006104,0.06150388717651367
unsw_nb15_v2,5class_smote,xgb (logit),5,158,proto_udp,1.6196925640106201,0.05969291180372238
unsw_nb15_v2,5class_smote,xgb (logit),6,30,ct_src_dport_ltm,1.3816252946853638,0.0509190671145916
unsw_nb15_v2,5class_smote,xgb (logit),7,10,sloss,1.053826093673706,0.03883820027112961
unsw_nb15_v2,5class_smote,xgb (logit),8,37,ct_srv_dst,1.0250638723373413,0.037778183817863464
unsw_nb15_v2,5class_smote,xgb (logit),9,4,dbytes,0.9036842584609985,0.03330480307340622
unsw_nb15_v2,5class_smote,xgb (logit),10,24,dmean,0.8848832249641418,0.0326119028031826
unsw_nb15_v2,5class_smote,rf (prob),1,32,ct_dst_src_ltm,0.11309737070024073,0.06335192107289607
unsw_nb15_v2,5class_smote,rf (prob),2,3,sbytes,0.10920636888778468,0.061172361652628425
unsw_nb15_v2,5class_smote,rf (prob),3,23,smean,0.09762844413816352,0.05468694319962129
unsw_nb15_v2,5class_smote,rf (prob),4,6,sttl,0.09646326198329856,0.05403426199710069
unsw_nb15_v2,5class_smote,rf (prob),5,37,ct_srv_dst,0.08368106014479272,0.046874263166030376
unsw_nb15_v2,5class_smote,rf (prob),6,158,proto_udp,0.0815682159329563,0.04569074546867951
unsw_nb15_v2,5class_smote,rf (prob),7,28,ct_state_ttl,0.06613800062487728,0.037047451851128295
unsw_nb15_v2,5class_smote,rf (prob),8,4,dbytes,0.059176459508500076,0.033147918196014675
unsw_nb15_v2,5class_smote,rf (prob),9,24,dmean,0.05675078080547237,0.031789165072127167
unsw_nb15_v2,5class_smote,rf (prob),10,2,dpkts,0.05451541649416294,0.03053701727644952
unsw_nb15_v2,5class_smote,dnn (softmax),1,23,smean,0.3917901730159043,0.09452499767161018
unsw_nb15_v2,5class_smote,dnn (softmax),2,24,dmean,0.3550534356202772,0.08566173295505682
unsw_nb15_v2,5class_smote,dnn (softmax),3,6,sttl,0.24635821761423188,0.05943745287716033
unsw_nb15_v2,5class_smote,dnn (softmax),4,32,ct_dst_src_ltm,0.22283317511611528,0.053761699015746525
unsw_nb15_v2,5class_smote,dnn (softmax),5,7,dttl,0.19235349982035257,0.046408040259618276
unsw_nb15_v2,5class_smote,dnn (softmax),6,8,sload,0.18454309071383634,0.04452366705820621
unsw_nb15_v2,5class_smote,dnn (softmax),7,5,rate,0.16161142179658577,0.03899107308239647
unsw_nb15_v2,5class_smote,dnn (softmax),8,30,ct_src_dport_ltm,0.14950767693396422,0.03607087106163108
unsw_nb15_v2,5class_smote,dnn (softmax),9,159,proto_unas,0.149215107998537,0.03600028461040092
unsw_nb15_v2,5class_smote,dnn (softmax),10,37,ct_srv_dst,0.10715613642578103,0.025852954575597595
unsw_nb15_v2,5class_smote,dnn (logit),1,6,sttl,4.355740070343018,0.0715561956167221
unsw_nb15_v2,5class_smote,dnn (logit),2,23,smean,4.33822774887085,0.07126849889755249
unsw_nb15_v2,5class_smote,dnn (logit),3,24,dmean,3.5781173706054688,0.05878138914704323
unsw_nb15_v2,5class_smote,dnn (logit),4,7,dttl,2.873004913330078,0.04719778895378113
unsw_nb15_v2,5class_smote,dnn (logit),5,159,proto_unas,2.735896348953247,0.0449453666806221
unsw_nb15_v2,5class_smote,dnn (logit),6,28,ct_state_ttl,2.619615077972412,0.04303509369492531
unsw_nb15_v2,5class_smote,dnn (logit),7,32,ct_dst_src_ltm,2.3792765140533447,0.039086807519197464
unsw_nb15_v2,5class_smote,dnn (logit),8,30,ct_src_dport_ltm,2.280534505844116,0.03746467083692551
unsw_nb15_v2,5class_smote,dnn (logit),9,8,sload,2.134082078933716,0.035058747977018356
unsw_nb15_v2,5class_smote,dnn (logit),10,5,rate,1.8364996910095215,0.030170056968927383
cic_ids2017_v2,5class_cw,xgb (logit),1,0,Destination Port,9.359766960144043,0.21891185641288757
cic_ids2017_v2,5class_cw,xgb (logit),2,37,Bwd Packets/s,3.0995099544525146,0.07249320298433304
cic_ids2017_v2,5class_cw,xgb (logit),3,66,Init_Win_bytes_forward,2.442995071411133,0.05713823810219765
cic_ids2017_v2,5class_cw,xgb (logit),4,67,Init_Win_bytes_backward,1.8193583488464355,0.042552247643470764
cic_ids2017_v2,5class_cw,xgb (logit),5,46,PSH Flag Count,1.6441527605056763,0.03845443204045296
cic_ids2017_v2,5class_cw,xgb (logit),6,8,Fwd Packet Length Mean,1.5961673259735107,0.03733212128281593
cic_ids2017_v2,5class_cw,xgb (logit),7,13,Bwd Packet Length Std,1.427983045578003,0.033398523926734924
cic_ids2017_v2,5class_cw,xgb (logit),8,1,Flow Duration,1.3744299411773682,0.032145991921424866
cic_ids2017_v2,5class_cw,xgb (logit),9,2,Total Fwd Packets,1.3165236711502075,0.030791645869612694
cic_ids2017_v2,5class_cw,xgb (logit),10,19,Flow IAT Min,1.30508553981781,0.030524125322699547
cic_ids2017_v2,5class_cw,rf (prob),1,0,Destination Port,0.20392137037043206,0.10594375676528088
cic_ids2017_v2,5class_cw,rf (prob),2,11,Bwd Packet Length Min,0.07148521056028782,0.037138882237582986
cic_ids2017_v2,5class_cw,rf (prob),3,13,Bwd Packet Length Std,0.059234904577795136,0.030774451501599402
cic_ids2017_v2,5class_cw,rf (prob),4,52,Average Packet Size,0.05699772495886554,0.029612164229021878
cic_ids2017_v2,5class_cw,rf (prob),5,42,Packet Length Variance,0.05289261926057825,0.02747942885751528
cic_ids2017_v2,5class_cw,rf (prob),6,66,Init_Win_bytes_forward,0.05152568815635669,0.026769263875015027
cic_ids2017_v2,5class_cw,rf (prob),7,37,Bwd Packets/s,0.04935624307640551,0.025642166889306907
cic_ids2017_v2,5class_cw,rf (prob),8,62,Subflow Fwd Packets,0.0492819330672777,0.025603560432720423
cic_ids2017_v2,5class_cw,rf (prob),9,23,Fwd IAT Max,0.04867344263258802,0.025287429943357496
