protocol,dataset,model,alpha,nominal_coverage,empirical_coverage_mondrian,mean_threshold,n_fallback_classes,mean_scts,coverage_gap
v2,cic_ids2017_v2,xgb_5class_smote,0.1,0.9,0.924,0.006079844012856483,2,66.86834477177116,0.02400000000000002
v2,cic_ids2017_v2,xgb_5class_smote,0.2,0.8,0.884,0.0028818845748901367,2,27.024087976225744,0.08399999999999996
v2,cic_ids2017_v2,dnn_5class_smote,0.05,0.95,0.947,0.4870887756347656,1,67.4418832531074,-0.0030000000000000027
v2,cic_ids2017_v2,dnn_5class_smote,0.1,0.9,0.921,0.36795529127120974,1,56.72744882912713,0.02100000000000002
v2,cic_ids2017_v2,dnn_5class_smote,0.2,0.8,0.879,0.21795129776000977,1,50.107128305832624,0.07899999999999996
strict,nsl_kdd_v2,rf_5class_cw,0.05,0.95,0.542,0.12259129278364238,1,1.7860463127634372,-0.4079999999999999
strict,nsl_kdd_v2,rf_5class_cw,0.1,0.9,0.533,0.04179676330156279,1,1.0215366780446407,-0.367
strict,nsl_kdd_v2,rf_5class_cw,0.2,0.8,0.53,1.2169796308691971e-05,1,0.8461965538688117,-0.27
strict,nsl_kdd_v2,xgb_5class_cw,0.05,0.95,0.555,0.08643079400062562,1,9.886912220161376,-0.3949999999999999
strict,nsl_kdd_v2,xgb_5class_cw,0.1,0.9,0.528,0.0018888235092163086,1,0.9215711940599378,-0.372
strict,nsl_kdd_v2,xgb_5class_cw,0.2,0.8,0.525,2.0265579223632812e-06,1,0.8410355031589879,-0.275
strict,nsl_kdd_v2,dnn_5class_cw,0.05,0.95,0.555,0.21915302649140359,1,46.75929764981468,-0.3949999999999999
strict,nsl_kdd_v2,dnn_5class_cw,0.1,0.9,0.525,0.17560324668884278,1,39.289483452134505,-0.375
strict,nsl_kdd_v2,dnn_5class_cw,0.2,0.8,0.5,0.15291318893432618,1,19.921069912770964,-0.30000000000000004
strict,nsl_kdd_v2,rf_5class_smote,0.05,0.95,0.511,0.14242179823055437,1,1.508206598114572,-0.43899999999999995
strict,nsl_kdd_v2,rf_5class_smote,0.1,0.9,0.509,1.4721560055606221e-05,1,1.0057125475346775,-0.391
strict,nsl_kdd_v2,rf_5class_smote,0.2,0.8,0.509,1.4703896268120076e-05,1,1.0057125475346775,-0.29100000000000004
strict,nsl_kdd_v2,xgb_5class_smote,0.05,0.95,0.593,0.005131088197231293,1,2.622760482703805,-0.357
strict,nsl_kdd_v2,xgb_5class_smote,0.1,0.9,0.591,2.6226043701171875e-06,1,1.4207116071220605,-0.30900000000000005
strict,nsl_kdd_v2,xgb_5class_smote,0.2,0.8,0.591,2.6226043701171875e-06,1,1.4207116071220605,-0.20900000000000007
strict,nsl_kdd_v2,dnn_5class_smote,0.05,0.95,0.529,0.1892659306526184,1,15.840421199443036,-0.42099999999999993
strict,nsl_kdd_v2,dnn_5class_smote,0.1,0.9,0.518,0.08295683860778809,1,13.431765278728081,-0.382
strict,nsl_kdd_v2,dnn_5class_smote,0.2,0.8,0.493,0.019959564507007598,1,1.496740917831192,-0.30700000000000005
strict,unsw_nb15_v2,rf_5class_cw,0.05,0.95,0.898,0.7530217686427815,1,58.67613693901955,-0.051999999999999935
strict,unsw_nb15_v2,rf_5class_cw,0.1,0.9,0.795,0.661525301411292,1,56.45020581748857,-0.10499999999999998
strict,unsw_nb15_v2,rf_5class_cw,0.2,0.8,0.662,0.41236057386003555,1,51.24187606626931,-0.138
strict,unsw_nb15_v2,xgb_5class_cw,0.05,0.95,0.913,0.7930584788322449,0,62.2218840237096,-0.03699999999999992
strict,unsw_nb15_v2,xgb_5class_cw,0.1,0.9,0.786,0.6684580206871032,0,59.75381357654137,-0.11399999999999999
strict,unsw_nb15_v2,xgb_5class_cw,0.2,0.8,0.711,0.46877028942108157,0,56.9642263968613,-0.08900000000000008
strict,unsw_nb15_v2,dnn_5class_cw,0.05,0.95,0.88,0.7070756077766418,1,62.44455299850663,-0.06999999999999995
strict,unsw_nb15_v2,dnn_5class_cw,0.1,0.9,0.781,0.6183084487915039,1,60.537102073987036,-0.119
strict,unsw_nb15_v2,dnn_5class_cw,0.2,0.8,0.7,0.5374209523200989,1,58.69181375535401,-0.10000000000000009
strict,unsw_nb15_v2,rf_5class_smote,0.05,0.95,0.92,0.7683162834005576,1,60.18418148411578,-0.029999999999999916
strict,unsw_nb15_v2,rf_5class_smote,0.1,0.9,0.793,0.6610164513650882,1,57.86592775046079,-0.10699999999999998
strict,unsw_nb15_v2,rf_5class_smote,0.2,0.8,0.638,0.4285430456198755,1,52.666002471938015,-0.16200000000000003
strict,unsw_nb15_v2,xgb_5class_smote,0.05,0.95,0.894,0.786407220363617,1,59.80106895226819,-0.05599999999999994
strict,unsw_nb15_v2,xgb_5class_smote,0.1,0.9,0.776,0.6524061441421509,1,56.87028066604011,-0.124
strict,unsw_nb15_v2,xgb_5class_smote,0.2,0.8,0.672,0.4245975613594055,1,52.425383150585795,-0.128
strict,unsw_nb15_v2,dnn_5class_smote,0.05,0.95,0.908,0.8046797752380371,1,61.44291755793846,-0.041999999999999926
strict,unsw_nb15_v2,dnn_5class_smote,0.1,0.9,0.802,0.7076498627662658,1,59.59821558891773,-0.09799999999999998
strict,unsw_nb15_v2,dnn_5class_smote,0.2,0.8,0.702,0.47080066204071047,1,56.39529752440692,-0.09800000000000009
strict,cic_ids2017_v2,rf_5class_cw,0.05,0.95,0.965,0.10167597703179024,1,58.334540864963216,0.015000000000000013
strict,cic_ids2017_v2,rf_5class_cw,0.1,0.9,0.935,0.011216801687683329,1,29.967057685619398,0.03500000000000003
strict,cic_ids2017_v2,rf_5class_cw,0.2,0.8,0.897,0.006233325234801219,1,17.971328161607357,0.09699999999999998
strict,cic_ids2017_v2,xgb_5class_cw,0.05,0.95,0.975,0.014010420441627503,1,74.89789563749213,0.025000000000000022
strict,cic_ids2017_v2,xgb_5class_cw,0.1,0.9,0.924,0.005855575483292341,1,70.21518946681557,0.02400000000000002
strict,cic_ids2017_v2,xgb_5class_cw,0.2,0.8,0.887,0.0023166418075561525,1,40.133660060382915,0.08699999999999997
strict,cic_ids2017_v2,dnn_5class_cw,0.05,0.95,0.788,0.5688120782375335,2,71.8244681608892,-0.16199999999999992
strict,cic_ids2017_v2,dnn_5class_cw,0.1,0.9,0.721,0.345494544506073,2,60.2669863136408,-0.17900000000000005
strict,cic_ids2017_v2,dnn_5class_cw,0.2,0.8,0.657,0.09077976010739804,2,42.87244804245446,-0.14300000000000002
strict,cic_ids2017_v2,rf_5class_smote,0.05,0.95,0.961,0.1907212244225484,1,60.32542219448756,0.01100000000000001
strict,cic_ids2017_v2,rf_5class_smote,0.1,0.9,0.937,0.030946833987602246,1,33.721922019512206,0.03700000000000003
strict,cic_ids2017_v2,rf_5class_smote,0.2,0.8,0.9,0.006585165170002835,1,29.671734886180356,0.09999999999999998
strict,cic_ids2017_v2,xgb_5class_smote,0.05,0.95,0.973,0.06206099092960358,1,70.65382302985566,0.02300000000000002
strict,cic_ids2017_v2,xgb_5class_smote,0.1,0.9,0.942,0.012352152168750763,1,68.67223167119312,0.041999999999999926
strict,cic_ids2017_v2,xgb_5class_smote,0.2,0.8,0.863,0.0009259581565856934,1,12.44464411787161,0.06299999999999994
strict,cic_ids2017_v2,dnn_5class_smote,0.05,0.95,0.943,0.4645282030105591,1,67.56664828875495,-0.007000000000000006
strict,cic_ids2017_v2,dnn_5class_smote,0.1,0.9,0.914,0.24646564424037934,1,56.53333964675167,0.014000000000000012
strict,cic_ids2017_v2,dnn_5class_smote,0.2,0.8,0.874,0.056680154800415036,1,48.7707144959829,0.07399999999999995
