dataset,model,predicted_class,flag_v2,flag_strict_safe,flag_phaseb,changed_v2_to_pb
nsl_kdd_v2,rf_5class_cw,Normal,red,red,red,False
nsl_kdd_v2,rf_5class_cw,DoS,green,red,red,True
nsl_kdd_v2,rf_5class_cw,Probe,red,red,red,False
nsl_kdd_v2,rf_5class_cw,R2L,green,amber,amber,True
nsl_kdd_v2,rf_5class_cw,U2R,red,red,red,False
nsl_kdd_v2,xgb_5class_cw,Normal,red,red,red,False
nsl_kdd_v2,xgb_5class_cw,DoS,green,red,red,True
nsl_kdd_v2,xgb_5class_cw,Probe,red,red,red,False
nsl_kdd_v2,xgb_5class_cw,R2L,green,amber,amber,True
nsl_kdd_v2,xgb_5class_cw,U2R,red,red,red,False
nsl_kdd_v2,dnn_5class_cw,Normal,red,amber,green,True
nsl_kdd_v2,dnn_5class_cw,DoS,green,red,red,True
nsl_kdd_v2,dnn_5class_cw,Probe,amber,green,amber,False
nsl_kdd_v2,dnn_5class_cw,R2L,green,amber,amber,True
nsl_kdd_v2,dnn_5class_cw,U2R,red,red,red,False
nsl_kdd_v2,rf_5class_smote,Normal,red,red,red,False
nsl_kdd_v2,rf_5class_smote,DoS,green,red,red,True
nsl_kdd_v2,rf_5class_smote,Probe,red,red,red,False
nsl_kdd_v2,rf_5class_smote,R2L,green,amber,amber,True
nsl_kdd_v2,rf_5class_smote,U2R,red,red,red,False
nsl_kdd_v2,xgb_5class_smote,Normal,red,red,red,False
nsl_kdd_v2,xgb_5class_smote,DoS,green,red,red,True
nsl_kdd_v2,xgb_5class_smote,Probe,red,red,red,False
nsl_kdd_v2,xgb_5class_smote,R2L,green,amber,amber,True
nsl_kdd_v2,xgb_5class_smote,U2R,red,red,red,False
nsl_kdd_v2,dnn_5class_smote,Normal,red,red,red,False
nsl_kdd_v2,dnn_5class_smote,DoS,green,red,red,True
nsl_kdd_v2,dnn_5class_smote,Probe,red,amber,amber,True
nsl_kdd_v2,dnn_5class_smote,R2L,red,amber,amber,True
nsl_kdd_v2,dnn_5class_smote,U2R,red,red,red,False
unsw_nb15_v2,rf_5class_cw,Normal,green,green,green,False
unsw_nb15_v2,rf_5class_cw,DoS,green,red,red,True
unsw_nb15_v2,rf_5class_cw,Probe,green,green,amber,True
unsw_nb15_v2,rf_5class_cw,R2L,green,green,green,False
unsw_nb15_v2,rf_5class_cw,U2R,red,amber,amber,True
unsw_nb15_v2,xgb_5class_cw,Normal,green,green,green,False
unsw_nb15_v2,xgb_5class_cw,DoS,green,amber,amber,True
unsw_nb15_v2,xgb_5class_cw,Probe,green,green,amber,True
unsw_nb15_v2,xgb_5class_cw,R2L,green,green,green,False
unsw_nb15_v2,xgb_5class_cw,U2R,red,amber,amber,True
unsw_nb15_v2,dnn_5class_cw,Normal,green,red,red,True
unsw_nb15_v2,dnn_5class_cw,DoS,amber,red,red,True
unsw_nb15_v2,dnn_5class_cw,Probe,amber,green,amber,False
unsw_nb15_v2,dnn_5class_cw,R2L,green,green,green,False
unsw_nb15_v2,dnn_5class_cw,U2R,red,amber,amber,True
unsw_nb15_v2,rf_5class_smote,Normal,green,green,green,False
unsw_nb15_v2,rf_5class_smote,DoS,green,red,red,True
unsw_nb15_v2,rf_5class_smote,Probe,green,green,amber,True
unsw_nb15_v2,rf_5class_smote,R2L,green,green,green,False
unsw_nb15_v2,rf_5class_smote,U2R,red,amber,amber,True
unsw_nb15_v2,xgb_5class_smote,Normal,green,green,green,False
unsw_nb15_v2,xgb_5class_smote,DoS,green,red,red,True
unsw_nb15_v2,xgb_5class_smote,Probe,green,green,amber,True
unsw_nb15_v2,xgb_5class_smote,R2L,green,green,green,False
unsw_nb15_v2,xgb_5class_smote,U2R,red,amber,amber,True
unsw_nb15_v2,dnn_5class_smote,Normal,green,green,green,False
unsw_nb15_v2,dnn_5class_smote,DoS,green,red,red,True
unsw_nb15_v2,dnn_5class_smote,Probe,amber,green,amber,False
unsw_nb15_v2,dnn_5class_smote,R2L,green,green,green,False
unsw_nb15_v2,dnn_5class_smote,U2R,red,amber,amber,True
cic_ids2017_v2,rf_5class_cw,Normal,amber,amber,green,True
cic_ids2017_v2,rf_5class_cw,DoS,amber,amber,green,True
cic_ids2017_v2,rf_5class_cw,Probe,amber,amber,amber,False
cic_ids2017_v2,rf_5class_cw,R2L,red,amber,amber,True
cic_ids2017_v2,rf_5class_cw,U2R,red,red,red,False
cic_ids2017_v2,xgb_5class_cw,Normal,red,red,red,False
cic_ids2017_v2,xgb_5class_cw,DoS,amber,amber,green,True
cic_ids2017_v2,xgb_5class_cw,Probe,amber,amber,amber,False
cic_ids2017_v2,xgb_5class_cw,R2L,red,amber,amber,True
cic_ids2017_v2,xgb_5class_cw,U2R,red,red,red,False
cic_ids2017_v2,dnn_5class_cw,Normal,green,green,green,False
cic_ids2017_v2,dnn_5class_cw,DoS,green,green,green,False
cic_ids2017_v2,dnn_5class_cw,Probe,green,green,green,False
cic_ids2017_v2,dnn_5class_cw,R2L,red,red,red,False
cic_ids2017_v2,dnn_5class_cw,U2R,red,red,red,False
cic_ids2017_v2,rf_5class_smote,Normal,red,red,red,False
cic_ids2017_v2,rf_5class_smote,DoS,amber,amber,green,True
cic_ids2017_v2,rf_5class_smote,Probe,amber,amber,amber,False
cic_ids2017_v2,rf_5class_smote,R2L,amber,amber,amber,False
cic_ids2017_v2,rf_5class_smote,U2R,red,red,red,False
cic_ids2017_v2,xgb_5class_smote,Normal,red,red,red,False
cic_ids2017_v2,xgb_5class_smote,DoS,amber,amber,green,True
cic_ids2017_v2,xgb_5class_smote,Probe,amber,green,amber,False
cic_ids2017_v2,xgb_5class_smote,R2L,red,amber,amber,True
cic_ids2017_v2,xgb_5class_smote,U2R,red,red,red,False
cic_ids2017_v2,dnn_5class_smote,Normal,amber,amber,green,True
cic_ids2017_v2,dnn_5class_smote,DoS,green,green,green,False
cic_ids2017_v2,dnn_5class_smote,Probe,green,green,amber,True
cic_ids2017_v2,dnn_5class_smote,R2L,amber,amber,amber,False
cic_ids2017_v2,dnn_5class_smote,U2R,red,red,red,False
