Architecture,Strategy,Accuracy,Macro F1,MCC,R2L F1,U2R F1
RF,class-weighted,0.9982,0.9584,0.9946,0.968,0.8333
RF,SMOTE,0.9983,0.9571,0.9948,0.9602,0.8333
XGB,class-weighted,0.999,0.9799,0.997,0.9709,0.9333
XGB,SMOTE,0.9989,0.9782,0.9966,0.9732,0.9231
DNN,class-weighted,0.8227,0.54,0.6638,0.1003,0.045
DNN,SMOTE,0.9606,0.7265,0.8957,0.5366,0.2759
