dataset,model,calibrator,aurc,risk_at_cov_0.50,risk_at_cov_0.55,risk_at_cov_0.60,risk_at_cov_0.65,risk_at_cov_0.70,risk_at_cov_0.75,risk_at_cov_0.80,risk_at_cov_0.85,risk_at_cov_0.90,risk_at_cov_0.95,risk_at_cov_1.00
nsl_kdd_v2,rf_5class_cw,raw,0.06852920057715735,0.01596877217885025,0.016048387096774194,0.015820211428993865,0.04517537873618125,0.08953805208795387,0.12366926898509581,0.1626192060323797,0.18306110734227418,0.20527353376047314,0.23710136807209226,0.26548083747338536
nsl_kdd_v2,rf_5class_cw,temperature,0.06941782733478365,0.01605748757984386,0.01596774193548387,0.01567235898573224,0.04565306400982667,0.0902350928331538,0.12538443340430566,0.16483699268130406,0.18342639461462193,0.20837851158206014,0.2359807629453238,0.26548083747338536
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.14591207678005413,0.13617814052519517,0.13612903225806453,0.13506320691949433,0.13525317319503208,0.1362397820163488,0.13591199432221435,0.14204923486360613,0.17267651202838805,0.2007392804337112,0.21268151468459634,0.21713094393186658
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.12062218718537338,0.09599006387508871,0.09701612903225806,0.09787831743919569,0.09731131431691006,0.09631835751853494,0.12739531582682753,0.15879352406298514,0.18186087773313156,0.20576638738294725,0.236494373628426,0.26548083747338536
nsl_kdd_v2,rf_5class_cw,cctl,0.11799130915527674,0.0973207948899929,0.0960483870967742,0.09610408812005618,0.09649242527637505,0.09631835751853494,0.09859238230423469,0.14443335551119982,0.17669467202421332,0.20399211434204043,0.22991081850866135,0.26548083747338536
nsl_kdd_v2,rf_5class_cw,dirichlet,0.06308052879043381,0.01605748757984386,0.01596774193548387,0.01567235898573224,0.03678176607069742,0.07451999239591914,0.1050390347764372,0.14221556886227546,0.16448364034858842,0.1972893050763923,0.21875145912125882,0.24099538679914834
nsl_kdd_v2,xgb_5class_cw,raw,0.051802540441139536,0.010823278921220723,0.019838709677419356,0.036593479707252165,0.05097584277330422,0.07743489005766428,0.09551691506978945,0.11820802838766911,0.14308824296822,0.17516017742730408,0.1950786758182752,0.2158002129169624
nsl_kdd_v2,xgb_5class_cw,temperature,0.05178400234977569,0.010557132718239886,0.019516129032258064,0.03600206993420566,0.05083936126654838,0.0765477472910462,0.09551691506978945,0.11793080505655355,0.14303605907217032,0.17506160670280926,0.1950786758182752,0.2158002129169624
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.16732847316090135,0.16598651525904898,0.1664516129032258,0.16655577733422045,0.165825030708339,0.16665610544325454,0.1662526614620298,0.16550232867598136,0.16620570891822783,0.1877772301626417,0.199514404445067,0.217264017033357
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.10749806545461651,0.08836053938963805,0.0892741935483871,0.08922894950839062,0.08837177562440289,0.08801723591660858,0.09947953631417081,0.12624750499001997,0.14919375880603244,0.1744208969935929,0.19563897838165942,0.2158002129169624
nsl_kdd_v2,xgb_5class_cw,cctl,0.1125982188208513,0.09536905606813342,0.09508064516129032,0.09432985880091668,0.0934898321277467,0.0927697864520626,0.09817837709959783,0.1360612109115103,0.1704847883943015,0.18644652538196155,0.19965448008591305,0.2158002129169624
nsl_kdd_v2,xgb_5class_cw,dirichlet,0.051306749961606724,0.006210078069552875,0.017016129032258066,0.029792267317217416,0.04189982257404122,0.0722387681389012,0.09711379228767447,0.1152140164116212,0.14929812659813183,0.1792015771315919,0.19895410188168278,0.2201916252661462
nsl_kdd_v2,dnn_5class_cw,raw,0.07868304056161783,0.06210078069552875,0.08233870967741935,0.0907814001626377,0.09069196123925208,0.09581141879475319,0.11414714927844807,0.1360057662452872,0.1527944476334603,0.1693937900443568,0.19802026427604238,0.22835344215755854
nsl_kdd_v2,dnn_5class_cw,temperature,0.0786507408490916,0.06147977288857345,0.0846774193548387,0.09351667036297774,0.09219325781356626,0.09530448007097142,0.11278684646321269,0.13528498558438679,0.15263789594531127,0.16944307540660425,0.1983004155577345,0.22835344215755854
nsl_kdd_v2,dnn_5class_cw,perclass_isotonic_renorm,0.11606858128154278,0.10459545777146913,0.09838709677419355,0.11007614400827974,0.12522178244847823,0.13934478169951206,0.15087532528980363,0.16461521401641163,0.19099305954182538,0.20300640709709217,0.20969323434654713,0.2252484031227821
nsl_kdd_v2,dnn_5class_cw,toplabel_isotonic,0.10569561572909533,0.08223917672107878,0.08370967741935484,0.08900717084349818,0.09424048041490378,0.09872631645649832,0.11302342086586231,0.13700377023730317,0.15227260867296352,0.16983735830458355,0.19797357239576038,0.22835344215755854
nsl_kdd_v2,dnn_5class_cw,cctl,0.11527783488736117,0.08711852377572747,0.08661290322580645,0.0998003992015968,0.11846594786406442,0.13636651669729422,0.15010645848119233,0.15868263473053892,0.1680321452799666,0.18920650566781666,0.2063781108465238,0.22835344215755854
nsl_kdd_v2,dnn_5class_cw,dirichlet,0.09799296567681523,0.1058374733853797,0.10725806451612903,0.10379241516966067,0.10126927801282926,0.1048729484823522,0.13218594748048262,0.16372809935684188,0.18165214214893283,0.1905372104484968,0.20423028435355092,0.22564762242725336
nsl_kdd_v2,rf_5class_smote,raw,0.0647322477436292,0.013750887154009937,0.013387096774193549,0.014489539439639241,0.030640098266684863,0.06482478930359292,0.11213626685592619,0.15574406742071412,0.18567030214475813,0.20182355840315427,0.23481346593827335,0.2572746628814762
nsl_kdd_v2,rf_5class_smote,temperature,0.06483499479448875,0.01357345635202271,0.013225806451612903,0.014119908331485178,0.03227787634775488,0.06685254419871998,0.11639460610361958,0.15801729873586162,0.18285237175807545,0.20300640709709217,0.23420647149460708,0.2572746628814762
nsl_kdd_v2,rf_5class_smote,perclass_isotonic_renorm,0.1367316809005599,0.12624201561391057,0.12483870967741935,0.1241221261181341,0.12406168964105364,0.1238831506241683,0.12343269458244618,0.14182745619871368,0.16813651307206595,0.20019714144898965,0.22197319886071812,0.22431689141234917
nsl_kdd_v2,rf_5class_smote,toplabel_isotonic,0.08401533985119024,0.043736692689850955,0.04435483870967742,0.043912175648702596,0.04483417496929166,0.06653570749635637,0.1129642772651999,0.1533045021068973,0.18373949799092001,0.2019221291276491,0.23411308773404305,0.2572746628814762
nsl_kdd_v2,rf_5class_smote,cctl,0.08257430070542109,0.04701916252661462,0.0475,0.0469431507355659,0.04770028661116419,0.04904632152588556,0.09462976105985332,0.14654025282767796,0.17930386682669727,0.20083785115820602,0.23401970397347902,0.2572746628814762
nsl_kdd_v2,rf_5class_smote,dirichlet,0.060679090856196646,0.01357345635202271,0.013548387096774193,0.01508094921268574,0.02627269005049816,0.061212850896647866,0.10391530636385143,0.14227101352849855,0.17090225956269894,0.19783144406111386,0.21987206424802727,0.23749112845990064
nsl_kdd_v2,xgb_5class_smote,raw,0.05458995927209762,0.01712207239176721,0.027016129032258064,0.039476602350853846,0.058141121877985535,0.08142703250744567,0.10669505559498463,0.12242182302062542,0.14402755309711424,0.17180877279448004,0.19717981043096605,0.2130500354861604
nsl_kdd_v2,xgb_5class_smote,temperature,0.05437599810748011,0.016146202980837472,0.027258064516129034,0.03866341391291491,0.05670806605704927,0.08117356314555478,0.1065176247929974,0.12275449101796407,0.1436622658247665,0.17175948743223263,0.19736657795209414,0.2130500354861604
nsl_kdd_v2,xgb_5class_smote,perclass_isotonic_renorm,0.14622781276661656,0.1426543647977289,0.14306451612903226,0.14201227175279071,0.14159956325917838,0.14143590393511185,0.14164892358646794,0.14116212020403637,0.14120962271043155,0.1645638245441104,0.2014754634169118,0.21770759403832504
nsl_kdd_v2,xgb_5class_smote,toplabel_isotonic,0.11144657749259328,0.09430447125621008,0.09322580645161291,0.09255562948177719,0.09130612801965333,0.09061529687599011,0.10663591199432221,0.1300731869594145,0.15002870114282732,0.17456875308033515,0.19675958350842787,0.2130500354861604
nsl_kdd_v2,xgb_5class_smote,cctl,0.11023933711918484,0.09749822569198013,0.0967741935483871,0.09610408812005618,0.09567353623584005,0.0946074393257715,0.0959309202744263,0.11493679308050565,0.14376663361686584,0.16663380975850173,0.19246393052248215,0.2130500354861604
nsl_kdd_v2,xgb_5class_smote,dirichlet,0.049317628071463296,0.007540809084457062,0.015,0.019738301175426923,0.04531186024293708,0.07021101324377416,0.0987106695055595,0.11404967842093591,0.14574962166675365,0.1720551996057171,0.189615725825279,0.21500177430801987
nsl_kdd_v2,dnn_5class_smote,raw,0.20082639895461651,0.13413768630234207,0.1339516129032258,0.13047978117838396,0.12720076429643784,0.13161396616184018,0.1421812159924296,0.15879352406298514,0.16443145645253876,0.18117299162148842,0.20040155017042535,0.2188165365507452
nsl_kdd_v2,dnn_5class_smote,temperature,0.19952666797235213,0.1264194464158978,0.1342741935483871,0.13033192873512234,0.12740548655657158,0.13161396616184018,0.14158977998580555,0.1561321800842759,0.1630224912591974,0.1791030064070971,0.19942102068450296,0.2188165365507452
nsl_kdd_v2,dnn_5class_smote,perclass_isotonic_renorm,0.13901501026840615,0.11834634492547906,0.12435483870967742,0.13070155984327642,0.13716391428961375,0.14206957733983905,0.14578897563283652,0.15990241738744732,0.19391535772060742,0.19467718087727945,0.2120745202409301,0.22990596167494676
nsl_kdd_v2,dnn_5class_smote,toplabel_isotonic,0.1621821556947084,0.14709013484740951,0.14548387096774193,0.14341686996377614,0.14214548928620171,0.14048539382802103,0.1421812159924296,0.1555222887558217,0.16510984710118456,0.18087727944800394,0.20058831769155344,0.2188165365507452
nsl_kdd_v2,dnn_5class_smote,cctl,0.13422968555449055,0.11674946770759403,0.12032258064516128,0.12759665853478228,0.13225058004640372,0.13782396552816678,0.14312751360302814,0.14676203149257042,0.1597870897041173,0.19058649581074422,0.20871270486062474,0.2188165365507452
nsl_kdd_v2,dnn_5class_smote,dirichlet,0.11856515830801946,0.12198367636621718,0.12161290322580645,0.1199822577068086,0.1223556708066057,0.1238831506241683,0.1421812159924296,0.16311820802838767,0.17695559150446172,0.18974864465253818,0.20684502964934398,0.22697835344215755
unsw_nb15_v2,rf_5class_cw,raw,0.09782299339486492,0.0481548012984148,0.08299908319963328,0.11571289754970192,0.14574545454545454,0.1724782207415078,0.1998697369526851,0.22385707813823397,0.24535612324348374,0.263888645714786,0.2841361464968153,0.30387166921416303
unsw_nb15_v2,rf_5class_cw,temperature,0.09792016586499669,0.04793419684220478,0.08297043318817328,0.1158179478425296,0.14586666666666667,0.1725457533259798,0.20003781830405917,0.2243888987374185,0.24541173853398093,0.26402871399807404,0.28423566878980894,0.30387166921416303
unsw_nb15_v2,rf_5class_cw,perclass_isotonic_renorm,0.0920898718022831,0.043585137562635906,0.08798418519367408,0.12590277595398797,0.15861818181818182,0.17353623123156922,0.19461719472224556,0.20569638952904332,0.22383300582106708,0.23480696839709359,0.24316613588110403,0.25633065977529507
unsw_nb15_v2,rf_5class_cw,toplabel_isotonic,0.10055772373663967,0.048627525133150544,0.0825120330048132,0.11563410983008116,0.14947878787878788,0.18537694437566127,0.21192957391377426,0.23321318127203608,0.2503058840977346,0.27178499518515276,0.28690618365180465,0.30387166921416303
unsw_nb15_v2,rf_5class_cw,cctl,0.09170205962066683,0.044436040465160254,0.08196768278707312,0.1063634214880374,0.13915151515151516,0.1567881502825113,0.17266156819900833,0.20201303945320964,0.22926476585962702,0.2540313402783857,0.27751791401273884,0.30387166921416303
unsw_nb15_v2,rf_5class_cw,dirichlet,0.08362604826499083,0.04468815984368599,0.07477652991061197,0.10116343199306668,0.12547878787878788,0.1487517727303424,0.1704134801243802,0.19007662156040103,0.20920618442030328,0.22496717149610435,0.23780851910828024,0.24745906934967932
unsw_nb15_v2,xgb_5class_cw,raw,0.10050986118729355,0.05562383788723961,0.0893593857437543,0.12364419465819261,0.15478787878787878,0.1808072394930554,0.2062358181359778,0.2303965018022809,0.24956434689110527,0.2650091919810908,0.2805035828025478,0.2987504136398733
unsw_nb15_v2,xgb_5class_cw,temperature,0.09956895164585779,0.05534020358639816,0.08901558560623424,0.1213330882159834,0.15389090909090908,0.1787587510974045,0.2025380284057484,0.22708739585179932,0.24752511957287457,0.2631532872275234,0.2801718418259023,0.2987504136398733
unsw_nb15_v2,xgb_5class_cw,perclass_isotonic_renorm,0.0935361100128516,0.042891809271690146,0.07858698143479258,0.11739370223494498,0.15924848484848486,0.18940638858249106,0.20249600806790485,0.21064035139553663,0.22715138482073338,0.23993696927252037,0.2523055997876858,0.2677392414238666
unsw_nb15_v2,xgb_5class_cw,toplabel_isotonic,0.10077553767094574,0.05606504679965964,0.08990373596149438,0.12401187068308953,0.15553939393939395,0.18019944623280734,0.20648794016303892,0.22996316649924167,0.24882280968447593,0.266654994309726,0.283140923566879,0.2987504136398733
unsw_nb15_v2,xgb_5class_cw,cctl,0.09268534743566936,0.05014024140430494,0.0843742837497135,0.11316542794863041,0.14181818181818182,0.16475699525020823,0.18106563576771156,0.21004943961866493,0.2217567016425049,0.24820099798651843,0.2708665074309979,0.2987504136398733
unsw_nb15_v2,xgb_5class_cw,dirichlet,0.08313555398725489,0.04336453310642589,0.07317212926885171,0.10381595188696588,0.12935757575757575,0.1514530761092227,0.17150600890831164,0.18887510094742854,0.20555411367765378,0.22146546441390177,0.2356687898089172,0.24788452750508186
unsw_nb15_v2,dnn_5class_cw,raw,0.15466009675432713,0.12454697299171158,0.16038276415310565,0.2035349423536518,0.24385454545454546,0.2747450644936182,0.2990167240944617,0.3262817861293309,0.34746579659634425,0.364650267005165,0.37904723991507433,0.3983076220040655
unsw_nb15_v2,dnn_5class_cw,temperature,0.15019248698534055,0.1117834294538464,0.15588471235388493,0.20174908737558106,0.2384,0.2668887738333746,0.2928607446003866,0.31588173885638876,0.3388639649994438,0.35705156263678545,0.37725583864118895,0.3983076220040655
unsw_nb15_v2,dnn_5class_cw,perclass_isotonic_renorm,0.11898575122033156,0.07198008256909647,0.11076094430437772,0.14880373979042466,0.18533333333333332,0.2176350088917903,0.24737372888478024,0.28149067344245504,0.29374142597604835,0.30662698065306837,0.31845475053078554,0.34358109705173256
unsw_nb15_v2,dnn_5class_cw,toplabel_isotonic,0.15344817830441884,0.12438939838013299,0.16167201466880587,0.2035086797804449,0.24317575757575757,0.27440740157125815,0.2994159173039751,0.322874194882704,0.3423862667309332,0.3617963757331699,0.3802746815286624,0.3983076220040655
unsw_nb15_v2,dnn_5class_cw,cctl,0.13885756142767974,0.09854716208124548,0.137376804950722,0.17777135803766053,0.2176,0.25331472435450103,0.27065299605008825,0.3005574267761823,0.320900226168848,0.3437976013306487,0.3687964437367304,0.3983076220040655
unsw_nb15_v2,dnn_5class_cw,dirichlet,0.10362734969781566,0.062368031262802937,0.09961608984643594,0.13667043096882633,0.17103030303030303,0.20070684105080702,0.22016556013110344,0.23386318422659497,0.24657965963442216,0.25944147772038867,0.2713972929936306,0.2865854619372528
unsw_nb15_v2,rf_5class_smote,raw,0.1028048637895175,0.061296523904068576,0.09566238826495531,0.12511489875778029,0.15352727272727273,0.18132498930734078,0.20722329607530043,0.22974649884772202,0.24993511549441993,0.26933380022761094,0.2903065286624204,0.31280629047761616
unsw_nb15_v2,rf_5class_smote,temperature,0.10283589305008137,0.061328038826384296,0.09577698831079533,0.12508863618457336,0.15367272727272727,0.18137001103032213,0.20728632658206572,0.22982528708463826,0.2499165770642542,0.269368817298433,0.29022359341825904,0.31280629047761616
unsw_nb15_v2,rf_5class_smote,perclass_isotonic_renorm,0.09618166281044772,0.04774510730831048,0.09574833829933532,0.13107650287575176,0.16596363636363637,0.18143754361479414,0.19865114715522314,0.21534794855128128,0.23250899113863038,0.24398144095246432,0.2541633492569002,0.26923622382250517
unsw_nb15_v2,rf_5class_smote,toplabel_isotonic,0.10482009099992792,0.061454098515647156,0.09540453816181527,0.1261654016860572,0.1592,0.18722283501789613,0.2134212959072191,0.23817684019775848,0.25861110081198324,0.2746739035279699,0.29032311571125263,0.31280629047761616
unsw_nb15_v2,rf_5class_smote,cctl,0.09636395366752308,0.0594371434874413,0.0887863855145542,0.12808256953016256,0.1393939393939394,0.16495959300362426,0.17730481553071686,0.20585396600287578,0.23766267472470431,0.26304823601505734,0.2839536889596603,0.31280629047761616
unsw_nb15_v2,rf_5class_smote,dirichlet,0.08473920112582504,0.046043301503261795,0.07583658033463213,0.10163615831079129,0.12637575757575759,0.15046259820363325,0.17213631397596438,0.19324784809627923,0.21143079604019133,0.22757594327234526,0.24091029723991508,0.25105182710641183
unsw_nb15_v2,xgb_5class_smote,raw,0.0923281691897764,0.04320695849484731,0.07669608067843227,0.107518974709142,0.13701818181818182,0.16500461472660558,0.1910874863433902,0.2140085485237054,0.23404768084238628,0.2518252648165981,0.2677149681528662,0.28478908305888656
unsw_nb15_v2,xgb_5class_smote,temperature,0.09149373232808383,0.043080898805584446,0.07529223011689205,0.10667857236652047,0.13512727272727273,0.16189811584089323,0.18820909320110935,0.21197975142311254,0.23224945311631012,0.25010942834631883,0.2674495753715499,0.28478908305888656
unsw_nb15_v2,xgb_5class_smote,perclass_isotonic_renorm,0.08967023824618878,0.03942516781696133,0.0768966307586523,0.11103815951886965,0.15183030303030304,0.18341849942597302,0.1915286998907471,0.20059485118871753,0.22079270327388675,0.23309113192681433,0.24152401804670912,0.25800097697798646
unsw_nb15_v2,xgb_5class_smote,toplabel_isotonic,0.09255523687407363,0.04317544357253159,0.07620903048361219,0.10770281272159046,0.13733333333333334,0.16511716903405893,0.19180183208673,0.2143827926490575,0.2341218345630492,0.2538737634596866,0.2674661624203822,0.28478908305888656
unsw_nb15_v2,xgb_5class_smote,cctl,0.0865296369369539,0.04062273486495856,0.07703988081595232,0.10502403025448434,0.12584242424242426,0.14967471805145982,0.17266156819900833,0.1940948216431287,0.21248748655963812,0.23697802678805918,0.2602176220806794,0.28478908305888656
unsw_nb15_v2,xgb_5class_smote,dirichlet,0.08077987180774257,0.04043364533106426,0.0705936282374513,0.09774929747616672,0.12053333333333334,0.14438466560115257,0.16560215144129758,0.18465993027241032,0.20190204293500427,0.21785870611923314,0.23225185774946921,0.24638754510644334
unsw_nb15_v2,dnn_5class_smote,raw,0.14070821791650454,0.10847436261069617,0.1513293605317442,0.1869632586600835,0.22528484848484848,0.2583796681899016,0.2833641482477519,0.30561957099805,0.32566460272144154,0.3393504333362514,0.3481621549893843,0.36521643213942423
unsw_nb15_v2,dnn_5class_smote,temperature,0.13542234588458069,0.10330591535091865,0.1469172587669035,0.18394306274128738,0.21890909090909091,0.24883506291785787,0.2728380536179511,0.29027556185861453,0.30655148122057024,0.32495841722839885,0.34371682590233543,0.36521643213942423
unsw_nb15_v2,dnn_5class_smote,perclass_isotonic_renorm,0.10952657250094341,0.05786139737165548,0.09517533807013523,0.1401108280589332,0.1829818181818182,0.21182720662719762,0.2368476342549794,0.24999507573519272,0.2615587112083349,0.2790510373807231,0.2907046178343949,0.3146341847749011
unsw_nb15_v2,dnn_5class_smote,toplabel_isotonic,0.1378760210565333,0.10891557152311619,0.1525326610130644,0.1876198229902566,0.2256969696969697,0.2505909101141301,0.2712622909488192,0.29403770017136444,0.3121130102702903,0.3315766436137617,0.3482782643312102,0.36521643213942423
unsw_nb15_v2,dnn_5class_smote,cctl,0.12049111725243702,0.07544672402382528,0.11904079761631904,0.16064816030674686,0.1922909090909091,0.20561420885577292,0.23331792587612404,0.2628769524709961,0.2862704386192577,0.31203711809507134,0.33548964968152867,0.36521643213942423
unsw_nb15_v2,dnn_5class_smote,dirichlet,0.09311964014882167,0.05452081560618953,0.08870043548017419,0.12648055256454027,0.15735757575757575,0.1770029039011323,0.19631901840490798,0.21450097500443183,0.2247228504690223,0.23148034666900114,0.24082736199575372,0.2568033910590756
