Pair,FA,RA,Sign,SignRank,RankCorr,PairRank
RF ↔ XGB,0.3415,0.1608,0.5334,0.0996,0.0303,0.504
RF ↔ DNN,0.3155,0.111,0.5235,0.0606,0.049,0.5206
XGB ↔ DNN,0.2576,0.1074,0.5501,0.0625,-0.1097,0.4505
