Model,Class,n_calib,Strategy,Brier pre,Brier post,ECE pre,ECE post
rf_5class_smote,Normal,13469,isotonic,0.15611,0.19068,0.18446,0.20509
rf_5class_smote,DoS,9186,isotonic,0.06992,0.06134,0.07005,0.06575
rf_5class_smote,Probe,2331,isotonic,0.0366,0.04329,0.02119,0.04006
rf_5class_smote,R2L,199,isotonic,0.10647,0.11968,0.11085,0.12224
rf_5class_smote,U2R,10,platt,0.00221,0.00292,0.00255,0.00296
xgb_5class_smote,Normal,13469,isotonic,0.18238,0.18405,0.19426,0.19821
xgb_5class_smote,DoS,9186,isotonic,0.06288,0.06199,0.06516,0.06305
xgb_5class_smote,Probe,2331,isotonic,0.04124,0.03969,0.03761,0.03398
xgb_5class_smote,R2L,199,isotonic,0.10892,0.11368,0.11188,0.1159
xgb_5class_smote,U2R,10,platt,0.00225,0.00256,0.00232,0.00261
dnn_5class_smote,Normal,13469,isotonic,0.18302,0.19858,0.18324,0.20564
dnn_5class_smote,DoS,9186,isotonic,0.06376,0.06461,0.06301,0.0619
dnn_5class_smote,Probe,2331,isotonic,0.05011,0.04947,0.04812,0.04716
dnn_5class_smote,R2L,199,isotonic,0.11833,0.12131,0.11675,0.12108
dnn_5class_smote,U2R,10,platt,0.00662,0.00275,0.00687,0.00229
rf_5class_cw,Normal,13469,isotonic,0.17651,0.18472,0.20121,0.19975
rf_5class_cw,DoS,9186,isotonic,0.0692,0.06416,0.06636,0.071
rf_5class_cw,Probe,2331,isotonic,0.03976,0.04483,0.0245,0.04236
rf_5class_cw,R2L,199,isotonic,0.1145,0.11909,0.11738,0.12121
rf_5class_cw,U2R,10,platt,0.00239,0.0028,0.00162,0.00283
xgb_5class_cw,Normal,13469,isotonic,0.18553,0.18616,0.19458,0.19617
xgb_5class_cw,DoS,9186,isotonic,0.06157,0.06066,0.06196,0.06115
xgb_5class_cw,Probe,2331,isotonic,0.04063,0.04074,0.03817,0.03889
xgb_5class_cw,R2L,199,isotonic,0.11151,0.11046,0.11467,0.114
xgb_5class_cw,U2R,10,platt,0.00241,0.0026,0.00227,0.00264
dnn_5class_cw,Normal,13469,isotonic,0.1583,0.19394,0.15594,0.20176
dnn_5class_cw,DoS,9186,isotonic,0.06606,0.06746,0.06419,0.06542
dnn_5class_cw,Probe,2331,isotonic,0.05191,0.04364,0.05211,0.03802
dnn_5class_cw,R2L,199,isotonic,0.10791,0.11969,0.11181,0.12176
dnn_5class_cw,U2R,10,platt,0.01787,0.00425,0.01938,0.00708
