prevalence,n_cal,budget_frac,delta,strength,n_used,violation_rate,mean_bound,mean_empirical,median_tightness,frac_bound_above_zero,median_budget_overrun,sweep,exceeds_nominal
0.3,1000,0.005,0.1,1.5,800,0.0,0.0,0.01632799585622162,0.0,0.0,0.14,main,False
0.3,1000,0.01,0.1,1.5,800,0.0,0.0012148637358048511,0.032369239590901426,0.0368421052631579,1.0,0.255,main,False
0.3,1000,0.05,0.1,1.5,800,0.0,0.06951996755077529,0.15311323363987925,0.454744933209116,1.0,0.673,main,False
0.3,1000,0.1,0.1,1.5,800,0.0,0.17819465827367936,0.2873542818205335,0.6204379238478703,1.0,0.7725,main,False
0.3,1000,0.2,0.1,1.5,800,0.0,0.3848517360550515,0.5058120438305004,0.7601736991340076,1.0,0.8545,main,False
0.3,2000,0.005,0.1,1.5,800,0.0,0.0,0.016340204850056658,0.0,0.0,0.16,main,False
0.3,2000,0.01,0.1,1.5,800,0.0,0.005162798600673157,0.03238257033135505,0.16243654822335024,1.0,0.435,main,False
0.3,2000,0.05,0.1,1.5,800,0.0,0.08790253929245895,0.15311456451764754,0.5734649122807017,1.0,0.76,main,False
0.3,2000,0.1,0.1,1.5,800,0.0,0.20448990057624983,0.2873784634245198,0.7111176037463943,1.0,0.8355,main,False
0.3,2000,0.2,0.1,1.5,800,0.0,0.41485075767432533,0.5059680872654778,0.8179723474842087,1.0,0.891,main,False
0.3,5000,0.005,0.1,1.5,800,0.0,0.0027785735461599457,0.016337988664428024,0.173469387755102,1.0,0.47,main,False
0.3,5000,0.01,0.1,1.5,800,0.0,0.011357766998016388,0.032361785902895415,0.35204081632653067,1.0,0.625,main,False
0.3,5000,0.05,0.1,1.5,800,0.0,0.10575111601884057,0.1530803909184653,0.690749928098936,1.0,0.829,main,False
0.3,5000,0.1,0.1,1.5,800,0.0,0.22712460127325962,0.2873632506606934,0.7900874635568513,1.0,0.8835,main,False
0.3,5000,0.2,0.1,1.5,800,0.0,0.44012009826622145,0.5060885210852695,0.869679541485419,1.0,0.923,main,False
0.3,20000,0.005,0.1,1.5,800,0.0,0.006400537174484206,0.01632457332374652,0.3917525773195877,1.0,0.66,main,False
0.3,20000,0.01,0.1,1.5,800,0.0,0.01768403313969727,0.03235513178142915,0.546875,1.0,0.76,main,False
0.3,20000,0.05,0.1,1.5,800,0.0,0.12119269231119581,0.1530789070791899,0.7918012717268859,1.0,0.889,main,False
0.3,20000,0.1,0.1,1.5,800,0.0,0.2473289642142909,0.28732879761433106,0.861271676300578,1.0,0.9225,main,False
0.3,20000,0.2,0.1,1.5,800,0.0,0.4628315997075793,0.5058153249231111,0.9153266791984547,1.0,0.949,main,False
0.3,50000,0.005,0.1,1.5,800,0.0,0.007975146904800504,0.016323108475354946,0.48979591836734687,1.0,0.72,main,False
0.3,50000,0.01,0.1,1.5,800,0.0,0.02019017646458341,0.03236460583709488,0.6237113402061856,1.0,0.8,main,False
0.3,50000,0.05,0.1,1.5,800,0.0,0.1268930269287881,0.15299483467285377,0.8295206564496893,1.0,0.909,main,False
0.3,50000,0.1,0.1,1.5,800,0.0,0.25450544739367936,0.2872776721595062,0.885872810306046,1.0,0.9375,main,False
0.3,50000,0.2,0.1,1.5,800,0.0,0.4707427939443222,0.5059312757427629,0.9306962425736776,1.0,0.9588749999999999,main,False
0.1,1000,0.005,0.1,1.5,800,0.0,0.0,0.04398405916093612,0.0,0.0,0.14,main,False
0.1,1000,0.01,0.1,1.5,800,0.0,0.0029680615501873125,0.08271173496507501,0.042168674698795185,0.97,0.28,main,False
0.1,1000,0.05,0.1,1.5,800,0.0,0.14012989598048836,0.3029263401074757,0.4615394088669951,1.0,0.675,main,False
0.1,1000,0.1,0.1,1.5,800,0.0,0.2971521688877942,0.47279944983418615,0.6278840062201233,1.0,0.77725,main,False
0.1,1000,0.2,0.1,1.5,800,0.0,0.5113747137281213,0.6743745942074856,0.7613929263698913,1.0,0.8556250000000001,main,False
0.1,2000,0.005,0.1,1.5,800,0.0,2.4425738649284025e-06,0.043928693520788153,0.0,0.005,0.16,main,False
0.1,2000,0.01,0.1,1.5,800,0.0,0.013047679991436537,0.08249640794005306,0.1602469135802469,1.0,0.4325,main,False
0.1,2000,0.05,0.1,1.5,800,0.0,0.17645838552278253,0.3025178989549209,0.5851065539735056,1.0,0.757,main,False
0.1,2000,0.1,0.1,1.5,800,0.0,0.3408701974808399,0.4726336792716737,0.7213014189087492,1.0,0.8374999999999999,main,False
0.1,2000,0.2,0.1,1.5,800,0.00125,0.5553901517661456,0.6742186964647423,0.8222220149038723,1.0,0.8915,main,False
0.1,5000,0.005,0.1,1.5,800,0.0,0.007466077579543895,0.04390581065501013,0.1724137931034483,1.0,0.47,main,False
0.1,5000,0.01,0.1,1.5,800,0.0,0.029197273939981314,0.08242974093073688,0.35365853658536583,1.0,0.61,main,False
