protocol,dataset,detector,n,n_misclassified,tp,fn,fp,tn,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,precision,precision_lo,precision_hi,balanced_accuracy,flag_rate_all_samples,flag_rate_lo,flag_rate_hi,flag_rate_correct_samples
strict,cic_ids2017_v2,red,6000,287,18,269,1134,4579,0.0627177700348432,0.025235174636316183,0.10126685695375195,0.8015053387012078,0.7856137262494123,0.8166878751131164,0.015625,0.005847831180622675,0.02730397979281622,0.4321115543680255,0.192,0.17733333333333334,0.20733333333333334,0.19849466129879223
strict,cic_ids2017_v2,non_green,6000,287,60,227,4351,1362,0.20905923344947736,0.14112644747725395,0.2757475083056478,0.2384036408191843,0.227838824357435,0.2488704761832282,0.013602357742008615,0.008336807373842386,0.01957671056827035,0.22373143713433083,0.7351666666666666,0.7263333333333334,0.7441666666666666,0.7615963591808157
strict,nsl_kdd_v2,red,6000,2227,1852,375,3181,592,0.8316120341266278,0.820867284153808,0.8417634157742738,0.1569043201696263,0.14518631144005617,0.16881833913035935,0.3679713888336976,0.338959415706326,0.396785697737747,0.49425817714812703,0.8388333333333333,0.8305,0.8466666666666667,0.8430956798303737
strict,nsl_kdd_v2,non_green,6000,2227,2215,12,3629,144,0.994611585092052,0.9913902628062274,0.9973603457822529,0.03816591571693612,0.03269145572147137,0.04384144640125636,0.37902121834360025,0.3503324045929789,0.40738919599733364,0.5163887504044941,0.974,0.9701666666666666,0.9776666666666667,0.9618340842830638
strict,unsw_nb15_v2,red,6000,2368,23,2345,159,3473,0.009712837837837838,0.005450676640992793,0.01446193109315185,0.9562224669603524,0.94925020794053,0.9630029779107432,0.12637362637362637,0.07329523687907036,0.185,0.4829676523990951,0.030333333333333334,0.025833333333333333,0.034833333333333334,0.04377753303964758
strict,unsw_nb15_v2,non_green,6000,2368,99,2269,983,2649,0.041807432432432436,0.027583187390542906,0.05776198114003943,0.7293502202643172,0.6985692570934946,0.7592950928824966,0.09149722735674677,0.060759197917898966,0.126145269966071,0.3855788263483748,0.18033333333333335,0.16083333333333333,0.20033333333333334,0.2706497797356828
v2,cic_ids2017_v2,red,6000,291,18,273,1711,3998,0.061855670103092786,0.024821962370318272,0.1,0.7002977754422841,0.6827307134296349,0.7173612496919333,0.010410641989589358,0.0039347948285553686,0.018267800210693675,0.38107672277268845,0.2881666666666667,0.27216666666666667,0.30466666666666664,0.2997022245577159
v2,cic_ids2017_v2,non_green,6000,291,64,227,4556,1153,0.21993127147766323,0.15224725440048142,0.2852666980787353,0.20196181467857768,0.19424460431654678,0.20955374342123154,0.013852813852813853,0.008686163494436516,0.019633225458468177,0.21094654307812044,0.77,0.7641666666666667,0.7761666666666667,0.7980381853214223
v2,nsl_kdd_v2,red,6000,2243,2087,156,2305,1452,0.9304502897904592,0.9076302143776507,0.9505449772883406,0.3864785733297844,0.35184223124052477,0.4213528932355338,0.4751821493624772,0.44161736052477757,0.5088623035286919,0.6584644315601218,0.732,0.7066666666666667,0.7563333333333333,0.6135214266702156
v2,nsl_kdd_v2,non_green,6000,2243,2106,137,2451,1306,0.9389210878288007,0.9169270965747072,0.958257753543533,0.3476177801437317,0.31157182119357135,0.3840686180468293,0.4621461487820935,0.42898101641593767,0.4954288699302416,0.6432694339862661,0.7595,0.7335,0.7848333333333334,0.6523822198562683
v2,unsw_nb15_v2,red,6000,2394,62,2332,780,2826,0.025898078529657476,0.01340810526102253,0.040271524117865845,0.78369384359401,0.7527256347256347,0.8136755656536968,0.07363420427553444,0.03876979438709945,0.11424911282774722,0.4047959610618337,0.14033333333333334,0.12133333333333333,0.1601708333333333,0.21630615640599002
v2,unsw_nb15_v2,non_green,6000,2394,146,2248,1072,2534,0.06098579782790309,0.045991197439255053,0.07749924610506369,0.7027176927343317,0.6731969197577011,0.7319258931885346,0.11986863711001643,0.09040336604148552,0.15201334564668947,0.3818517452811174,0.203,0.18349583333333333,0.22300416666666661,0.29728230726566834
