protocol,metric,flag,point,ci_low,ci_high,wilson_ci_low,wilson_ci_high,n_total,n_red
phaseb,per_flag_mean_pearson,green,0.41804491954935386,0.366925409056904,0.47256193394515444,,,,
phaseb,per_flag_mean_pearson,amber,0.1704137330806703,-0.04786903287573289,0.33395857958519926,,,,
phaseb,per_flag_mean_pearson,red,0.24042622255128063,0.13058553786726448,0.35710515497849704,,,,
phaseb,r2l_red_catch_rate,n/a,0.7879499217527387,0.7652582159624414,0.810641627543036,0.7646930336270427,0.8094808736638427,1278.0,1007.0
phaseb,r2l_nongreen_catch_rate,n/a,0.8505477308294209,0.8302034428794992,0.8685446009389671,0.8299507200575688,0.8690436018617697,1278.0,1087.0
