protocol,dataset,model,score,n,n_misclassified,ci_evaluable,pearson,auroc,pearson_lo,pearson_hi,n_boot_valid_pearson,auroc_lo,auroc_hi,n_boot_valid_auroc,delta_pearson_vs_c1,delta_pearson_lo,delta_pearson_hi,delta_auroc_vs_c1,delta_auroc_lo,delta_auroc_hi
strict,cic_ids2017_v2,dnn_5class_cw,c1,1000,222,True,0.45032424537618543,0.8193161027351259,0.39086791959886,0.5071048987201993,10000.0,0.7915626182786358,0.845222357445497,10000.0,,,,,,
strict,cic_ids2017_v2,dnn_5class_cw,c2,1000,222,True,0.2180711582318824,0.6517085851918757,0.16312227598340973,0.2704983161416202,10000.0,0.613857706537377,0.6879813053152806,10000.0,-0.23225308714430304,-0.3091007332659913,-0.15588255554376057,-0.1676075175432502,-0.2094121159248844,-0.1259063335933961
strict,cic_ids2017_v2,dnn_5class_cw,c3,1000,222,True,0.5058055052539658,0.8305599944417426,0.4462621802452902,0.5625697804046704,10000.0,0.8034008614726655,0.8561348790673055,10000.0,0.05548125987778041,0.04521671878124918,0.06627879016140158,0.01124389170661666,0.005630660247431657,0.017621018437246557
strict,cic_ids2017_v2,dnn_5class_cw,scts,1000,222,True,0.4578550913472826,0.8134017693786332,0.3992899017312895,0.5121803547069564,10000.0,0.781834931643321,0.842615135984652,10000.0,0.007530845971097155,-0.01577307486980922,0.030666525499921972,-0.005914333356492718,-0.022143197713083956,0.009302286441171047
strict,cic_ids2017_v2,dnn_5class_cw,scts_c1c2,1000,222,True,0.34626747251107093,0.7522725167326709,0.2942391484533694,0.39574294471924354,10000.0,0.7184582346425438,0.784531299476352,10000.0,-0.1040567728651145,-0.1578412209032075,-0.0503581237774523,-0.06704358600245497,-0.0947874416159369,-0.03982720557371132
strict,cic_ids2017_v2,dnn_5class_cw,scts_c1c3,1000,222,True,0.47396445024526457,0.8245038097223187,0.41216471486587053,0.5325627872404578,10000.0,0.7970521181123038,0.8502141953885249,10000.0,0.02364020486907914,0.011205148226282817,0.03615548585184391,0.005187706987192842,0.0014886566432474964,0.009488908801047522
strict,cic_ids2017_v2,dnn_5class_smote,c1,1000,33,True,0.3506909519624533,0.8680392341198959,0.22753098437686942,0.4686550725457458,10000.0,0.7970447227252541,0.9270398624332514,10000.0,,,,,,
strict,cic_ids2017_v2,dnn_5class_smote,c2,1000,33,True,-0.041904146305449856,0.4463194509730187,-0.11209096790221612,0.02760401249648852,10000.0,0.3402971091786348,0.5561266662981074,10000.0,-0.3925950982679032,-0.5047125430557738,-0.277208914757369,-0.4217197831468772,-0.5229957562413438,-0.31867815926596943
strict,cic_ids2017_v2,dnn_5class_smote,c3,1000,33,True,0.5225085122963856,0.9393626022374729,0.4118444201987005,0.6225578903839041,10000.0,0.8944467644651594,0.9747092823532043,10000.0,0.1718175603339323,0.07724675866281605,0.272459143926931,0.071323368117577,0.040265757641556967,0.10501699985242297
strict,cic_ids2017_v2,dnn_5class_smote,scts,1000,33,True,0.45436382363251865,0.8563661433361537,0.3356865844384126,0.5606356614932698,10000.0,0.7555696236378164,0.9426095700330771,10000.0,0.10367287167006534,0.006982849718823982,0.20599445969530733,-0.011673090783742235,-0.07086886444747234,0.034028431302349865
strict,cic_ids2017_v2,dnn_5class_smote,scts_c1c2,1000,33,True,0.0732042833874308,0.6134405064084485,-0.013264331799860246,0.157704812296503,10000.0,0.4883069457590343,0.7350843797530154,10000.0,-0.2774866685750225,-0.3527490989743761,-0.19778096515137764,-0.2545987277114474,-0.3549019878012934,-0.15915646789406807
strict,cic_ids2017_v2,dnn_5class_smote,scts_c1c3,1000,33,True,0.5188054504531973,0.9309485757262386,0.40422422035566974,0.6245635651522887,10000.0,0.8811665280552758,0.9698457144474403,10000.0,0.16811449849074395,0.07279981337939234,0.269655798938413,0.06290934160634265,0.03626211959305371,0.09174792949106157
strict,cic_ids2017_v2,rf_5class_cw,c1,1000,12,True,0.42660276824536614,0.7369264507422402,0.14976220750822655,0.695194755350656,10000.0,0.5341953802496581,0.9179959179932572,10000.0,,,,,,
strict,cic_ids2017_v2,rf_5class_cw,c2,1000,12,True,-0.03039395714314949,0.3991228070175439,-0.08134542748577481,0.023528347128193614,10000.0,0.2541109954110033,0.5660027002894471,10000.0,-0.45699672538851566,-0.7118589193712276,-0.1901233203203122,-0.3378036437246963,-0.5319435191515923,-0.14562068146019724
