T_GREEN_LO,CLIFF_GREEN_HI,N_GREEN_LO,pooled_precision,pooled_recall,pooled_f1,pooled_tp,pooled_fp,pooled_fn,pooled_tn,nsl_kdd_v2_precision,nsl_kdd_v2_recall,nsl_kdd_v2_f1,unsw_nb15_v2_precision,unsw_nb15_v2_recall,unsw_nb15_v2_f1,cic_ids2017_v2_precision,cic_ids2017_v2_recall,cic_ids2017_v2_f1
0.001,0.01,30,0.008389261744966443,0.05713489409141583,0.014630316871253213,205,24231,3383,27537,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.12292118582791034,0.05235602094240838,0.0734341252699784,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.01,50,0.008389261744966443,0.05713489409141583,0.014630316871253213,205,24231,3383,27537,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.12292118582791034,0.05235602094240838,0.0734341252699784,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.01,100,0.008389261744966443,0.05713489409141583,0.014630316871253213,205,24231,3383,27537,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.12292118582791034,0.05235602094240838,0.0734341252699784,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.01,200,0.011706082417147828,0.08249721293199554,0.020502874558426264,296,24990,3292,26778,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.01,500,0.013752313218912153,0.10562987736900781,0.02433621215526375,379,27180,3209,24588,0.0023254123973548433,0.7272727272727273,0.004636001448750452,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.007436230004323389,0.2895622895622896,0.014500084302815715
0.001,0.05,30,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.05,50,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.05,100,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.05,200,0.009928625543283226,0.06939799331103678,0.01737189102452297,249,24830,3339,26938,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10562685093780849,0.06590699106867878,0.08116821543713257,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.05,500,0.013752313218912153,0.10562987736900781,0.02433621215526375,379,27180,3209,24588,0.0023254123973548433,0.7272727272727273,0.004636001448750452,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.007436230004323389,0.2895622895622896,0.014500084302815715
0.001,0.1,30,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.1,50,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.1,100,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.1,200,0.009928625543283226,0.06939799331103678,0.01737189102452297,249,24830,3339,26938,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10562685093780849,0.06590699106867878,0.08116821543713257,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.1,500,0.013752313218912153,0.10562987736900781,0.02433621215526375,379,27180,3209,24588,0.0023254123973548433,0.7272727272727273,0.004636001448750452,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.007436230004323389,0.2895622895622896,0.014500084302815715
0.001,0.2,30,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.2,50,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.2,100,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.2,200,0.009928625543283226,0.06939799331103678,0.01737189102452297,249,24830,3339,26938,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10562685093780849,0.06590699106867878,0.08116821543713257,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.2,500,0.013752313218912153,0.10562987736900781,0.02433621215526375,379,27180,3209,24588,0.0023254123973548433,0.7272727272727273,0.004636001448750452,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.007436230004323389,0.2895622895622896,0.014500084302815715
0.001,0.3,30,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.3,50,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.3,100,0.006521111065252384,0.04403567447045708,0.011359959736851565,158,24071,3430,27697,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10459183673469388,0.03788112103480135,0.05561835858014923,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.3,200,0.009928625543283226,0.06939799331103678,0.01737189102452297,249,24830,3339,26938,0.0023304766200571343,0.7045454545454546,0.00464558669264199,0.10562685093780849,0.06590699106867878,0.08116821543713257,0.00041021433699107784,0.013468013468013467,0.0007961783439490446
0.001,0.3,500,0.013752313218912153,0.10562987736900781,0.02433621215526375,379,27180,3209,24588,0.0023254123973548433,0.7272727272727273,0.004636001448750452,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.007436230004323389,0.2895622895622896,0.014500084302815715
0.01,0.01,30,0.007227148942112981,0.057692307692307696,0.012845175302513187,207,28435,3381,23333,0.002290866095181791,0.7045454545454546,0.004566882734236889,0.12292118582791034,0.05235602094240838,0.0734341252699784,0.0004370947767174182,0.020202020202020204,0.0008556759840273816
0.01,0.01,50,0.007227148942112981,0.057692307692307696,0.012845175302513187,207,28435,3381,23333,0.002290866095181791,0.7045454545454546,0.004566882734236889,0.12292118582791034,0.05235602094240838,0.0734341252699784,0.0004370947767174182,0.020202020202020204,0.0008556759840273816
0.01,0.01,100,0.007227148942112981,0.057692307692307696,0.012845175302513187,207,28435,3381,23333,0.002290866095181791,0.7045454545454546,0.004566882734236889,0.12292118582791034,0.05235602094240838,0.0734341252699784,0.0004370947767174182,0.020202020202020204,0.0008556759840273816
0.01,0.01,200,0.010104435101044352,0.08305462653288741,0.018016928657799275,298,29194,3290,22574,0.002290866095181791,0.7045454545454546,0.004566882734236889,0.11688311688311688,0.0803818909762858,0.09525547445255475,0.0004370947767174182,0.020202020202020204,0.0008556759840273816
