protocol,dataset,max_abs_reconstruction_error,corr_c1_c3,frac_c3_equals_c1_1e-6,frac_c3_saturated_at_1,frac_c3_floored_at_0,corr_c1_c2
strict,cic_ids2017_v2,0.0,0.5694505184347345,0.002,0.002,0.03666666666666667,-0.07297199988845401
strict,nsl_kdd_v2,0.0,0.09776479088532827,0.0018333333333333333,0.0018333333333333333,0.7346666666666667,-0.04435223392710336
strict,unsw_nb15_v2,5.727081653361665e-08,0.96091507910412,0.1485,0.1485,0.004166666666666667,-0.029763523939263865
v2,cic_ids2017_v2,0.0,0.4346901240262211,0.0016666666666666668,0.0016666666666666668,0.056666666666666664,-0.07019673740273784
v2,nsl_kdd_v2,2.9802322387695312e-08,0.910462598197254,0.7746666666666666,0.07633333333333334,0.007333333333333333,-0.044014405898644984
v2,unsw_nb15_v2,3.500972256542667e-08,0.9567173177215982,0.1715,0.14766666666666667,0.0065,-0.02749652788096669
