dataset,variant,comparison,point,lo_95,hi_95,n,dnn_advantage,significant_advantage
nsl_kdd_v2,5class_cw,dnn_minus_rf,-0.09987028167910528,-0.10685246342709594,-0.09275587374227096,3000,False,False
nsl_kdd_v2,5class_cw,dnn_minus_xgb,-0.09240841021723378,-0.09907336976748744,-0.08600385256083781,3000,False,False
nsl_kdd_v2,5class_smote,dnn_minus_rf,0.04084295116648062,0.033964906866009774,0.04828479922854918,3000,True,True
nsl_kdd_v2,5class_smote,dnn_minus_xgb,-0.019507580654639423,-0.026433050609521225,-0.012590294223750043,3000,False,False
unsw_nb15_v2,5class_cw,dnn_minus_rf,0.0903491758785877,0.08192171262833031,0.09711618619670091,3000,True,True
unsw_nb15_v2,5class_cw,dnn_minus_xgb,0.08798271826213011,0.08109836078953718,0.09419247647777067,3000,True,True
unsw_nb15_v2,5class_smote,dnn_minus_rf,0.04051374170491817,0.034039477488742205,0.047624183700286635,3000,True,True
unsw_nb15_v2,5class_smote,dnn_minus_xgb,0.0826830952272129,0.07596029260771907,0.08911433661654246,3000,True,True
cic_ids2017_v2,5class_cw,dnn_minus_rf,0.3234651151508738,0.31506848656016634,0.33249497020867,3000,True,True
cic_ids2017_v2,5class_cw,dnn_minus_xgb,0.0731497293556117,0.06562136519526242,0.08114650496562252,3000,True,True
cic_ids2017_v2,5class_smote,dnn_minus_rf,0.12882774850421913,0.12093263284917707,0.13659061555274785,3000,True,True
cic_ids2017_v2,5class_smote,dnn_minus_xgb,0.007576987282869707,0.0009502513009866711,0.014804251018589216,3000,True,True
