T_GREEN_LO,CLIFF_GREEN_HI,N_GREEN_LO,is_v2_default,nsl_kdd_v2_r2l_red_rate,nsl_kdd_v2_r2l_nongreen_rate,nsl_kdd_v2_false_alarm_rate,nsl_kdd_v2_total_red_rate,nsl_kdd_v2_total_amber_rate,nsl_kdd_v2_total_green_rate,unsw_nb15_v2_r2l_red_rate,unsw_nb15_v2_r2l_nongreen_rate,unsw_nb15_v2_false_alarm_rate,unsw_nb15_v2_total_red_rate,unsw_nb15_v2_total_amber_rate,unsw_nb15_v2_total_green_rate,cic_ids2017_v2_r2l_red_rate,cic_ids2017_v2_r2l_nongreen_rate,cic_ids2017_v2_false_alarm_rate,cic_ids2017_v2_total_red_rate,cic_ids2017_v2_total_amber_rate,cic_ids2017_v2_total_green_rate
0.001,0.01,30,False,0.7879499217527387,0.8169014084507042,0.8502261239691408,0.8385,0.007333333333333333,0.15416666666666667,0.013333333333333334,0.04583333333333333,0.38298458149779735,0.030333333333333334,0.23183333333333334,0.7378333333333333,0.050833333333333335,0.21333333333333335,0.23262734115175915,0.192,0.0325,0.7755
0.001,0.01,50,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.05,0.38849118942731276,0.030333333333333334,0.23683333333333334,0.7328333333333333,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.01,100,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.05,0.38849118942731276,0.030333333333333334,0.23683333333333334,0.7328333333333333,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.01,200,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.05,0.38849118942731276,0.030333333333333334,0.23683333333333334,0.7328333333333333,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.01,500,False,0.7879499217527387,0.8505477308294209,0.9337589784517158,0.8385,0.06633333333333333,0.09516666666666666,0.013333333333333334,0.060833333333333336,0.5074339207048458,0.030333333333333334,0.31466666666666665,0.655,0.050833333333333335,0.8566666666666667,0.5485734290215298,0.192,0.3338333333333333,0.4741666666666667
0.001,0.05,30,False,0.7879499217527387,0.7879499217527387,0.8403830806065443,0.8385,0.0,0.1615,0.013333333333333334,0.02666666666666667,0.2651431718061674,0.030333333333333334,0.145,0.8246666666666667,0.050833333333333335,0.050833333333333335,0.19849466129879223,0.192,0.0,0.808
0.001,0.05,50,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.05,100,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.05,200,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.05,500,False,0.7879499217527387,0.8505477308294209,0.9337589784517158,0.8385,0.06633333333333333,0.09516666666666666,0.013333333333333334,0.060833333333333336,0.5074339207048458,0.030333333333333334,0.31466666666666665,0.655,0.050833333333333335,0.8566666666666667,0.5485734290215298,0.192,0.3338333333333333,0.4741666666666667
0.001,0.1,30,False,0.7879499217527387,0.7879499217527387,0.8403830806065443,0.8385,0.0,0.1615,0.013333333333333334,0.02666666666666667,0.2651431718061674,0.030333333333333334,0.145,0.8246666666666667,0.050833333333333335,0.050833333333333335,0.19849466129879223,0.192,0.0,0.808
0.001,0.1,50,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.1,100,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.1,200,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.1,500,False,0.7879499217527387,0.8505477308294209,0.9337589784517158,0.8385,0.06633333333333333,0.09516666666666666,0.013333333333333334,0.060833333333333336,0.5074339207048458,0.030333333333333334,0.31466666666666665,0.655,0.050833333333333335,0.8566666666666667,0.5485734290215298,0.192,0.3338333333333333,0.4741666666666667
0.001,0.2,30,False,0.7879499217527387,0.7879499217527387,0.8403830806065443,0.8385,0.0,0.1615,0.013333333333333334,0.02666666666666667,0.2651431718061674,0.030333333333333334,0.145,0.8246666666666667,0.050833333333333335,0.050833333333333335,0.19849466129879223,0.192,0.0,0.808
0.001,0.2,50,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.2,100,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.2,200,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.2,500,False,0.7879499217527387,0.8505477308294209,0.9337589784517158,0.8385,0.06633333333333333,0.09516666666666666,0.013333333333333334,0.060833333333333336,0.5074339207048458,0.030333333333333334,0.31466666666666665,0.655,0.050833333333333335,0.8566666666666667,0.5485734290215298,0.192,0.3338333333333333,0.4741666666666667
0.001,0.3,30,False,0.7879499217527387,0.7879499217527387,0.8403830806065443,0.8385,0.0,0.1615,0.013333333333333334,0.02666666666666667,0.2651431718061674,0.030333333333333334,0.145,0.8246666666666667,0.050833333333333335,0.050833333333333335,0.19849466129879223,0.192,0.0,0.808
0.001,0.3,50,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.3,100,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.3,200,False,0.7879499217527387,0.8482003129890454,0.8608672519287044,0.8385,0.016833333333333332,0.14466666666666667,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8566666666666667,0.3677577454927359,0.192,0.16116666666666668,0.6468333333333334
0.001,0.3,500,False,0.7879499217527387,0.8505477308294209,0.9337589784517158,0.8385,0.06633333333333333,0.09516666666666666,0.013333333333333334,0.060833333333333336,0.5074339207048458,0.030333333333333334,0.31466666666666665,0.655,0.050833333333333335,0.8566666666666667,0.5485734290215298,0.192,0.3338333333333333,0.4741666666666667
0.01,0.01,30,False,0.7879499217527387,0.8184663536776213,0.8848097898377228,0.8385,0.030833333333333334,0.13066666666666665,0.013333333333333334,0.04583333333333333,0.38298458149779735,0.030333333333333334,0.23183333333333334,0.7378333333333333,0.050833333333333335,0.22083333333333333,0.37125853316996327,0.192,0.16633333333333333,0.6416666666666667
0.01,0.01,50,False,0.7879499217527387,0.8497652582159625,0.8954509177972865,0.8385,0.04033333333333333,0.12116666666666667,0.013333333333333334,0.05,0.38849118942731276,0.030333333333333334,0.23683333333333334,0.7328333333333333,0.050833333333333335,0.8641666666666666,0.5063889375109399,0.192,0.295,0.513
0.01,0.01,100,False,0.7879499217527387,0.8497652582159625,0.8954509177972865,0.8385,0.04033333333333333,0.12116666666666667,0.013333333333333334,0.05,0.38849118942731276,0.030333333333333334,0.23683333333333334,0.7328333333333333,0.050833333333333335,0.8641666666666666,0.5063889375109399,0.192,0.295,0.513
0.01,0.01,200,False,0.7879499217527387,0.8497652582159625,0.8954509177972865,0.8385,0.04033333333333333,0.12116666666666667,0.013333333333333334,0.05,0.38849118942731276,0.030333333333333334,0.23683333333333334,0.7328333333333333,0.050833333333333335,0.8641666666666666,0.5063889375109399,0.192,0.295,0.513
0.01,0.01,500,False,0.7879499217527387,0.8505477308294209,0.9337589784517158,0.8385,0.06633333333333333,0.09516666666666666,0.013333333333333334,0.060833333333333336,0.5074339207048458,0.030333333333333334,0.31466666666666665,0.655,0.050833333333333335,0.8641666666666666,0.6506213898127079,0.192,0.43283333333333335,0.37516666666666665
0.01,0.05,30,False,0.7879499217527387,0.7895148669796557,0.8749667464751264,0.8385,0.0235,0.138,0.013333333333333334,0.02666666666666667,0.2651431718061674,0.030333333333333334,0.145,0.8246666666666667,0.050833333333333335,0.058333333333333334,0.33712585331699635,0.192,0.13383333333333333,0.6741666666666667
