Class,Train count,Calib count,Test count,Train %,Calib %,Test %
Normal,44800,11200,37000,41.38,41.38,58.3
DoS,9811,2453,4089,9.06,9.06,6.44
Probe,9993,2498,4173,9.23,9.23,6.58
R2L,42658,10665,17777,39.4,39.4,28.01
U2R,1010,253,422,0.93,0.93,0.66
