flag,dataset,model,pearson,lo_95,hi_95,n
green,cic_ids2017_v2,dnn_5class_cw,0.5141107443350925,0.4549318864230481,0.5729221824609109,952
green,cic_ids2017_v2,dnn_5class_smote,0.1864103900958004,,,428
green,nsl_kdd_v2,dnn_5class_cw,-0.05883267446782917,-0.16448820823964147,0.06602160035201449,252
green,nsl_kdd_v2,dnn_5class_smote,0.2656113211785671,0.021581978105377413,0.4466589983465888,235
green,nsl_kdd_v2,rf_5class_cw,0.08561474094644704,-0.06950595907691061,0.26860763612022687,234
green,nsl_kdd_v2,rf_5class_smote,-0.07241116049320002,-0.19940425149802202,0.06768916949927892,244
green,nsl_kdd_v2,xgb_5class_cw,0.19235026262203572,0.009979394928674971,0.371956293492708,246
green,nsl_kdd_v2,xgb_5class_smote,0.06574176885965688,-0.05430473355396908,0.22729689781777143,245
green,unsw_nb15_v2,dnn_5class_cw,0.47334682311857323,0.4032079938431343,0.5522811004557412,687
green,unsw_nb15_v2,dnn_5class_smote,0.40014155971109994,0.3185915208612706,0.47293136860342455,669
green,unsw_nb15_v2,rf_5class_cw,0.507866377930488,0.451025643913528,0.5623124202385147,879
green,unsw_nb15_v2,rf_5class_smote,0.5199745686328948,0.4601757418163445,0.5822100982125686,861
green,unsw_nb15_v2,xgb_5class_cw,0.4807528293164631,0.418873362688437,0.540032384821516,831
green,unsw_nb15_v2,xgb_5class_smote,0.5236897017441752,0.4586275853349246,0.5856071482488384,855
amber,cic_ids2017_v2,dnn_5class_smote,0.5635134916155288,0.4127361910547932,0.6842852997953168,569
amber,cic_ids2017_v2,rf_5class_cw,0.3921078043718898,0.2694664004531981,0.49224867451216053,809
amber,cic_ids2017_v2,rf_5class_smote,0.14878473728830918,,,635
amber,nsl_kdd_v2,dnn_5class_cw,0.1792887961078937,-0.04904418476681796,0.37015333112164595,156
amber,unsw_nb15_v2,dnn_5class_cw,0.28545057722270223,0.13362418505421728,0.43543399798418575,188
amber,unsw_nb15_v2,dnn_5class_smote,0.5343297185408465,0.4212566914051648,0.6398451271040895,188
red,cic_ids2017_v2,rf_5class_smote,0.39587296834506047,0.24343536727088816,0.5217181357749874,365
red,cic_ids2017_v2,xgb_5class_cw,0.25125681933650307,,,561
red,cic_ids2017_v2,xgb_5class_smote,0.28891338012075973,,,561
red,nsl_kdd_v2,dnn_5class_cw,-0.03996635982576356,-0.11912045127897909,0.03961248892500545,592
red,nsl_kdd_v2,dnn_5class_smote,0.22550397841547531,0.15581039433312674,0.29210143266615285,765
red,nsl_kdd_v2,rf_5class_cw,-0.033675497769275496,-0.1040115111051342,0.04445347668167085,766
red,nsl_kdd_v2,rf_5class_smote,0.11768394537449327,0.0538292795625719,0.18876589211870307,756
red,nsl_kdd_v2,xgb_5class_cw,0.22772972002326194,0.15925884643268537,0.2868969768761214,754
red,nsl_kdd_v2,xgb_5class_smote,0.3044135361298585,0.23544482727715474,0.36704301400707273,755
red,unsw_nb15_v2,dnn_5class_cw,0.18124510653838072,-0.0004451118297582118,0.35374706587430577,125
red,unsw_nb15_v2,dnn_5class_smote,0.21182162342747157,0.05627743517856309,0.3495750914546128,143
red,unsw_nb15_v2,rf_5class_cw,0.17001399155071845,-0.05650809846350121,0.3901611068804031,121
red,unsw_nb15_v2,rf_5class_smote,0.2046359780839962,-0.041599503243922156,0.4147847748531979,139
red,unsw_nb15_v2,xgb_5class_cw,0.07063571353493425,-0.1332422866521245,0.28699819611792327,169
red,unsw_nb15_v2,xgb_5class_smote,0.1832934254028429,0.015318717963262733,0.321401638551546,145
