Pair,FA,RA,Sign,SignRank,RankCorr,PairRank
RF ↔ XGB,0.5091,0.1206,0.3361,0.0462,0.2723,0.5972
RF ↔ DNN,0.3638,0.0666,0.6618,0.0512,0.0195,0.5048
XGB ↔ DNN,0.3488,0.0763,0.3163,0.0284,-0.1287,0.4456
