prevalence,n_cal,budget_frac,delta,strength,n_used,violation_rate,mean_bound,mean_empirical,median_tightness,frac_bound_above_zero,median_budget_overrun,split,weights,exceeds_nominal
0.1,20000,0.01,0.1,1.5,800,0.0,0.04539824856638472,0.08260473459615923,0.5487804878048781,1.0,0.76,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.1,20000,0.05,0.1,1.5,800,0.0,0.24244064731348577,0.3031868062333619,0.7990155699841717,1.0,0.888,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.1,20000,0.1,0.1,1.5,800,0.0,0.4109238419234294,0.47345526763375645,0.8682816485792247,1.0,0.924,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.02,20000,0.01,0.1,1.5,800,0.0,0.08127688491983744,0.1665763907562777,0.484375,1.0,0.755,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.02,20000,0.05,0.1,1.5,800,0.0,0.30040015142825205,0.4124281001403082,0.7307692307692307,1.0,0.8915,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.02,20000,0.1,0.1,1.5,800,0.00125,0.4526100558056026,0.5644363768722787,0.8,1.0,0.927,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.005,20000,0.01,0.1,1.5,800,0.0,0.05185567445562507,0.19283747320276917,0.2608695652173913,0.9975,0.755,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.005,20000,0.05,0.1,1.5,800,0.00125,0.23833412823921785,0.43525048866984906,0.5454545454545454,1.0,0.893,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.005,20000,0.1,0.1,1.5,800,0.0,0.3770805656514446,0.5805702133586135,0.6451612903225806,1.0,0.926,equal thirds,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",False
0.1,20000,0.01,0.1,1.5,800,0.0,0.04269050133351666,0.08260473459615923,0.5153374233128835,1.0,0.7,light count stage,"(0.1, 0.45, 0.45)",False
0.1,20000,0.05,0.1,1.5,800,0.0,0.2389315173694642,0.3031868062333619,0.7882519646230937,1.0,0.861,light count stage,"(0.1, 0.45, 0.45)",False
0.1,20000,0.1,0.1,1.5,800,0.0,0.40808789261200445,0.47345526763375645,0.8623073548830562,1.0,0.9045,light count stage,"(0.1, 0.45, 0.45)",False
0.02,20000,0.01,0.1,1.5,800,0.0,0.07916713069382839,0.1665763907562777,0.4749930536260072,1.0,0.69,light count stage,"(0.1, 0.45, 0.45)",False
0.02,20000,0.05,0.1,1.5,800,0.0,0.3011774818175484,0.4124281001403082,0.7307665371012362,1.0,0.864,light count stage,"(0.1, 0.45, 0.45)",False
0.02,20000,0.1,0.1,1.5,800,0.00125,0.45431432145239364,0.5644363768722787,0.8027214382688114,1.0,0.905,light count stage,"(0.1, 0.45, 0.45)",False
0.005,20000,0.01,0.1,1.5,800,0.0,0.053338960475779996,0.19283747320276917,0.26666666666666666,0.9975,0.695,light count stage,"(0.1, 0.45, 0.45)",False
0.005,20000,0.05,0.1,1.5,800,0.00125,0.2451933414811814,0.43525048866984906,0.5619517543859649,1.0,0.864,light count stage,"(0.1, 0.45, 0.45)",False
0.005,20000,0.1,0.1,1.5,800,0.00125,0.3856190195417946,0.5805702133586135,0.6607142857142857,1.0,0.906,light count stage,"(0.1, 0.45, 0.45)",False
0.1,20000,0.01,0.1,1.5,800,0.0,0.044965495051502345,0.08260473459615923,0.5432812388496396,1.0,0.78,light future stage,"(0.45, 0.45, 0.1)",False
0.1,20000,0.05,0.1,1.5,800,0.0,0.2409427279254415,0.3031868062333619,0.7942863772383224,1.0,0.898,light future stage,"(0.45, 0.45, 0.1)",False
0.1,20000,0.1,0.1,1.5,800,0.0,0.4085036422787555,0.47345526763375645,0.8630831643002028,1.0,0.93,light future stage,"(0.45, 0.45, 0.1)",False
0.02,20000,0.01,0.1,1.5,800,0.0,0.07795771693829451,0.1665763907562777,0.463768115942029,1.0,0.7725,light future stage,"(0.45, 0.45, 0.1)",False
0.02,20000,0.05,0.1,1.5,800,0.0,0.2938825361069499,0.4124281001403082,0.7142857142857142,1.0,0.901,light future stage,"(0.45, 0.45, 0.1)",False
