protocol,dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
v2,unsw_nb15_v2,xgb_5class_cw,1,DoS,0.8636389374732971,False,842,0.026128266033254157,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_cw,2,Probe,0.9127776026725769,False,3699,0.04271424709380914,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_cw,3,R2L,0.9098784327507019,False,30010,0.03268910363212263,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_cw,4,U2R,0.9981290698051453,False,725,0.2620689655172414,amber,red,green,red
v2,unsw_nb15_v2,dnn_5class_cw,0,Normal,0.46638959646224976,False,22602,0.0,green,green,green,green
v2,unsw_nb15_v2,dnn_5class_cw,1,DoS,0.5731340050697327,False,97,0.0,green,green,amber,amber
v2,unsw_nb15_v2,dnn_5class_cw,2,Probe,0.9781879782676697,False,4536,0.08465608465608465,amber,amber,green,amber
v2,unsw_nb15_v2,dnn_5class_cw,3,R2L,0.8907523155212402,False,34284,0.009917162524792906,green,green,green,green
v2,unsw_nb15_v2,dnn_5class_cw,4,U2R,0.9985120892524719,False,942,0.28450106157112526,amber,red,green,red
v2,unsw_nb15_v2,rf_5class_smote,0,Normal,0.49192952937459744,False,27154,0.0001841349340796936,green,green,green,green
v2,unsw_nb15_v2,rf_5class_smote,1,DoS,0.8096613717370588,False,192,0.020833333333333332,green,green,green,green
v2,unsw_nb15_v2,rf_5class_smote,2,Probe,0.8010273929344949,False,3555,0.002250351617440225,green,green,green,green
v2,unsw_nb15_v2,rf_5class_smote,3,R2L,0.8975130187103496,False,30995,0.015873527988385223,green,green,green,green
v2,unsw_nb15_v2,rf_5class_smote,4,U2R,0.999337565692101,False,565,0.3238938053097345,red,red,green,red
v2,unsw_nb15_v2,xgb_5class_smote,0,Normal,0.4848346710205078,False,28169,0.0003195001597500799,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_smote,1,DoS,0.8512584567070007,False,883,0.004530011325028313,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_smote,2,Probe,0.9123104214668274,False,3760,0.03696808510638298,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_smote,3,R2L,0.9050580859184265,False,29039,0.030269637384207446,green,green,green,green
v2,unsw_nb15_v2,xgb_5class_smote,4,U2R,0.9977757334709167,False,610,0.25245901639344265,amber,red,green,red
v2,unsw_nb15_v2,dnn_5class_smote,0,Normal,0.49464404582977295,False,26504,0.00015092061575611228,green,green,green,green
v2,unsw_nb15_v2,dnn_5class_smote,1,DoS,0.6507017612457275,False,327,0.0030581039755351682,green,green,green,green
v2,unsw_nb15_v2,dnn_5class_smote,2,Probe,0.9772981405258179,False,4507,0.1027290880852008,amber,amber,green,amber
v2,unsw_nb15_v2,dnn_5class_smote,3,R2L,0.8904426097869873,False,30117,0.014676096556761963,green,green,green,green
v2,unsw_nb15_v2,dnn_5class_smote,4,U2R,1.0,False,1006,0.3220675944333996,red,red,green,red
