dataset,model,true_class,class_idx,n,mean_scts,mean_c1,mean_c2,mean_c3,accuracy
nsl_kdd_v2,rf_5class_cw,Normal,0,261,84.06961059570312,0.9984042048454285,0.6032103300094604,0.9984042048454285,0.9616858237547893
nsl_kdd_v2,rf_5class_cw,DoS,1,248,84.58543395996094,0.9419434070587158,0.6912604570388794,0.9419434070587158,0.8306451612903226
nsl_kdd_v2,rf_5class_cw,Probe,2,211,80.4936294555664,0.9279487729072571,0.6187587976455688,0.9279487729072571,0.7014218009478673
nsl_kdd_v2,rf_5class_cw,R2L,3,213,83.02561950683594,0.9618192911148071,0.628520131111145,0.9618192911148071,0.03286384976525822
nsl_kdd_v2,rf_5class_cw,U2R,4,67,78.84666442871094,0.9378313422203064,0.5631781220436096,0.9378313422203064,0.07462686567164178
nsl_kdd_v2,xgb_5class_cw,Normal,0,261,84.19954681396484,0.9993076920509338,0.6015785336494446,0.9993076920509338,0.9616858237547893
nsl_kdd_v2,xgb_5class_cw,DoS,1,248,83.56966400146484,0.964676022529602,0.6370819807052612,0.964676022529602,0.8548387096774194
nsl_kdd_v2,xgb_5class_cw,Probe,2,211,83.59097290039062,0.9286098480224609,0.6907327175140381,0.9286098480224609,0.7109004739336493
nsl_kdd_v2,xgb_5class_cw,R2L,3,213,81.7238998413086,0.9597987532615662,0.6003370881080627,0.9597987532615662,0.06103286384976526
nsl_kdd_v2,xgb_5class_cw,U2R,4,67,78.6720962524414,0.9294707179069519,0.5719255805015564,0.9294707179069519,0.1791044776119403
nsl_kdd_v2,dnn_5class_cw,Normal,0,261,75.74596405029297,0.9844313859939575,0.4589668810367584,0.9844313859939575,0.9540229885057471
nsl_kdd_v2,dnn_5class_cw,DoS,1,248,77.64761352539062,0.9788831472396851,0.4974202513694763,0.9788831472396851,0.8387096774193549
nsl_kdd_v2,dnn_5class_cw,Probe,2,211,78.94917297363281,0.9313609004020691,0.5810793042182922,0.9313609004020691,0.6824644549763034
nsl_kdd_v2,dnn_5class_cw,R2L,3,213,75.35072326660156,0.9134259223937988,0.5276533961296082,0.9134259223937988,0.06572769953051644
nsl_kdd_v2,dnn_5class_cw,U2R,4,67,72.5279541015625,0.8474921584129333,0.5508060455322266,0.8474921584129333,0.1791044776119403
nsl_kdd_v2,rf_5class_smote,Normal,0,261,79.2838134765625,0.995856761932373,0.5068954229354858,0.995856761932373,0.9578544061302682
nsl_kdd_v2,rf_5class_smote,DoS,1,248,73.1839828491211,0.942231297492981,0.456501841545105,0.942231297492981,0.8387096774193549
nsl_kdd_v2,rf_5class_smote,Probe,2,211,74.60767364501953,0.9029243588447571,0.5214974284172058,0.9029243588447571,0.6398104265402843
nsl_kdd_v2,rf_5class_smote,R2L,3,213,77.37101745605469,0.9504809975624084,0.5220717787742615,0.9504809975624084,0.07511737089201878
nsl_kdd_v2,rf_5class_smote,U2R,4,67,77.11878204345703,0.9492916464805603,0.5179782509803772,0.9492916464805603,0.08955223880597014
nsl_kdd_v2,xgb_5class_smote,Normal,0,261,82.11542510986328,0.9955940246582031,0.5635462403297424,0.9955940246582031,0.9578544061302682
nsl_kdd_v2,xgb_5class_smote,DoS,1,248,79.18638610839844,0.9511789083480835,0.5608313679695129,0.9511789083480835,0.8306451612903226
nsl_kdd_v2,xgb_5class_smote,Probe,2,211,79.5645751953125,0.9225728511810303,0.6077193021774292,0.9225728511810303,0.7109004739336493
nsl_kdd_v2,xgb_5class_smote,R2L,3,213,79.26949310302734,0.9724927544593811,0.5371756553649902,0.9724927544593811,0.09859154929577464
nsl_kdd_v2,xgb_5class_smote,U2R,4,67,71.63993072509766,0.9098422527313232,0.45951783657073975,0.9098422527313232,0.208955223880597
nsl_kdd_v2,dnn_5class_smote,Normal,0,261,80.07748413085938,0.9936046600341797,0.5325026512145996,0.9936046600341797,0.9655172413793104
nsl_kdd_v2,dnn_5class_smote,DoS,1,248,78.3454360961914,0.9783809781074524,0.5152823328971863,0.9783809781074524,0.8387096774193549
nsl_kdd_v2,dnn_5class_smote,Probe,2,211,77.83319854736328,0.9348597526550293,0.5575301051139832,0.9348597526550293,0.6161137440758294
nsl_kdd_v2,dnn_5class_smote,R2L,3,213,74.34149169921875,0.9632686376571655,0.4596041738986969,0.9632686376571655,0.06572769953051644
nsl_kdd_v2,dnn_5class_smote,U2R,4,67,75.71192169189453,0.909334123134613,0.5421862602233887,0.909334123134613,0.2835820895522388
unsw_nb15_v2,rf_5class_cw,Normal,0,200,73.49620819091797,0.8658303022384644,0.5568751096725464,0.849229097366333,0.74
unsw_nb15_v2,rf_5class_cw,DoS,1,200,51.708457946777344,0.5717774033546448,0.486297070980072,0.5187923312187195,0.01
unsw_nb15_v2,rf_5class_cw,Probe,2,200,59.36326217651367,0.8394374251365662,0.3397158682346344,0.8195706009864807,0.705
unsw_nb15_v2,rf_5class_cw,R2L,3,200,61.89295959472656,0.7214176654815674,0.4972607493400574,0.6869480013847351,0.895
unsw_nb15_v2,rf_5class_cw,U2R,4,200,50.09812545776367,0.6880801320075989,0.2999105155467987,0.6494855284690857,0.56
unsw_nb15_v2,xgb_5class_cw,Normal,0,200,71.85636138916016,0.8749243021011353,0.5091246366500854,0.859287440776825,0.73
unsw_nb15_v2,xgb_5class_cw,DoS,1,200,52.344940185546875,0.6100552082061768,0.43447345495224,0.5613043308258057,0.105
unsw_nb15_v2,xgb_5class_cw,Probe,2,200,64.46613311767578,0.8637471199035645,0.388938307762146,0.8467127084732056,0.735
unsw_nb15_v2,xgb_5class_cw,R2L,3,200,62.512977600097656,0.7500782012939453,0.4718310832977295,0.7188330292701721,0.9
unsw_nb15_v2,xgb_5class_cw,U2R,4,200,62.64591979980469,0.8196305632591248,0.3857220709323883,0.7970806956291199,0.8
