Class,Train count,Test count,RF F1,XGB F1
Normal,56000,37000,0.8167,0.8263
Analysis,2000,677,0.0523,0.0568
Backdoor,1746,583,0.0844,0.1161
DoS,12264,4089,0.2933,0.4057
Exploits,33393,11132,0.6937,0.6998
Fuzzers,18184,6062,0.3812,0.3786
Generic,40000,18871,0.9827,0.9847
Reconnaissance,10491,3496,0.8543,0.8651
Shellcode,1133,378,0.3342,0.3557
Worms,130,44,0.4565,0.5636
— Accuracy —,,,0.7222,0.7406
— F1-macro —,,,0.4949,0.5252
— MCC —,,,0.6529,0.6716
