model,true_class,partition,n,accuracy,mean_p_true,mean_p_max
rf_5class_cw,Normal,strict,10775,0.9991647331786543,0.998840910835939,0.9992650554739728
rf_5class_cw,Normal,holdout,2694,0.9981440237564959,0.9983796661402992,0.9989601826629232
rf_5class_cw,Normal,test,9711,0.9711667181546699,0.9692138129183866,0.9958178854665602
rf_5class_cw,DoS,strict,7349,0.9998639270649068,0.9997992826747472,0.99985531210519
rf_5class_cw,DoS,holdout,1837,0.9994556341861731,0.9994837228358542,0.9996613052140634
rf_5class_cw,DoS,test,7460,0.8327077747989277,0.8105764728509877,0.9546818401414381
rf_5class_cw,Probe,strict,1865,0.9978552278820375,0.9962244078388193,0.9977682406126737
rf_5class_cw,Probe,holdout,466,1.0,0.998587912234537,0.998587912234537
rf_5class_cw,Probe,test,2421,0.7612556794712928,0.7290693472210877,0.921092781113585
rf_5class_cw,R2L,strict,159,0.9811320754716981,0.9742071869738782,0.977722175775154
rf_5class_cw,R2L,holdout,40,0.925,0.9473298495937593,0.9681163691279119
rf_5class_cw,R2L,test,2885,0.05407279029462738,0.04963205509901382,0.9621830002881435
rf_5class_cw,U2R,strict,10,0.8,0.7017588651163518,0.8999188495712026
rf_5class_cw,U2R,test,67,0.07462686567164178,0.06461618590971929,0.9425890185399383
xgb_5class_cw,Normal,strict,10775,0.9995359628770302,0.9992804527282715,0.9995263814926147
xgb_5class_cw,Normal,holdout,2694,0.9996288047512992,0.9996238350868225,0.9996768236160278
xgb_5class_cw,Normal,test,9711,0.9718875502008032,0.9717867970466614,0.9986015558242798
xgb_5class_cw,DoS,strict,7349,0.9998639270649068,0.9998142719268799,0.9998337626457214
xgb_5class_cw,DoS,holdout,1837,0.9994556341861731,0.999600887298584,0.9996786713600159
xgb_5class_cw,DoS,test,7460,0.8420911528150135,0.8328052163124084,0.9789323210716248
xgb_5class_cw,Probe,strict,1865,0.9973190348525469,0.9967120289802551,0.9976805448532104
xgb_5class_cw,Probe,holdout,466,1.0,0.9994581341743469,0.9994581341743469
xgb_5class_cw,Probe,test,2421,0.7067327550598926,0.7177814841270447,0.9359362125396729
xgb_5class_cw,R2L,strict,159,0.9937106918238994,0.9941713213920593,0.9957436323165894
xgb_5class_cw,R2L,holdout,40,0.975,0.9749231338500977,0.9777008891105652
xgb_5class_cw,R2L,test,2885,0.06897746967071057,0.09814675152301788,0.952724039554596
xgb_5class_cw,U2R,strict,10,0.9,0.887163519859314,0.9871630668640137
xgb_5class_cw,U2R,test,67,0.2537313432835821,0.2212415188550949,0.9293121099472046
dnn_5class_cw,Normal,strict,10775,0.994060324825986,0.9892463088035583,0.9921568036079407
dnn_5class_cw,Normal,holdout,2694,0.9922048997772829,0.9877029061317444,0.9913091659545898
dnn_5class_cw,Normal,test,9711,0.9713726701678509,0.9563100934028625,0.9809527397155762
dnn_5class_cw,DoS,strict,7349,0.9993196353245339,0.997693657875061,0.9980961680412292
dnn_5class_cw,DoS,holdout,1837,0.9994556341861731,0.9984368085861206,0.9988121390342712
dnn_5class_cw,DoS,test,7460,0.8315013404825737,0.8149191737174988,0.9754344820976257
dnn_5class_cw,Probe,strict,1865,0.9796246648793566,0.9659518003463745,0.9759770631790161
dnn_5class_cw,Probe,holdout,466,0.9849785407725322,0.9700156450271606,0.9778488278388977
dnn_5class_cw,Probe,test,2421,0.6617100371747212,0.6561970710754395,0.9242159724235535
dnn_5class_cw,R2L,strict,159,0.7610062893081762,0.7400839924812317,0.8389014601707458
dnn_5class_cw,R2L,holdout,40,0.75,0.6989243030548096,0.8278322219848633
dnn_5class_cw,R2L,test,2885,0.07417677642980935,0.0676221027970314,0.9027971625328064
dnn_5class_cw,U2R,strict,10,0.4,0.4369227886199951,0.8544241786003113
dnn_5class_cw,U2R,test,67,0.19402985074626866,0.1873142272233963,0.8512399196624756
rf_5class_smote,Normal,strict,10775,0.9995359628770302,0.9990489996978772,0.999375988904544
rf_5class_smote,Normal,holdout,2694,0.9992576095025983,0.998526658733994,0.99895637591632
rf_5class_smote,Normal,test,9711,0.9718875502008032,0.9694383157976438,0.9960220179218773
rf_5class_smote,DoS,strict,7349,1.0,0.9997765091648632,0.9997765091648632
rf_5class_smote,DoS,holdout,1837,1.0,0.9995312862740927,0.9995312862740927
rf_5class_smote,DoS,test,7460,0.8443699731903486,0.804584581251843,0.9476976436082576
