dataset,model,n_test,brier_macro_pre,brier_macro_pre_lo,brier_macro_pre_hi,ece_macro_pre,ece_macro_pre_lo,ece_macro_pre_hi,ece_top_pre,ece_top_pre_lo,ece_top_pre_hi,brier_macro_post,brier_macro_post_lo,brier_macro_post_hi,ece_macro_post,ece_macro_post_lo,ece_macro_post_hi,ece_top_post,ece_top_post_lo,ece_top_post_hi,pct_argmax_flipped,pct_argmax_flipped_lo,pct_argmax_flipped_hi,brier_macro_delta,brier_macro_delta_lo,brier_macro_delta_hi,brier_macro_verdict,ece_macro_delta,ece_macro_delta_lo,ece_macro_delta_hi,ece_macro_verdict,ece_top_delta,ece_top_delta_lo,ece_top_delta_hi,ece_top_verdict
nsl_kdd_v2,rf_5class_cw,22544,0.08047143662794831,0.07925374450191994,0.08159723247977892,0.08219148105514008,0.08097549524358125,0.08346118870018215,0.19316062271780582,0.18974962838430584,0.19642682436320777,0.08445357930947062,0.0830214753735438,0.08576231595050036,0.08809966185072819,0.08666347906939181,0.08944517976924928,0.20562425880026877,0.20171806702450618,0.2092280595505903,4.768452803406671,4.502306600425833,5.039145670688431,0.003982142681522305,0.0035111472493531736,0.004418184117764699,worsened,0.005908180795588108,0.0052489663325509354,0.006487935905827642,worsened,0.012463636082462953,0.009941407644285104,0.01490017542100276,worsened
nsl_kdd_v2,xgb_5class_cw,22544,0.08033185719119325,0.0788151924292455,0.0817397567182442,0.08232904792819401,0.0808235633467633,0.0837881665753403,0.19556172272339833,0.19154314996176938,0.199292122166851,0.08004528026495084,0.07853302125497498,0.08149867769956905,0.0825250255621987,0.08098747133720903,0.08396457999912604,0.19645073175340405,0.19237141538691635,0.2001234364874973,0.2572746628814762,0.19517388218594747,0.3238112136266856,-0.0002865769262424128,-0.00046098556377258094,-0.00011816152641387257,improved,0.00019597763400469592,-7.67798741133658e-05,0.0003446809546797267,no difference,0.0008890090300057163,-0.0008543743644533432,0.002604806707706637,no difference
nsl_kdd_v2,dnn_5class_cw,22544,0.08041073144192026,0.07878191458354068,0.08190077013939726,0.08068625213792849,0.07907940867262185,0.08229269480045379,0.1981117546880939,0.19381772841761818,0.20211875007105787,0.08545542655092726,0.08392651161696854,0.0868330225511077,0.08613039718646423,0.08466413200847624,0.08759371511711997,0.18948347805196128,0.18516289895860447,0.1934866507290456,7.354506742370476,7.035131298793471,7.700607700496806,0.005044695109007,0.004323774409978885,0.0058149418253636434,worsened,0.005444145048535742,0.004432210386053095,0.006530117228890597,worsened,-0.008628276636132609,-0.011692833833494265,-0.005519872061006682,improved
nsl_kdd_v2,rf_5class_smote,22544,0.07426030981438773,0.07307209375849939,0.07533941862451445,0.07781464691270382,0.07658493420274423,0.07904735254761061,0.16955168411403082,0.1660565747353333,0.17275228414434254,0.08609294404728049,0.08472352177394982,0.08738969223882384,0.0904195805306241,0.08903649610703951,0.09177626847077225,0.2128412915279309,0.2091306651619201,0.21652524002970774,3.522001419446416,3.2912304826117813,3.7615330021291693,0.011832634232892755,0.01134918375993701,0.012311884653673798,worsened,0.012604933617920283,0.01200885082310264,0.013225946912738831,worsened,0.04328960741390009,0.04142019249738408,0.04518623928996742,worsened
nsl_kdd_v2,xgb_5class_smote,22544,0.079534786973735,0.07796681267246844,0.08092044454503663,0.08224679563059138,0.08074399027253654,0.08371099084172909,0.19080483575660215,0.18672090513843875,0.19449176508007932,0.08044395778874067,0.07891267543985479,0.08177463060230689,0.08297367856508726,0.08142056731227607,0.0843975930850304,0.19198335093664862,0.18784656428161553,0.19559818945899132,0.20848119233498938,0.15525195173882186,0.27058197303051806,0.000909170815005661,0.0006618384899553645,0.0011572493674310512,worsened,0.0007268829344958816,0.0003557145313525006,0.0009854973501386653,worsened,0.0011785151800464688,-0.0012178418082776892,0.0033967345095034015,no difference
nsl_kdd_v2,dnn_5class_smote,22544,0.08436994145994135,0.08278511925794559,0.08586966629420102,0.08359948557779487,0.0820368391484347,0.08519447041572391,0.20649613921759905,0.20229312503499536,0.2104737832360009,0.08728792540668787,0.08574458692368749,0.0887172440874958,0.08797200220016699,0.08638921278756248,0.08939750218701838,0.20670736477445253,0.202618781760873,0.21063761074668375,2.7235628105039034,2.5239531582682755,2.932044002838893,0.0029179839467465135,0.002531934952171101,0.003313027029732847,worsened,0.004372516622372119,0.003637951737455736,0.004982153692194676,worsened,0.00021122555685348932,-0.0016505607788836244,0.002077665997799988,no difference
unsw_nb15_v2,rf_5class_cw,63461,0.06965357574676297,0.06900086614643686,0.0702640168133562,0.06199216763197213,0.06104150472073284,0.06302645837215354,0.06545025417932997,0.06251134726673709,0.06835415742367737,0.06817765018690738,0.06751883851849147,0.06882745015227647,0.05414045924310874,0.053293025024340676,0.055001526348540906,0.05648641249949976,0.053718707898931344,0.059332996692289426,17.37917776272041,17.119175556641085,17.63449205023558,-0.0014759255598555815,-0.0016857508525447026,-0.0012803066619135048,improved,-0.007851708388863385,-0.008523229718581495,-0.007239039672327232,improved,-0.008963841679830206,-0.0120186365693232,-0.005798078766133747,improved
unsw_nb15_v2,xgb_5class_cw,63461,0.07505395628669397,0.0742482855026377,0.07583753156006862,0.06872054020161694,0.0676918563730819,0.06980469427733578,0.11052909813912538,0.10748521369184533,0.11361574081433433,0.07014009934843932,0.06941043772063726,0.0708385091847849,0.058693286429114325,0.05780433687116642,0.05958219015760077,0.08567956278477448,0.08263466479824838,0.08873980113990601,15.622193158002554,15.371606183325193,15.872780132679914,-0.004913856938254649,-0.0051574441868096725,-0.004663113707297593,improved,-0.010027253772502617,-0.010721113906508706,-0.009401373168256904,improved,-0.024849535354350902,-0.02765583729059163,-0.02211874125744343,improved
unsw_nb15_v2,dnn_5class_cw,63461,0.09311835162882055,0.09231103115865055,0.09389071633919285,0.09544000288006302,0.09429520860992797,0.09658103034481193,0.1611637457660703,0.15820940581525797,0.16411759157706268,0.0743836255192537,0.07375117231977689,0.07503463358125638,0.058080894562565724,0.05718735262076319,0.059010276534757634,0.10797365322150006,0.1053618449422665,0.1104896754647011,25.417185357936372,25.114637336316793,25.702399899150656,-0.01873472610956685,-0.019080913188914948,-0.01839417090818461,improved,-0.037359108317497294,-0.03806053544883973,-0.03659787120779845,improved,-0.05319009254457023,-0.05594318340985088,-0.05030534062199675,improved
unsw_nb15_v2,rf_5class_smote,63461,0.07223562128768332,0.07158098894041136,0.07286455478765917,0.0678953364515987,0.06686726889018364,0.06888892357950666,0.07082824683499911,0.06792708484087888,0.07367303088240082,0.0691355861966799,0.06845214084315582,0.06976422967356252,0.054843608651811995,0.05404039765225069,0.05570813190601813,0.061147677930591955,0.05820708063301994,0.06397472125129061,18.74064386000851,18.475835552544083,19.006949149871573,-0.003100035091003428,-0.0033176256145071225,-0.002879305228267164,improved,-0.013051727799786708,-0.013652306170601826,-0.012356124518452645,improved,-0.009680568904407154,-0.012427079979344382,-0.0068257393273724685,improved
