Model,Accuracy,F1 macro,F1 weighted,MCC,R2L F1,U2R F1
rf_binary_cw,0.7739975159687722,0.7730625813929248,0.7710453970489057,0.6128663107270192,,
xgb_binary_cw,0.7911195883605394,0.790680098141739,0.7893518421271262,0.6371848976699134,,
dnn_binary_cw,0.7942689850958127,0.7942672217828084,0.7941838117343356,0.6209498053359057,,
rf_5class_smote,0.7481369765791341,0.5122160739007366,0.7032411139442001,0.6366696687457505,0.04131391804944125,0.15584415584415584
xgb_5class_smote,0.7903655074520937,0.6239436060219793,0.7597324184764954,0.6967314442206247,0.23726745959133883,0.41304347826086957
dnn_5class_smote,0.7828690560681334,0.5811948660005041,0.7572871948124369,0.6815409086253276,0.21898211829436037,0.22556390977443608
rf_5class_cw,0.7362047551454932,0.4758256127755057,0.6882208678958647,0.6198280225557385,0.004149377593360996,0.056338028169014086
xgb_5class_cw,0.7851312987934705,0.594666377119643,0.7472826795031303,0.6899488943862407,0.14271938283510124,0.3516483516483517
dnn_5class_cw,0.785707948899929,0.5648567373773116,0.7608884859715781,0.6860074715345273,0.22569966897381885,0.14
