Pair,k,Class,Target,feature_agreement,rank_agreement,sign_agreement,signed_rank_agreement,rank_correlation,pairwise_rank_agreement
rf-xgb,5,Normal,5class,0.6119999999999989,0.209,0.8672499999999996,0.20699999999999996,0.48350000000000004,0.6830000000000005
rf-xgb,10,Normal,5class,0.5219999999999998,0.12100000000000004,0.8928035714285721,0.12000000000000002,0.5558181818181814,0.7081111111111106
rf-xgb,15,Normal,5class,0.5053333333333332,0.09099999999999986,0.8638600288600289,0.08766666666666653,0.5304285714285711,0.6959523809523808
rf-dnn,5,Normal,5class,0.303,0.07599999999999993,0.7687500000000002,0.07299999999999994,0.083,0.5325
rf-dnn,10,Normal,5class,0.3264999999999996,0.050499999999999955,0.8682380952380951,0.04649999999999995,0.20563636363636362,0.5734444444444442
rf-dnn,15,Normal,5class,0.38633333333333364,0.04033333333333333,0.8134781746031753,0.034333333333333334,0.1706071428571429,0.560095238095238
xgb-dnn,5,Normal,5class,0.1979999999999999,0.058999999999999976,0.6779166666666668,0.05799999999999998,0.45899999999999985,0.6819999999999999
xgb-dnn,10,Normal,5class,0.2550000000000002,0.034999999999999976,0.8756666666666666,0.03349999999999998,0.21266666666666667,0.5742222222222221
xgb-dnn,15,Normal,5class,0.31600000000000006,0.029666666666666678,0.8111706349206349,0.028000000000000008,0.07974999999999999,0.5237142857142857
rf-xgb,5,DoS,5class,0.3900000000000003,0.25199999999999984,1.0,0.25199999999999984,0.6705000000000009,0.7920000000000009
rf-xgb,10,DoS,5class,0.2864999999999999,0.13749999999999982,0.9950833333333334,0.13749999999999982,0.34981818181818125,0.629444444444444
rf-xgb,15,DoS,5class,0.28566666666666657,0.0986666666666665,0.8591666666666664,0.0923333333333332,0.3286607142857141,0.6172857142857142
rf-dnn,5,DoS,5class,0.30199999999999966,0.11099999999999983,0.895,0.11099999999999983,0.4339999999999998,0.6719999999999997
rf-dnn,10,DoS,5class,0.4285,0.0689999999999999,0.9193670634920638,0.06449999999999989,0.1792121212121211,0.559666666666667
rf-dnn,15,DoS,5class,0.4116666666666666,0.052999999999999964,0.8506821789321789,0.04633333333333331,0.39373214285714275,0.6365714285714287
xgb-dnn,5,DoS,5class,0.30200000000000005,0.11299999999999982,0.9866666666666666,0.11299999999999982,0.37000000000000033,0.6439999999999998
xgb-dnn,10,DoS,5class,0.32249999999999945,0.0609999999999999,0.9377500000000001,0.0599999999999999,0.3833333333333334,0.6441111111111111
xgb-dnn,15,DoS,5class,0.3200000000000001,0.05099999999999996,0.8324642857142862,0.043666666666666645,0.35248214285714313,0.627428571428571
rf-xgb,5,Probe,5class,0.21600000000000016,0.006,0.9,0.006,0.4634999999999995,0.6249999999999993
rf-xgb,10,Probe,5class,0.2684999999999997,0.029999999999999975,1.0,0.029999999999999975,0.03024242424242421,0.4692222222222216
rf-xgb,15,Probe,5class,0.37366666666666676,0.025666666666666667,0.9875000000000002,0.025666666666666667,-0.17553571428571424,0.4205238095238098
rf-dnn,5,Probe,5class,0.17999999999999985,0.016000000000000004,0.9,0.016000000000000004,-0.15550000000000047,0.47450000000000003
rf-dnn,10,Probe,5class,0.14549999999999996,0.03649999999999995,0.94,0.03649999999999995,-0.3872727272727275,0.3733333333333334
rf-dnn,15,Probe,5class,0.35966666666666625,0.029666666666666654,1.0,0.029666666666666654,-0.27685714285714286,0.38700000000000023
xgb-dnn,5,Probe,5class,0.5479999999999997,0.2109999999999999,0.9929166666666667,0.2109999999999999,0.5584999999999997,0.7149999999999994
xgb-dnn,10,Probe,5class,0.32199999999999934,0.11299999999999995,0.9559166666666665,0.10999999999999996,0.539212121212121,0.7003333333333327
xgb-dnn,15,Probe,5class,0.382666666666667,0.08299999999999987,0.8902678571428579,0.0793333333333332,0.26051785714285725,0.583190476190476
rf-xgb,5,R2L,5class,0.3982142857142855,0.21071428571428533,0.9732142857142857,0.21071428571428533,0.7446428571428577,0.808928571428572
rf-xgb,10,R2L,5class,0.38214285714285684,0.12410714285714267,0.9766369047619047,0.12232142857142837,0.5278138528138531,0.7019841269841268
rf-xgb,15,R2L,5class,0.3541666666666665,0.08392857142857137,0.9090058750773035,0.08273809523809518,0.5094068877551019,0.6968537414965986
rf-dnn,5,R2L,5class,0.05178571428571431,0.01607142857142857,0.16964285714285715,0.014285714285714285,0.20089285714285715,0.5857142857142855
rf-dnn,10,R2L,5class,0.20178571428571423,0.017857142857142856,0.75,0.016964285714285716,-0.1282467532467532,0.4708333333333332
rf-dnn,15,R2L,5class,0.36428571428571405,0.015476190476190475,0.974418934240363,0.01488095238095238,-0.11859056122448981,0.4597789115646254
xgb-dnn,5,R2L,5class,0.12321428571428565,0.01607142857142857,0.25,0.01607142857142857,0.39107142857142857,0.621428571428572
xgb-dnn,10,R2L,5class,0.2750000000000002,0.02232142857142858,0.627232142857143,0.021428571428571436,0.03917748917748918,0.5017857142857141
xgb-dnn,15,R2L,5class,0.3464285714285711,0.02559523809523811,0.751318027210884,0.02440476190476191,0.01957908163265306,0.5075680272108843
