Model,Variant,ECE,MCE,Brier,NLL,Acc,F1m,MeanConf
rf_binary_cw,uncalibrated,0.1642231006467875,0.6195509207809067,0.32753605349850107,0.7295001612593177,0.7683640880056778,0.7671467940121948,0.932587188652465
rf_binary_cw,iso_global,0.005000545122430863,0.049650349650349535,0.1835471125911354,0.28756575542299706,0.8604506742370476,0.8594963032710431,0.8624534509804841
rf_binary_cw,iso_perclass,0.0029287540904281905,0.04241002359528645,0.10560601080273437,0.19148716062841925,0.9359474804826118,0.9337253748207788,0.9342214565555531
xgb_binary_cw,uncalibrated,0.18874414240302895,0.4148133485875231,0.38446044158561465,1.2096199953225046,0.7968417317246274,0.7964664782602826,0.9843423962593079
xgb_binary_cw,iso_global,0.005374738278965996,0.16018801076071598,0.19774311095224906,0.298196842897652,0.845457771469127,0.8453664015947722,0.8467909097671509
xgb_binary_cw,iso_perclass,0.007777469961079747,0.18367022275924683,0.11417472739350779,0.19136257212500807,0.9162526614620298,0.913387928210026,0.9129192233085632
dnn_binary_cw,uncalibrated,0.19021429257392036,0.5911384869794376,0.37977872295569337,1.6218691117458917,0.7915188076650106,0.7914767938229043,0.9817332029342651
dnn_binary_cw,temp_global,0.057017231210696094,0.20409779285601048,0.29212656024505007,0.4632413647694336,0.7915188076650106,0.7914767938229043,0.8038643598556519
dnn_binary_cw,temp_perclass,0.05084634905060678,0.19518979982159884,0.29061315293054124,0.460675353648064,0.7917849538679915,0.7917455756850025,0.8083204014687464
dnn_binary_cw,iso_global,0.014830384882017622,0.16613862514495847,0.27912847205230085,0.44517159717468563,0.816625266146203,0.8165534673317101,0.8108581304550171
dnn_binary_cw,iso_perclass,0.006256855389723278,0.04073741606303627,0.2295923353248732,0.36512355898407206,0.852555003548616,0.851518015842357,0.8510749936103821
rf_5class_smote,uncalibrated,0.16154338341528948,0.6626448234590065,0.3599046670071007,1.5428109658646882,0.7507984386089425,0.5184174276305846,0.911996719114367
rf_5class_smote,iso_global,0.04341542033733778,0.6975276847798093,0.28070564886584515,1.197265384773501,0.774041873669269,0.6433448191568092,0.8153755419871725
rf_5class_smote,iso_perclass,0.06552764560379067,0.27488007263075365,0.19445187147433418,0.41041785452841617,0.8634669978708304,0.7381568918419379,0.8394390930471909
xgb_5class_smote,uncalibrated,0.18340447734092208,0.44231685996055603,0.38762286870696444,1.7584550614910845,0.7961320085166785,0.6288230045060246,0.9788711667060852
xgb_5class_smote,iso_global,0.059097568700823715,0.28097030171651827,0.3011474262859712,0.7310503444193706,0.767388218594748,0.5994171667660388,0.8258088827133179
xgb_5class_smote,iso_perclass,0.0604774056516741,0.34266916153242266,0.21804632181904848,0.43659738024571704,0.8613378282469837,0.7267865411839087,0.8302971124649048
dnn_5class_smote,uncalibrated,0.19862129284376956,0.5663717985153198,0.4072445260413559,2.499579848478078,0.7907203690560681,0.5851741936596976,0.988996684551239
dnn_5class_smote,temp_global,0.0793174062878676,0.3654169164052824,0.34122468769188047,0.7786667487573024,0.7907203690560681,0.5851741936596976,0.761611819267273
dnn_5class_smote,temp_perclass,0.06478736114439698,0.18984134940771297,0.3290569672679121,0.6714510705502031,0.7884137686302342,0.5832757457747392,0.8113443508411513
dnn_5class_smote,iso_global,0.030258428686112674,0.42667892575263977,0.3579584809155946,0.9955670249131343,0.7885911994322214,0.5814730865087879,0.7892972826957703
dnn_5class_smote,iso_perclass,0.02925550595264305,0.1796974838337052,0.29708295972189436,0.5886769779737946,0.8108587650816181,0.64228357421534,0.7841575145721436
