dataset,variant,config,space_note,direction,k,n,FA,FA_lo,FA_hi,RA,RA_lo,RA_hi,RC,RC_lo,RC_hi,PRA,PRA_lo,PRA_hi,delta_RC_vs_original,delta_RC_lo,delta_RC_hi,RC_sig
nsl_kdd_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",A->B,5,1000,0.641,0.6305999999999997,0.6515999999999997,0.2542,0.24120000000000005,0.26720000000000005,0.6237999999999999,0.6031000000000002,0.6442025000000002,0.7666000000000001,0.7568000000000004,0.7764000000000001,,,,POS
nsl_kdd_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",A->B,5,1000,0.6516,0.6417999999999995,0.6615999999999993,0.21740000000000004,0.206,0.22920000000000007,0.5027999999999999,0.478495,0.5269000000000001,0.7072,0.6962975,0.7182,,,,POS
nsl_kdd_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,5,1000,0.3612,0.3510000000000002,0.37140000000000034,0.0884,0.08119999999999993,0.09619999999999994,-0.11330000000000001,-0.13960250000000002,-0.08729750000000001,0.45909999999999995,0.44839999999999997,0.4695999999999999,,,,NEG
nsl_kdd_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,5,1000,0.3056000000000001,0.2956000000000001,0.31560000000000016,0.06720000000000001,0.06039999999999999,0.07399999999999997,0.027799999999999988,-0.0034000000000000085,0.06050249999999995,0.5127,0.49970000000000014,0.5261999999999999,,,,ns
nsl_kdd_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,5,1000,0.28900000000000003,0.279,0.2988000000000002,0.056,0.049999999999999996,0.06199999999999999,-0.2332,-0.2576025,-0.20869750000000006,0.4071,0.39720000000000005,0.4170000000000001,,,,NEG
nsl_kdd_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,5,1000,0.3032,0.2930000000000001,0.31340000000000007,0.07180000000000002,0.06479999999999998,0.07899999999999997,-0.1291,-0.15480000000000002,-0.10259750000000001,0.44670000000000004,0.43639999999999995,0.45720000000000005,,,,NEG
nsl_kdd_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,A->B,5,1000,0.26,0.24939999999999998,0.27080000000000004,0.045399999999999996,0.04,0.05099999999999999,-0.25739999999999996,-0.2809025000000001,-0.23360000000000003,0.4031,0.39370000000000005,0.41260000000000013,-0.024199999999999996,-0.0365,-0.012299999999999997,NEG
nsl_kdd_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,A->B,5,1000,0.29580000000000006,0.2864000000000001,0.3050000000000001,0.06340000000000001,0.05659999999999999,0.07019999999999998,-0.13199999999999998,-0.15860500000000002,-0.10550000000000001,0.4463000000000001,0.43550000000000016,0.4571000000000001,-0.0029000000000000002,-0.015002499999999997,0.008899999999999998,NEG
nsl_kdd_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,5,1000,0.3088000000000001,0.2980000000000001,0.3198000000000002,0.0548,0.0482,0.06159999999999999,-0.11819999999999999,-0.14439999999999997,-0.09199999999999998,0.45539999999999997,0.4451,0.4656,,,,NEG
nsl_kdd_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,5,1000,0.32500000000000007,0.31520000000000026,0.3348000000000002,0.0792,0.07199999999999995,0.08699999999999992,0.023200000000000002,-0.009500000000000003,0.0566,0.5067,0.49310000000000004,0.5204999999999999,,,,ns
nsl_kdd_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",A->B,5,1000,0.68,0.669,0.6911999999999998,0.2834000000000001,0.26980000000000015,0.29720000000000024,0.5778,0.5557,0.5992999999999999,0.741,0.7308000000000004,0.7511000000000001,,,,POS
nsl_kdd_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",A->B,5,1000,0.6484,0.6375999999999997,0.6589999999999997,0.22340000000000004,0.21019499999999997,0.23660000000000003,0.5055,0.4806000000000001,0.5299025,0.7112999999999999,0.7003975000000001,0.7221000000000003,,,,POS
nsl_kdd_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",A->B,10,1000,0.7189,0.7125,0.725,0.1606,0.15280000000000002,0.16840000000000005,0.5749575757575757,0.559890606060606,0.5898427272727271,0.7249111111111111,0.7183777777777776,0.7312894444444442,,,,POS
nsl_kdd_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",A->B,10,1000,0.7578,0.7527000000000001,0.7630025000000004,0.14640000000000003,0.13950000000000007,0.15360000000000004,0.5591151515151516,0.5457212121212119,0.572812121212121,0.714911111111111,0.7089333333333332,0.7210222222222219,,,,POS
