Model,Rank,Feature,Mean_abs_SHAP
rf_binary_cw,1,src_bytes,0.08498059958219528
rf_binary_cw,2,dst_bytes,0.05044764652848244
rf_binary_cw,3,flag_SF,0.03870745003223419
rf_binary_cw,4,dst_host_srv_count,0.03622845932841301
rf_binary_cw,5,logged_in,0.03121182881295681
rf_binary_cw,6,count,0.028840314596891403
rf_binary_cw,7,dst_host_same_srv_rate,0.02804361656308174
rf_binary_cw,8,same_srv_rate,0.02670828066766262
rf_binary_cw,9,dst_host_diff_srv_rate,0.021940482780337334
rf_binary_cw,10,dst_host_rerror_rate,0.021744731813669205
xgb_binary_cw,1,src_bytes,3.8849422931671143
xgb_binary_cw,2,dst_host_srv_count,1.1857835054397583
xgb_binary_cw,3,count,1.072624683380127
xgb_binary_cw,4,dst_bytes,1.0352203845977783
xgb_binary_cw,5,dst_host_same_src_port_rate,0.713697075843811
xgb_binary_cw,6,dst_host_rerror_rate,0.6886101365089417
xgb_binary_cw,7,service_private,0.5441248416900635
xgb_binary_cw,8,dst_host_diff_srv_rate,0.5289067625999451
xgb_binary_cw,9,dst_host_same_srv_rate,0.5229662656784058
xgb_binary_cw,10,dst_host_count,0.40560218691825867
dnn_binary_cw,1,hot,0.8079485893249512
dnn_binary_cw,2,dst_host_rerror_rate,0.7189761400222778
dnn_binary_cw,3,dst_host_same_src_port_rate,0.625298023223877
dnn_binary_cw,4,dst_host_same_srv_rate,0.6118925213813782
dnn_binary_cw,5,dst_host_srv_count,0.5915924906730652
dnn_binary_cw,6,same_srv_rate,0.4947352409362793
dnn_binary_cw,7,dst_host_serror_rate,0.43226319551467896
dnn_binary_cw,8,rerror_rate,0.40674009919166565
dnn_binary_cw,9,count,0.3403538763523102
dnn_binary_cw,10,dst_host_srv_serror_rate,0.3354189991950989
rf_5class_smote,1,src_bytes,0.037564925849437714
rf_5class_smote,2,dst_host_srv_count,0.025958478450775146
rf_5class_smote,3,dst_host_same_src_port_rate,0.02499210275709629
rf_5class_smote,4,logged_in,0.024701327085494995
rf_5class_smote,5,dst_bytes,0.02085287868976593
rf_5class_smote,6,dst_host_diff_srv_rate,0.01736912503838539
rf_5class_smote,7,dst_host_serror_rate,0.015344376675784588
rf_5class_smote,8,srv_count,0.015160352922976017
rf_5class_smote,9,count,0.014143986627459526
rf_5class_smote,10,dst_host_same_srv_rate,0.01284891925752163
xgb_5class_smote,1,src_bytes,1.1828480958938599
xgb_5class_smote,2,count,0.9461793899536133
xgb_5class_smote,3,dst_host_srv_count,0.7911500334739685
xgb_5class_smote,4,dst_bytes,0.662404477596283
xgb_5class_smote,5,dst_host_same_src_port_rate,0.6124976277351379
xgb_5class_smote,6,dst_host_diff_srv_rate,0.4112491011619568
xgb_5class_smote,7,logged_in,0.33015260100364685
xgb_5class_smote,8,dst_host_serror_rate,0.3268584609031677
xgb_5class_smote,9,dst_host_rerror_rate,0.27758604288101196
xgb_5class_smote,10,duration,0.2618694007396698
dnn_5class_smote,1,hot,0.9108795523643494
dnn_5class_smote,2,dst_host_srv_count,0.8985573053359985
dnn_5class_smote,3,dst_host_same_src_port_rate,0.6995044350624084
dnn_5class_smote,4,dst_host_rerror_rate,0.6939240097999573
dnn_5class_smote,5,dst_host_serror_rate,0.6801420450210571
dnn_5class_smote,6,dst_host_count,0.6179401874542236
dnn_5class_smote,7,dst_host_diff_srv_rate,0.5272544622421265
dnn_5class_smote,8,dst_host_same_srv_rate,0.4626982510089874
dnn_5class_smote,9,count,0.42977431416511536
dnn_5class_smote,10,is_guest_login,0.40472835302352905
