dataset,model,noise_rate,seed,test_accuracy,test_macro_f1,test_ece_top,test_recall_Normal,test_recall_DoS,test_recall_Probe,test_recall_R2L,test_recall_U2R,test_tpcr,recall_drop_DoS,halved_DoS,recall_drop_Probe,halved_Probe,recall_drop_R2L,halved_R2L,recall_drop_U2R,halved_U2R
nsl_kdd_v2,rf_5class_cw,0.02,0,0.7756831085876508,0.5451703775779178,0.17841852074045259,0.9719905262073937,0.8288203753351207,0.7079719124328789,0.04991334488734835,0.1044776119402985,0.04817246273953158,0.0,False,-0.0037174721189591198,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,1,0.7776792051100071,0.5506055947266868,0.18022820941527284,0.9719905262073937,0.8306970509383378,0.7042544403139198,0.06377816291161179,0.1044776119402985,0.05012420156139106,-0.0018766756032171372,False,0.0,False,-0.013864818024263433,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,2,0.7759048970901349,0.5449309267950561,0.18527891481640418,0.9719905262073937,0.8306970509383378,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.048394251242015615,-0.0018766756032171372,False,0.0,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,3,0.7752838892831796,0.5446124414745765,0.18187731305375743,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.0,False,0.0,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,4,0.7782558552164656,0.5480254774542985,0.1737082771912279,0.9719905262073937,0.8373994638069705,0.7054935976869062,0.04991334488734835,0.1044776119402985,0.047906316536550746,-0.00857908847184985,False,-0.0012391573729864103,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,5,0.7752838892831796,0.5446124414745765,0.18105388176550138,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.0,False,0.0,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,6,0.7752395315826828,0.5359411753634177,0.17387168244775297,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.05025996533795494,0.07462686567164178,0.04764017033356991,0.0,False,0.0,False,-0.00034662045060658564,False,0.02985074626865672,False
nsl_kdd_v2,rf_5class_cw,0.02,7,0.7752838892831796,0.5446124414745765,0.18301380581233215,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.0,False,0.0,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,8,0.7752838892831796,0.5446124414745765,0.1822055396364315,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.04777324343506033,0.0,False,0.0,False,0.0,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.02,9,0.7738644428672817,0.5335107890122632,0.18285589884473724,0.972299454227165,0.8288203753351207,0.6922759190417183,0.04852686308492201,0.07462686567164178,0.046974804826117815,0.0,False,0.011978521272201559,False,0.0013864818024263426,False,0.02985074626865672,False
nsl_kdd_v2,rf_5class_cw,0.05,0,0.7785220014194464,0.5492424137226661,0.15356928743440484,0.9715786221810319,0.8288203753351207,0.7356464270962412,0.05025996533795494,0.1044776119402985,0.050390347764371894,0.0,False,-0.03139198678232136,False,-0.00034662045060658564,False,0.0,False
nsl_kdd_v2,rf_5class_cw,0.05,1,0.7853530872959545,0.5962244974850135,0.15668276576157267,0.9708577901348986,0.8396782841823056,0.7649731515902519,0.04991334488734835,0.2537313432835821,0.05589070262597587,-0.01085790884718496,False,-0.060718711276332105,False,0.0,False,-0.1492537313432836,False
