dataset,model,fragile_target,stable_target,clean_recipe_damage_fragile,clean_recall_Normal,clean_recall_DoS,clean_recall_Probe,clean_recall_R2L,clean_recall_U2R,raw_recall_Normal,raw_recall_DoS,raw_recall_Probe,raw_recall_R2L,raw_recall_U2R
nsl_kdd_v2,rf_5class_cw,R2L,DoS,-0.046447140381282497,0.9719905262073937,0.8288203753351207,0.7042544403139198,0.04991334488734835,0.1044776119402985,0.973844094326022,0.7569705093833781,0.5964477488641058,0.0034662045060658577,0.014925373134328358
nsl_kdd_v2,xgb_5class_cw,R2L,DoS,-0.00034662045060658564,0.9713726701678509,0.8469168900804289,0.7228418009087154,0.07105719237435008,0.22388059701492538,0.9713726701678509,0.8415549597855227,0.721602643535729,0.0707105719237435,0.2537313432835821
nsl_kdd_v2,dnn_5class_cw,R2L,DoS,0.061351819757365686,0.9714756461744414,0.8315013404825737,0.6600578273440727,0.07383015597920277,0.1791044776119403,0.923488827103285,0.8400804289544236,0.7199504337050805,0.13518197573656845,0.417910447761194
nsl_kdd_v2,rf_5class_smote,Probe,DoS,0.022304832713754608,0.9718875502008032,0.8435656836461126,0.6641883519206939,0.012131715771230503,0.11940298507462686,0.972299454227165,0.7490616621983914,0.6864931846344485,0.015944540727902946,0.08955223880597014
nsl_kdd_v2,xgb_5class_smote,Probe,DoS,0.0074349442379182396,0.9719905262073937,0.8400804289544236,0.7059066501445683,0.0998266897746967,0.13432835820895522,0.9718875502008032,0.8390080428954424,0.7133415943824866,0.10329289428076256,0.2835820895522388
nsl_kdd_v2,dnn_5class_smote,R2L,DoS,0.05823223570190642,0.9709607661414891,0.8379356568364611,0.6179264766625362,0.05545927209705372,0.2835820895522388,0.9627226856142519,0.8441018766756032,0.6650144568360181,0.11369150779896015,0.40298507462686567
unsw_nb15_v2,rf_5class_cw,DoS,R2L,0.5549033993641477,0.7355945945945946,0.022499388603570557,0.6470165348670022,0.9385160600776284,0.5758293838862559,0.7214324324324324,0.5774027879677183,0.7193865324706447,0.6638352927940597,0.7582938388625592
unsw_nb15_v2,xgb_5class_cw,DoS,R2L,0.5130838835901198,0.721027027027027,0.09562240156517486,0.6728971962616822,0.9079147212690555,0.8009478672985783,0.7354594594594595,0.6087062851552947,0.737359213994728,0.6376216459470102,0.9218009478672986
unsw_nb15_v2,dnn_5class_cw,DoS,R2L,0.7950599168500856,0.608945945945946,0.019320127170457325,0.6788880901030434,0.9256904989593294,0.5616113744075829,0.6148648648648649,0.8143800440205429,0.7126767313683201,0.49282781121674074,0.8744075829383886
unsw_nb15_v2,rf_5class_smote,DoS,R2L,0.6248471508926389,0.7217027027027026,0.022743947175348497,0.6386292834890965,0.9373910108567249,0.6469194312796208,0.7201351351351352,0.6475910980679873,0.7280134196022047,0.6133205827754964,0.8909952606635071
unsw_nb15_v2,xgb_5class_smote,DoS,R2L,0.49572022499388607,0.7465405405405405,0.09024211298606016,0.6685837526959022,0.9013894357878157,0.7132701421800948,0.7481891891891892,0.5859623379799462,0.7227414330218068,0.6714293750351578,0.8459715639810427
unsw_nb15_v2,dnn_5class_smote,DoS,R2L,0.7258498410369283,0.7011621621621622,0.04450966006358523,0.6865564342199856,0.8875513303707038,0.6919431279620853,0.6657297297297298,0.7703595011005135,0.7220225257608435,0.5119536479720987,0.919431279620853
cic_ids2017_v2,rf_5class_cw,DoS,Probe,0.0,0.9986626442322645,0.9983258928571429,0.9995551601423488,0.9551569506726457,0.7142857142857143,0.9988181507168848,0.9983258928571429,0.994661921708185,0.9506726457399103,0.7142857142857143
cic_ids2017_v2,xgb_5class_cw,DoS,Probe,0.0,0.9991913662799738,0.9996279761904762,0.9995551601423488,0.9730941704035875,1.0,0.9990358597953535,0.9996279761904762,0.9995551601423488,0.9730941704035875,1.0
cic_ids2017_v2,dnn_5class_cw,R2L,Probe,0.7130044843049327,0.980966006282462,0.7481398809523809,0.9933274021352313,0.23318385650224216,0.2857142857142857,0.7848101265822784,0.9724702380952381,0.9937722419928826,0.9461883408071748,0.7142857142857143
cic_ids2017_v2,rf_5class_smote,DoS,Probe,0.00018601190476186247,0.9985693403414923,0.9985119047619048,0.9995551601423488,0.9730941704035875,0.7142857142857143,0.9985382390445682,0.9986979166666666,0.9968861209964412,0.9730941704035875,0.7142857142857143
cic_ids2017_v2,xgb_5class_smote,R2L,DoS,0.004484304932735439,0.9989425559045813,0.9996279761904762,0.9995551601423488,0.9730941704035875,0.8571428571428571,0.998849252013809,0.9996279761904762,0.9995551601423488,0.9775784753363229,0.8571428571428571
cic_ids2017_v2,dnn_5class_smote,Probe,DoS,0.0916370106761566,0.9850091748825927,0.9830729166666666,0.9079181494661922,0.9596412556053812,0.42857142857142855,0.9514819767984325,0.9979538690476191,0.9995551601423488,0.9865470852017937,0.5714285714285714
