dataset,model,rep,method,level,selected_frac_of_window,realised_recall,has_recall_lower_bound
nsl_kdd_v2,rf_5class_cw,5,dual_threshold_deferral,0.1,0.2443222143364088,0.42328533828766063,False
nsl_kdd_v2,rf_5class_cw,5,fixed_risk_crc,0.2,0.2443222143364088,0.42328533828766063,False
nsl_kdd_v2,rf_5class_cw,5,dual_threshold_deferral,0.2,0.2443222143364088,0.42328533828766063,False
nsl_kdd_v2,rf_5class_cw,5,conformal_selection_fdr,0.05,0.5836586231369766,0.9335810496980956,False
nsl_kdd_v2,rf_5class_cw,5,conformal_selection_fdr,0.1,0.6099183818310859,0.969809568044589,False
nsl_kdd_v2,rf_5class_cw,5,conformal_selection_fdr,0.2,0.6331618168914124,0.9845177272023533,False
nsl_kdd_v2,rf_5class_cw,6,fixed_risk_crc,0.05,0.24316891412349184,0.4261319128936237,False
nsl_kdd_v2,rf_5class_cw,6,dual_threshold_deferral,0.05,0.24316891412349184,0.4261319128936237,False
nsl_kdd_v2,rf_5class_cw,6,fixed_risk_crc,0.1,0.24316891412349184,0.4261319128936237,False
nsl_kdd_v2,rf_5class_cw,6,dual_threshold_deferral,0.1,0.24316891412349184,0.4261319128936237,False
nsl_kdd_v2,rf_5class_cw,6,fixed_risk_crc,0.2,0.24316891412349184,0.4261319128936237,False
nsl_kdd_v2,rf_5class_cw,6,dual_threshold_deferral,0.2,0.24316891412349184,0.4261319128936237,False
nsl_kdd_v2,rf_5class_cw,6,conformal_selection_fdr,0.05,0.5852555003548616,0.9420335265549115,False
nsl_kdd_v2,rf_5class_cw,6,conformal_selection_fdr,0.1,0.6047728885734563,0.9691367695441016,False
nsl_kdd_v2,rf_5class_cw,6,conformal_selection_fdr,0.2,0.6297906316536551,0.9838633871220429,False
nsl_kdd_v2,rf_5class_cw,7,fixed_risk_crc,0.05,0.24095102909865151,0.4211430356027483,False
nsl_kdd_v2,rf_5class_cw,7,dual_threshold_deferral,0.05,0.24095102909865151,0.4211430356027483,False
nsl_kdd_v2,rf_5class_cw,7,fixed_risk_crc,0.1,0.24095102909865151,0.4211430356027483,False
nsl_kdd_v2,rf_5class_cw,7,dual_threshold_deferral,0.1,0.24095102909865151,0.4211430356027483,False
nsl_kdd_v2,rf_5class_cw,7,fixed_risk_crc,0.2,0.24095102909865151,0.4211430356027483,False
nsl_kdd_v2,rf_5class_cw,7,dual_threshold_deferral,0.2,0.24095102909865151,0.4211430356027483,False
nsl_kdd_v2,rf_5class_cw,7,conformal_selection_fdr,0.05,0.5804648687012065,0.9328544659587757,False
nsl_kdd_v2,rf_5class_cw,7,conformal_selection_fdr,0.1,0.6066359119943222,0.9697064334790756,False
nsl_kdd_v2,rf_5class_cw,7,conformal_selection_fdr,0.2,0.6318310858765082,0.9845409119300437,False
nsl_kdd_v2,rf_5class_cw,8,fixed_risk_crc,0.05,0.24103974449964513,0.42075648640200064,False
nsl_kdd_v2,rf_5class_cw,8,dual_threshold_deferral,0.05,0.24103974449964513,0.42075648640200064,False
nsl_kdd_v2,rf_5class_cw,8,fixed_risk_crc,0.1,0.24103974449964513,0.42075648640200064,False
nsl_kdd_v2,rf_5class_cw,8,dual_threshold_deferral,0.1,0.24103974449964513,0.42075648640200064,False
nsl_kdd_v2,rf_5class_cw,8,fixed_risk_crc,0.2,0.24103974449964513,0.42075648640200064,False
