Model,Accuracy,Macro F1,MCC,F1_Normal,F1_Attack,F1_DoS,F1_Probe,F1_R2L,F1_U2R
rf_binary_cw,0.9981753193191192,0.9971069346574505,0.9942143980812556,0.9988650321055986,0.9953488372093023,,,,
rf_5class_smote,0.9982003149448846,0.9752376738060935,0.9945972548074269,0.9988956807117415,,0.9970265749860621,0.9948832035595105,0.9623059866962306,0.9230769230769231
xgb_binary_cw,0.9989501837178494,0.9983382960142341,0.9966781038347248,0.9993466492439799,0.9973299427844883,,,,
xgb_5class_smote,0.9988751968405529,0.9802688093398636,0.9966293219994384,0.9993154308118368,,0.9982353487508127,0.9968916518650088,0.973568281938326,0.9333333333333333
dnn_binary_cw,0.9712550303696853,0.956567490187745,0.9160150712730243,0.9818245037299279,0.9313104766455621,,,,
dnn_5class_smote,0.9642562551553479,0.7920234969488964,0.9042717749249147,0.9774041822919977,,0.9496760450874234,0.9119318181818182,0.505720823798627,0.6153846153846154
