dataset,method,model,pct_flipped_point,brier_delta_point,ece_delta_point,acc_delta_point,f1m_delta_point,pct_flipped_ci_lo,pct_flipped_ci_hi,pct_flipped_ci_width,brier_delta_ci_lo,brier_delta_ci_hi,brier_delta_ci_width,ece_delta_ci_lo,ece_delta_ci_hi,ece_delta_ci_width,acc_delta_ci_lo,acc_delta_ci_hi,acc_delta_ci_width,f1m_delta_ci_lo,f1m_delta_ci_hi,f1m_delta_ci_width
nsl_kdd_v2,hybrid,rf_5class_smote,3.6063,0.01237,0.01301,0.02715,0.02504,3.35344,3.82818,0.47474,0.01189,0.01287,0.00099,0.01222,0.01375,0.00154,0.02475,0.02959,0.00483,0.02194,0.02818,0.00624
nsl_kdd_v2,hybrid,xgb_5class_smote,0.2085,0.00091,0.00073,-0.00111,-0.02028,0.15514,0.27058,0.11544,0.00068,0.00116,0.00048,0.00037,0.00097,0.0006,-0.00169,-0.00058,0.00111,-0.03641,-0.00601,0.0304
nsl_kdd_v2,hybrid,dnn_5class_smote,2.7236,0.00292,0.00437,-0.01136,-0.01466,2.52839,2.94092,0.41253,0.00251,0.00332,0.00081,0.0036,0.005,0.00139,-0.01313,-0.00967,0.00346,-0.02886,-0.00209,0.02676
nsl_kdd_v2,hybrid,rf_5class_cw,4.7418,0.00866,0.00921,0.0421,0.06453,4.49332,5.01242,0.5191,0.00818,0.00914,0.00096,0.00856,0.00985,0.00129,0.03966,0.04489,0.00524,0.04677,0.08342,0.03665
nsl_kdd_v2,hybrid,xgb_5class_cw,0.2573,-0.00029,0.0002,0.00173,-0.01542,0.19517,0.32381,0.12864,-0.00046,-0.0001,0.00037,-7e-05,0.00035,0.00042,0.00106,0.00235,0.00129,-0.03256,0.00031,0.03287
nsl_kdd_v2,hybrid,dnn_5class_cw,7.3545,0.00504,0.00544,0.00284,0.02072,7.03058,7.70504,0.67446,0.00435,0.00576,0.00141,0.00449,0.0065,0.00201,0.0004,0.00524,0.00484,-0.00031,0.04251,0.04282
nsl_kdd_v2,dirichlet,rf_5class_smote,1.7388,0.00743,0.0078,-0.01273,-0.05107,1.5747,1.90738,0.33268,0.00723,0.00763,0.0004,0.00714,0.00843,0.00129,-0.01433,-0.01109,0.00324,-0.07203,-0.02994,0.04209
nsl_kdd_v2,dirichlet,xgb_5class_smote,1.1267,0.00099,0.0012,-0.009,-0.08506,0.99361,1.27307,0.27945,0.0008,0.0012,0.0004,0.00084,0.00141,0.00057,-0.01043,-0.00781,0.00262,-0.11062,-0.05974,0.05088
nsl_kdd_v2,dirichlet,dnn_5class_smote,2.5772,0.00189,0.00171,-0.01357,-0.07814,2.38633,2.77679,0.39046,0.0015,0.0023,0.0008,0.00116,0.00232,0.00116,-0.0153,-0.01193,0.00337,-0.09228,-0.06416,0.02812
nsl_kdd_v2,dirichlet,rf_5class_cw,0.7452,0.00462,0.00638,-0.00439,-0.01082,0.63432,0.86498,0.23066,0.00443,0.00479,0.00035,0.00599,0.00672,0.00073,-0.00546,-0.00324,0.00222,-0.02255,-0.00415,0.01839
nsl_kdd_v2,dirichlet,xgb_5class_cw,1.0823,0.00222,0.0024,-0.00874,-0.07299,0.95369,1.2154,0.26171,0.00201,0.00244,0.00043,0.00205,0.00263,0.00058,-0.01007,-0.0075,0.00257,-0.09929,-0.04886,0.05043
nsl_kdd_v2,dirichlet,dnn_5class_cw,5.6112,0.00311,0.00092,0.00177,-0.02534,5.33168,5.89525,0.56356,0.00255,0.00372,0.00117,0.00017,0.00171,0.00153,-0.0,0.00355,0.00355,-0.03106,-0.01971,0.01136
unsw_nb15_v2,hybrid,rf_5class_smote,18.7406,-0.0031,-0.01305,0.04393,-0.00821,18.45854,19.00384,0.5453,-0.00332,-0.00288,0.00045,-0.01369,-0.01237,0.00132,0.04158,0.04625,0.00467,-0.01483,-0.00185,0.01298
unsw_nb15_v2,hybrid,xgb_5class_smote,12.7307,-0.00258,-0.00589,0.02707,-0.01689,12.49902,12.96233,0.46332,-0.0028,-0.00235,0.00045,-0.00655,-0.00529,0.00127,0.0249,0.02917,0.00427,-0.02271,-0.0116,0.01111
unsw_nb15_v2,hybrid,dnn_5class_smote,23.6507,-0.0148,-0.03082,0.07526,0.01141,23.33079,23.93758,0.60679,-0.01513,-0.01446,0.00068,-0.03157,-0.0301,0.00147,0.07251,0.0778,0.00528,0.00602,0.01665,0.01063
unsw_nb15_v2,hybrid,rf_5class_cw,17.3792,-0.00148,-0.00785,0.04348,-0.01402,17.11437,17.6408,0.52643,-0.00169,-0.00127,0.00041,-0.00854,-0.00727,0.00127,0.04105,0.04603,0.00498,-0.02039,-0.00758,0.01282
unsw_nb15_v2,hybrid,xgb_5class_cw,15.6222,-0.00491,-0.01003,0.0292,-0.00369,15.36062,15.89953,0.53891,-0.00515,-0.00464,0.0005,-0.01077,-0.00942,0.00135,0.02685,0.0315,0.00465,-0.00892,0.00172,0.01065
unsw_nb15_v2,hybrid,dnn_5class_cw,25.4172,-0.01873,-0.03736,0.06227,-0.00276,25.09565,25.69472,0.59907,-0.01907,-0.01839,0.00067,-0.03809,-0.03662,0.00146,0.05999,0.06456,0.00457,-0.00812,0.00256,0.01067
unsw_nb15_v2,dirichlet,rf_5class_smote,19.3946,-0.00697,-0.0174,0.05898,0.0005,19.09362,19.65463,0.56101,-0.00722,-0.0067,0.00052,-0.01819,-0.01655,0.00164,0.0564,0.06138,0.00498,-0.00793,0.00874,0.01667
unsw_nb15_v2,dirichlet,xgb_5class_smote,14.2938,-0.00642,-0.01059,0.04042,0.00207,14.04485,14.52388,0.47903,-0.00666,-0.00615,0.00051,-0.01128,-0.00996,0.00132,0.03805,0.04259,0.00454,-0.00443,0.00838,0.01281
unsw_nb15_v2,dirichlet,dnn_5class_smote,25.9829,-0.0194,-0.03576,0.0947,0.01956,25.67061,26.28087,0.61026,-0.01978,-0.01898,0.0008,-0.03641,-0.03498,0.00143,0.09173,0.09743,0.00571,0.00865,0.02956,0.02091
unsw_nb15_v2,dirichlet,rf_5class_cw,16.9711,-0.00475,-0.01137,0.0512,-0.0209,16.69053,17.22475,0.53423,-0.00499,-0.0045,0.00048,-0.01215,-0.01055,0.0016,0.0488,0.05367,0.00487,-0.03045,-0.01183,0.01862
unsw_nb15_v2,dirichlet,xgb_5class_cw,16.2241,-0.00913,-0.01609,0.05083,0.00989,15.96386,16.48434,0.52048,-0.00942,-0.00881,0.00061,-0.01683,-0.01531,0.00152,0.04833,0.05312,0.00479,0.00384,0.01581,0.01198
unsw_nb15_v2,dirichlet,dnn_5class_cw,29.333,-0.0226,-0.04117,0.10613,-0.0327,29.00986,29.64829,0.63842,-0.023,-0.02219,0.00081,-0.04189,-0.04045,0.00143,0.10334,0.1089,0.00556,-0.03972,-0.02517,0.01454
cic_ids2017_v2,hybrid,rf_5class_smote,0.025,-8e-05,-0.00098,0.00015,0.00026,0.01,0.04249,0.03249,-0.00011,-5e-05,7e-05,-0.00113,-0.00083,0.0003,0.0,0.0003,0.0003,0.0,0.00052,0.00052
cic_ids2017_v2,hybrid,xgb_5class_smote,0.01,-3e-05,-0.00027,5e-05,-0.0004,0.0025,0.02,0.0175,-5e-05,-0.0,5e-05,-0.00031,-0.0001,0.00021,-5e-05,0.00015,0.0002,-0.00141,0.00013,0.00154
cic_ids2017_v2,hybrid,dnn_5class_smote,3.4394,-0.00593,-0.01207,0.01967,0.15087,3.26187,3.61687,0.355,-0.00634,-0.00552,0.00082,-0.01269,-0.01104,0.00164,0.0179,0.02155,0.00365,0.07453,0.19232,0.1178
cic_ids2017_v2,hybrid,rf_5class_cw,0.0525,0.0,-0.00051,7e-05,-0.16667,0.03499,0.07249,0.03749,-4e-05,4e-05,8e-05,-0.00064,-0.0004,0.00024,-0.00012,0.00027,0.0004,-0.2004,-0.08971,0.11069
cic_ids2017_v2,hybrid,xgb_5class_cw,0.0125,-2e-05,-0.00019,0.00012,0.00179,0.0025,0.025,0.0225,-4e-05,-0.0,3e-05,-0.00023,-1e-05,0.00022,2e-05,0.00025,0.00022,0.00044,0.00363,0.00319
cic_ids2017_v2,hybrid,dnn_5class_cw,19.3416,-0.03781,-0.10074,0.12345,0.14302,18.98661,19.73673,0.75012,-0.03856,-0.03708,0.00148,-0.10174,-0.0995,0.00224,0.11988,0.12748,0.0076,0.07355,0.2085,0.13495
cic_ids2017_v2,dirichlet,rf_5class_smote,0.105,6e-05,-0.00031,-0.00045,-0.07928,0.07499,0.13748,0.06249,1e-05,0.00011,0.0001,-0.00045,-0.00017,0.00028,-0.00077,-0.00015,0.00062,-0.16834,-0.01981,0.14852
cic_ids2017_v2,dirichlet,xgb_5class_smote,0.02,-2e-05,-0.00015,0.0,-0.03917,0.0075,0.03499,0.0275,-6e-05,2e-05,7e-05,-0.00026,7e-05,0.00033,-0.00012,0.00012,0.00025,-0.11162,0.00044,0.11206
cic_ids2017_v2,dirichlet,dnn_5class_smote,3.4419,-0.00521,-0.00926,0.01637,0.02987,3.25693,3.62187,0.36494,-0.00557,-0.00483,0.00074,-0.00992,-0.00845,0.00147,0.0147,0.01822,0.00353,-0.00551,0.06271,0.06823
