dataset,calibrator,ece_top,brier_macro,nll,auroc,accuracy,macro_f1,pct_changed,recall_DoS,recall_R2L,recall_U2R,ece_better,ece_worse,brier_better,brier_worse,auroc_better,auroc_worse
cic_ids2017_v2,raw,0.018050463390567723,0.010977074471131498,0.10958222889537104,0.9132307155845528,0.9629231551145216,0.8566815592338631,0.0,0.9944506448412698,0.9678624813153961,0.7619047619047619,0,0,0,0,0,0
cic_ids2017_v2,temperature,0.010470151091075712,0.010598969060292009,0.10394595315859638,0.9127680399628729,0.9629231551145216,0.8566815592338631,0.0,0.9944506448412698,0.9678624813153961,0.7619047619047619,4,2,3,2,1,3
cic_ids2017_v2,perclass_isotonic_renorm,0.0007865659678637605,0.0036739189947225686,0.03364262764941273,0.9617225350648967,0.986789811782938,0.8958920354385388,3.818915023204273,0.9541790674603176,0.8445440956651719,0.6666666666666666,6,0,3,0,2,0
cic_ids2017_v2,toplabel_isotonic,0.0010940404112320756,0.010392991127764371,0.10140665461163706,0.9204695223800878,0.9629231551145216,0.8566815592338631,0.0,0.9944506448412698,0.9678624813153961,0.7619047619047619,6,0,3,0,3,0
cic_ids2017_v2,cctl,0.0009960044674754305,0.008623019395218224,0.33151853756886657,0.9527624384163832,0.9629231551145216,0.8566815592338631,0.0,0.9944506448412698,0.9678624813153961,0.7619047619047619,6,0,3,0,2,1
cic_ids2017_v2,dirichlet,0.0015739217099399695,0.0036481525555101236,0.03390592947316425,0.9654420905426203,0.987627165246082,0.8456023151915955,3.7422617708567665,0.9607204861111112,0.8026905829596412,0.4761904761904762,6,0,4,0,3,0
nsl_kdd_v2,raw,0.19228112615103202,0.0798965106007276,1.9462041984138025,0.8444163653781337,0.7668707120889519,0.5515907546687174,0.0,0.8117962466487936,0.07371461582900057,0.24378109452736318,0,0,0,0,0,0
nsl_kdd_v2,temperature,0.2018172115284668,0.08265655488473055,1.817260130076044,0.8443510075095637,0.7668707120889519,0.5515907546687174,0.0,0.8117962466487936,0.07371461582900057,0.24378109452736318,4,2,4,2,3,2
nsl_kdd_v2,perclass_isotonic_renorm,0.19854387327734205,0.08353543619688979,4.718866935056887,0.6930718979702032,0.7780710314643956,0.5645766266943822,3.302430801987225,0.8383378016085792,0.055979202772963595,0.18159203980099503,1,3,0,6,1,5
nsl_kdd_v2,toplabel_isotonic,0.1973448598814941,0.08220813045629893,2.667509493982168,0.7834432786729874,0.7668707120889519,0.5515907546687174,0.0,0.8117962466487936,0.07371461582900057,0.24378109452736318,4,2,4,2,0,5
nsl_kdd_v2,cctl,0.19951248751606132,0.08280088927964348,2.9793473103744677,0.7844620100379935,0.7668707120889519,0.5515907546687174,0.0,0.8117962466487936,0.07371461582900057,0.24378109452736318,1,4,1,4,1,5
nsl_kdd_v2,dirichlet,0.20006100413295314,0.08331257320679818,2.287060592707284,0.8464700336214651,0.7722823515495624,0.5505443696895412,2.7775313461083506,0.8253351206434316,0.0685730791450029,0.12189054726368158,0,5,1,5,3,3
unsw_nb15_v2,raw,0.10893866234059983,0.07802898198738911,0.6556186635109944,0.8379598266457382,0.6727097482443285,0.5445043173049643,0.0,0.6674003423820004,0.5984980592900939,0.8684834123222749,0,0,0,0,0,0
unsw_nb15_v2,temperature,0.08830550962692126,0.07533551925705417,0.6260283769589359,0.8436837701995028,0.6727097482443285,0.5445043173049643,0.0,0.6674003423820004,0.5984980592900939,0.8684834123222749,4,2,4,2,4,2
unsw_nb15_v2,perclass_isotonic_renorm,0.08591335213725904,0.0705538009345734,0.5819980357201123,0.8124150111817228,0.7150796026956189,0.534679865405408,18.88115010268774,0.04781120078258743,0.9175057658772571,0.6848341232227488,5,0,6,0,2,4
unsw_nb15_v2,toplabel_isotonic,0.07029223651101285,0.07551389722000808,0.6503276950255731,0.8366859133942451,0.6727097482443285,0.5445043173049643,0.0,0.6674003423820004,0.5984980592900939,0.8684834123222749,6,0,5,1,2,3
unsw_nb15_v2,cctl,0.08632700537882987,0.07573436012577363,0.7325487659996622,0.8699017142040191,0.6727097482443285,0.5445043173049643,0.0,0.6674003423820004,0.5984980592900939,0.8684834123222749,4,2,4,2,6,0
unsw_nb15_v2,dirichlet,0.06567851319046418,0.06638421513444841,0.5451700578635399,0.8065217786457423,0.7439713629893426,0.5545503753371728,20.747913416639093,0.05050134507214477,0.9192964692205283,0.6184834123222749,5,0,6,0,0,6
