dataset,noise_rate,runs,any_class_halved,halved_DoS,halved_Probe,halved_R2L,halved_U2R,accuracy,macro_f1,ece,tpcr
cic_ids2017_v2,0.02,60,0.0,0.0,0.0,0.0,0.0,0.9868452187533848,0.8998342625468784,0.02013014973238374,0.03811041401088143
cic_ids2017_v2,0.05,60,0.0,0.0,0.0,0.0,0.0,0.98684146940952,0.900853851827345,0.049722450835789946,0.03810708126077936
cic_ids2017_v2,0.0667,60,0.0,0.0,0.0,0.0,0.0,0.9868389698469434,0.9004928861584643,0.06620853678830066,0.03810833104206764
cic_ids2017_v2,0.0753,60,0.0,0.0,0.0,0.0,0.0,0.9868572999725048,0.9004764355425618,0.07470043448436563,0.038129993917731066
cic_ids2017_v2,0.1,60,0.0,0.0,0.0,0.0,0.0,0.9867860624390732,0.8991858051541165,0.09914957156076626,0.03820706376384133
nsl_kdd_v2,0.02,60,0.0,0.0,0.0,0.0,0.0,0.7771676129642773,0.5616887440069135,0.17809369476201412,0.031496924532765556
nsl_kdd_v2,0.05,60,0.0,0.0,0.0,0.0,0.0,0.7760268807665011,0.5630823570619652,0.1486151361195737,0.030686657203690564
nsl_kdd_v2,0.0667,60,0.0,0.0,0.0,0.0,0.0,0.7773443044712562,0.5627817429251646,0.13145603098170494,0.031734977525431744
nsl_kdd_v2,0.0753,60,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.7769214277265201,0.5608731824689939,0.1240155161962015,0.031249260704991722
nsl_kdd_v2,0.1,60,0.0,0.0,0.0,0.0,0.0,0.7753267683936598,0.5605472270153025,0.14447229018502938,0.03232937071208895
unsw_nb15_v2,0.02,60,0.0,0.0,0.0,0.0,0.0,0.7186865423908647,0.5380747938819734,0.0804927324837563,0.1900994311466885
unsw_nb15_v2,0.05,60,0.0,0.0,0.0,0.0,0.0,0.7197383694972765,0.5383187750317808,0.088374868082464,0.19060288996391483
unsw_nb15_v2,0.0667,60,0.0,0.0,0.0,0.0,0.0,0.7193152749982928,0.5378593804802752,0.09334097421041242,0.19042482784702414
unsw_nb15_v2,0.0753,60,0.0,0.0,0.0,0.0,0.0,0.7187876543598956,0.5377455366847994,0.09408163211235597,0.18959544707248022
unsw_nb15_v2,0.1,60,0.0,0.0,0.0,0.0,0.0,0.7174731987624945,0.5364828616604334,0.09676831016378379,0.18980239832337972
