protocol,dataset,true_class,detector,n_rows,n_unique_samples,flagged,rate,rate_lo_cluster,rate_hi_cluster,rate_lo_wilson_naive,rate_hi_wilson_naive,class_accuracy,base_rate_all_samples,base_rate_correct_samples
strict,cic_ids2017_v2,Normal,red,2124,354,1060,0.4990583804143126,0.4970414201183432,0.5,0.4778155224992918,0.5203046382000382,0.9905838041431262,0.192,0.19849466129879223
strict,cic_ids2017_v2,Normal,non_green,2124,354,1766,0.8314500941619586,0.8294460641399417,0.8328865058087578,0.8149344716316107,0.8467689622042214,0.9905838041431262,0.7351666666666666,0.7615963591808157
strict,cic_ids2017_v2,DoS,red,1380,230,0,0.0,0.0,0.0,0.0,0.0027759385705942454,0.9615942028985507,0.192,0.19849466129879223
strict,cic_ids2017_v2,DoS,non_green,1380,230,924,0.6695652173913044,0.6673497267759563,0.6726427622841965,0.6443075946184822,0.6938814349097511,0.9615942028985507,0.7351666666666666,0.7615963591808157
strict,cic_ids2017_v2,Probe,red,1254,209,0,0.0,0.0,0.0,0.0,0.0030540087975097687,0.9896331738437002,0.192,0.19849466129879223
strict,cic_ids2017_v2,Probe,non_green,1254,209,639,0.5095693779904307,0.5047846889952153,0.5152243589743589,0.4819136550801701,0.5371666509715523,0.9896331738437002,0.7351666666666666,0.7615963591808157
strict,cic_ids2017_v2,R2L,red,1200,200,61,0.050833333333333335,0.038142068910765325,0.06454720616570328,0.03977591235116908,0.06475733656869931,0.8441666666666666,0.192,0.19849466129879223
strict,cic_ids2017_v2,R2L,non_green,1200,200,1046,0.8716666666666667,0.861904761904762,0.8816425120772947,0.8515501653827546,0.8894111907985789,0.8441666666666666,0.7351666666666666,0.7615963591808157
strict,cic_ids2017_v2,U2R,red,42,7,31,0.7380952380952381,0.5740740740740741,0.9047619047619048,0.5893126917005247,0.8469735977866604,0.6666666666666666,0.192,0.19849466129879223
strict,cic_ids2017_v2,U2R,non_green,42,7,36,0.8571428571428571,0.7666666666666667,0.9444444444444444,0.7215891039983515,0.932840330232426,0.6666666666666666,0.7351666666666666,0.7615963591808157
strict,nsl_kdd_v2,Normal,red,1566,261,1301,0.830779054916986,0.8266932270916335,0.834640522875817,0.811404274746343,0.8485349784431331,0.9597701149425287,0.8388333333333333,0.8430956798303737
strict,nsl_kdd_v2,Normal,non_green,1566,261,1557,0.9942528735632183,0.990234375,0.997539975399754,0.9891133574682525,0.9969734803090726,0.9597701149425287,0.974,0.9618340842830638
strict,nsl_kdd_v2,DoS,red,1488,248,1441,0.9684139784946236,0.9585184376516255,0.977735368956743,0.9582513098193778,0.9761643358252569,0.8360215053763441,0.8388333333333333,0.8430956798303737
strict,nsl_kdd_v2,DoS,non_green,1488,248,1486,0.9986559139784946,0.9965277777777778,1.0,0.9951124462587003,0.9996313257188018,0.8360215053763441,0.974,0.9618340842830638
strict,nsl_kdd_v2,Probe,red,1266,211,947,0.7480252764612955,0.7330095074787873,0.7632398753894081,0.7233845170281438,0.7711654093486932,0.6958925750394944,0.8388333333333333,0.8430956798303737
strict,nsl_kdd_v2,Probe,non_green,1266,211,1122,0.8862559241706162,0.8759165251774352,0.8967136150234741,0.867585455564854,0.9025894297799651,0.6958925750394944,0.974,0.9618340842830638
strict,nsl_kdd_v2,R2L,red,1278,213,1015,0.7942097026604069,0.773015873015873,0.8132716049382716,0.7711789441353196,0.8154770692037203,0.0539906103286385,0.8388333333333333,0.8430956798303737
strict,nsl_kdd_v2,R2L,non_green,1278,213,1277,0.9992175273865415,0.9974489795918368,1.0,0.9955810552353512,0.9998618610154666,0.0539906103286385,0.974,0.9618340842830638
strict,nsl_kdd_v2,U2R,red,402,67,329,0.818407960199005,0.7777777777777778,0.855072463768116,0.7777669861414609,0.8530212056457096,0.1890547263681592,0.8388333333333333,0.8430956798303737
strict,nsl_kdd_v2,U2R,non_green,402,67,402,1.0,1.0,1.0,0.9905345824157911,0.9999999999999999,0.1890547263681592,0.974,0.9618340842830638
strict,unsw_nb15_v2,Normal,red,1200,200,125,0.10416666666666667,0.09288162054311774,0.11491303690260132,0.0881275527057677,0.12273198947778981,0.7091666666666666,0.030333333333333334,0.04377753303964758
strict,unsw_nb15_v2,Normal,non_green,1200,200,125,0.10416666666666667,0.09288162054311774,0.11491303690260132,0.0881275527057677,0.12273198947778981,0.7091666666666666,0.18033333333333335,0.2706497797356828
strict,unsw_nb15_v2,DoS,red,1200,200,34,0.028333333333333332,0.015873015873015872,0.042079416274960826,0.02034551343345433,0.03933133051579521,0.045,0.030333333333333334,0.04377753303964758
strict,unsw_nb15_v2,DoS,non_green,1200,200,86,0.07166666666666667,0.04702970297029703,0.09888544158692182,0.05839902539078376,0.08766793183521321,0.045,0.18033333333333335,0.2706497797356828
strict,unsw_nb15_v2,Probe,red,1200,200,5,0.004166666666666667,0.0008503401360544217,0.00813053297199638,0.00178102441275491,0.0097167179013855,0.7166666666666667,0.030333333333333334,0.04377753303964758
strict,unsw_nb15_v2,Probe,non_green,1200,200,26,0.021666666666666667,0.007574900589606473,0.039723661485319514,0.014828213594373953,0.03155784369691445,0.7166666666666667,0.18033333333333335,0.2706497797356828
strict,unsw_nb15_v2,R2L,red,1200,200,16,0.013333333333333334,0.006172839506172839,0.02170626895854397,0.008223625998772282,0.021548947970064698,0.8858333333333334,0.030333333333333334,0.04377753303964758
strict,unsw_nb15_v2,R2L,non_green,1200,200,37,0.030833333333333334,0.016516339452660206,0.04751400560224085,0.022451332065000044,0.042209556880984926,0.8858333333333334,0.18033333333333335,0.2706497797356828
strict,unsw_nb15_v2,U2R,red,1200,200,2,0.0016666666666666668,0.0,0.004363001745200698,0.0004571791605979419,0.006056518156807043,0.67,0.030333333333333334,0.04377753303964758
