protocol,dataset,true_class,detector,n_rows,n_unique_samples,flagged,rate,rate_lo_cluster,rate_hi_cluster,rate_lo_wilson_naive,rate_hi_wilson_naive,class_accuracy,base_rate_all_samples,base_rate_correct_samples
strict,unsw_nb15_v2,U2R,non_green,1200,200,808,0.6733333333333333,0.6220523534312195,0.7241114482200647,0.6462814671768768,0.6992789859301127,0.67,0.18033333333333335,0.2706497797356828
v2,cic_ids2017_v2,Normal,red,2124,354,1061,0.4995291902071563,0.4985207100591716,0.5,0.4782854541207378,0.5207746262289272,0.9910546139359698,0.2881666666666667,0.2997022245577159
v2,cic_ids2017_v2,Normal,non_green,2124,354,1766,0.8314500941619586,0.8294460641399417,0.8328865058087578,0.8149344716316107,0.8467689622042214,0.9910546139359698,0.77,0.7980381853214223
v2,cic_ids2017_v2,DoS,red,1380,230,0,0.0,0.0,0.0,0.0,0.0027759385705942454,0.9615942028985507,0.2881666666666667,0.2997022245577159
v2,cic_ids2017_v2,DoS,non_green,1380,230,924,0.6695652173913044,0.6673497267759563,0.6726427622841965,0.6443075946184822,0.6938814349097511,0.9615942028985507,0.77,0.7980381853214223
v2,cic_ids2017_v2,Probe,red,1254,209,0,0.0,0.0,0.0,0.0,0.0030540087975097687,0.9896331738437002,0.2881666666666667,0.2997022245577159
v2,cic_ids2017_v2,Probe,non_green,1254,209,848,0.6762360446570973,0.671451355661882,0.6818910256410257,0.6498340020003118,0.7015616344522405,0.9896331738437002,0.77,0.7980381853214223
v2,cic_ids2017_v2,R2L,red,1200,200,642,0.535,0.5244565217391305,0.5456238361266295,0.5067129061784601,0.563063723775836,0.8441666666666666,0.2881666666666667,0.2997022245577159
v2,cic_ids2017_v2,R2L,non_green,1200,200,1046,0.8716666666666667,0.861904761904762,0.8816425120772947,0.8515501653827546,0.8894111907985789,0.8441666666666666,0.77,0.7980381853214223
v2,cic_ids2017_v2,U2R,red,42,7,26,0.6190476190476191,0.5,0.75,0.4681404015037396,0.750002743239853,0.5476190476190477,0.2881666666666667,0.2997022245577159
v2,cic_ids2017_v2,U2R,non_green,42,7,36,0.8571428571428571,0.7666666666666667,0.9444444444444444,0.7215891039983515,0.932840330232426,0.5476190476190477,0.77,0.7980381853214223
v2,nsl_kdd_v2,Normal,red,1566,261,1541,0.9840357598978289,0.970319403619692,0.9946236559139785,0.9765390681050395,0.9891635456355451,0.9597701149425287,0.732,0.6135214266702156
v2,nsl_kdd_v2,Normal,non_green,1566,261,1550,0.9897828863346104,0.9763681592039801,1.0,0.9834674719883185,0.9937012677729327,0.9597701149425287,0.7595,0.6523822198562683
v2,nsl_kdd_v2,DoS,red,1488,248,239,0.16061827956989247,0.11728334065290587,0.2050752039946413,0.1428395031572928,0.1801448568849733,0.8380376344086021,0.732,0.6135214266702156
v2,nsl_kdd_v2,DoS,non_green,1488,248,241,0.16196236559139784,0.11829737222757955,0.20666666666666667,0.14411754764052284,0.1815480624609818,0.8380376344086021,0.7595,0.6523822198562683
v2,nsl_kdd_v2,Probe,red,1266,211,1020,0.8056872037914692,0.7754621478873239,0.8340398524254822,0.7829803913580734,0.8265445179025502,0.6832543443917851,0.732,0.6135214266702156
v2,nsl_kdd_v2,Probe,non_green,1266,211,1164,0.919431279620853,0.8855218855218855,0.95,0.9031389529918603,0.9331859225052745,0.6832543443917851,0.7595,0.6523822198562683
v2,nsl_kdd_v2,R2L,red,1278,213,1216,0.9514866979655712,0.9310076477452697,0.9698275862068966,0.9382946001955189,0.9619727394231673,0.05868544600938967,0.732,0.6135214266702156
v2,nsl_kdd_v2,R2L,non_green,1278,213,1219,0.9538341158059468,0.9342301943198804,0.9715447154471545,0.9409062571611378,0.9640418485214238,0.05868544600938967,0.7595,0.6523822198562683
v2,nsl_kdd_v2,U2R,red,402,67,376,0.9353233830845771,0.8921534106600387,0.9722222222222222,0.9069216917539894,0.9554840392050327,0.16666666666666666,0.732,0.6135214266702156
v2,nsl_kdd_v2,U2R,non_green,402,67,383,0.9527363184079602,0.9209392655367231,0.9794520547945206,0.9273656716777506,0.9695362885196325,0.16666666666666666,0.7595,0.6523822198562683
v2,unsw_nb15_v2,Normal,red,1200,200,0,0.0,0.0,0.0,2.168404344971009e-19,0.0031910006529147,0.7158333333333333,0.14033333333333334,0.21630615640599002
v2,unsw_nb15_v2,Normal,non_green,1200,200,17,0.014166666666666666,0.005635618520327851,0.024132994319223014,0.008863579542427367,0.022570342758654754,0.7158333333333333,0.203,0.29728230726566834
v2,unsw_nb15_v2,DoS,red,1200,200,30,0.025,0.008416567913774618,0.04537953795379538,0.017567090546631282,0.035464360073637693,0.043333333333333335,0.14033333333333334,0.21630615640599002
v2,unsw_nb15_v2,DoS,non_green,1200,200,45,0.0375,0.01996917802739375,0.05865957416486147,0.02814286604746946,0.04980880955647664,0.043333333333333335,0.203,0.29728230726566834
v2,unsw_nb15_v2,Probe,red,1200,200,18,0.015,0.0016339869281045752,0.03222846954376455,0.00950901260194172,0.023586258031385542,0.7133333333333334,0.14033333333333334,0.21630615640599002
v2,unsw_nb15_v2,Probe,non_green,1200,200,306,0.255,0.23270362413599852,0.27722772277227725,0.2311480469126995,0.28041554340722874,0.7133333333333334,0.203,0.29728230726566834
v2,unsw_nb15_v2,R2L,red,1200,200,14,0.011666666666666667,0.0018312516263335938,0.025252525252525252,0.0069621739362462085,0.019487703368100486,0.8825,0.14033333333333334,0.21630615640599002
v2,unsw_nb15_v2,R2L,non_green,1200,200,34,0.028333333333333332,0.015079265374491505,0.04402606086893659,0.02034551343345433,0.03933133051579521,0.8825,0.203,0.29728230726566834
v2,unsw_nb15_v2,U2R,red,1200,200,780,0.65,0.5987283756889161,0.7011232112794612,0.6225735901722754,0.6764691096318501,0.65,0.14033333333333334,0.21630615640599002
v2,unsw_nb15_v2,U2R,non_green,1200,200,816,0.68,0.6296296296296297,0.7305154924857576,0.653068615982304,0.7057826237826468,0.65,0.203,0.29728230726566834
