Model,Target,Accuracy,F1-macro,F1-weighted,MCC,AUC-ROC,U2R F1,Time (s)
rf_binary_cw,binary,0.8323,0.8322,0.8327,0.7021,0.9661,,11.8
xgb_binary_cw,binary,0.8529,0.8524,0.8538,0.7268,0.9721,,3.7
dnn_binary_cw,binary,0.8417,0.8412,0.8426,0.7041,0.9637,,56.5
rf_5class_smote,multiclass,0.6935,0.5261,0.7124,0.528,,0.3455,36.2
xgb_5class_smote,multiclass,0.7144,0.5815,0.7342,0.5597,,0.4058,17.8
dnn_5class_smote,multiclass,0.6536,0.5174,0.6857,0.496,,0.2323,246.9
