protocol,dataset,n_cells,mean_pearson_c1,mean_pearson_c2,mean_pearson_c3,mean_pearson_scts,mean_auroc_c1,mean_auroc_c2,mean_auroc_c3,mean_auroc_scts,mean_auroc_scts_c1c2,mean_auroc_scts_c1c3,cells_scts_auroc_above_c1,cells_composite_better_auroc_ci,cells_c1_better_auroc_ci,cells_no_difference_auroc_ci,cells_not_evaluable
strict,cic_ids2017_v2,6,0.34731807813930077,0.01950861914830618,0.37687764132433527,0.34976918699934095,0.8554077280621167,0.49102458707811253,0.9333578549038073,0.914376627682779,0.6306549334281557,0.9339454166395916,4,1,0,2,3
strict,nsl_kdd_v2,6,0.1713079127132423,0.010840919845683812,0.06661493949334492,0.0667181844427938,0.7373842192014943,0.5052725163399697,0.5303717118405898,0.5962285649342881,0.6033969916315343,0.6858156552131458,1,0,5,1,0
strict,unsw_nb15_v2,6,0.5921719737287009,-0.03558431290799821,0.5516866135890556,0.47205045686783614,0.8375836310917381,0.47100708851309064,0.8331470263571816,0.7974513079059458,0.7260482540668295,0.8303976901013028,0,0,6,0,0
v2,cic_ids2017_v2,6,0.2901708219390274,0.018685715133546832,0.3297036891482535,0.31844883073159064,0.8741693803133338,0.49481281213094,0.9429496312310036,0.9136696044695062,0.6091770919598382,0.9378202641660742,6,0,0,3,3
v2,nsl_kdd_v2,6,0.17421838007050272,0.01683666649714064,0.09173820291110324,0.08608197800208255,0.715471557147137,0.5087906459131825,0.6244987799694729,0.5826210334141474,0.596785995169311,0.6295098167815959,0,0,5,1,0
v2,unsw_nb15_v2,6,0.6001384807294908,-0.03080919826530897,0.5512229786489399,0.4651275317056936,0.841599217872382,0.47396656151585076,0.839090987035374,0.8013539064742686,0.7317651157698221,0.8349790789211128,0,0,6,0,0
